"HANGYE_CODE","HANGYE_NAME","HANGYE_MAPPING"
"00。","本级政府"
"01。","发展改革","发改"
"02。","教育","教育"
"03。","科技创新","科创"
"04。","工业和信息化","工信"
"05。","公安","公安"
"06。","民政","民政"
"07。","司法","司法"
"08。","财政","财政"
"09。","人力资源和社会保障","人社"
"10。","规划和自然资源","规自"
"11。","生态环境","生态"
"12。","住房建设","住建"
"13。","交通运输","交通"
"14。","水务","水务"
"15。","商务","商务"
"16。","文化广电旅游体育","文体"
"17。","卫生健康","卫生"
"18。","退役军人","退役"
"19。","应急管理","应急"
"20。","审计","审计"
"21。","市场监管","市监"
"22。","统计","统计"
"23。","医疗保障","医疗"
"24。","金融","金融"
"25。","城管","城管"
"26。","气象","气象"
"27。","档案","档案"
"28。","民宗","民宗"
"29。","事业单位登记","事单"
"30。","保密","保密"
"31。","烟草","烟草"
"32。","防空","防空"
