"QUYU_CODE","QUYU_NAME","QUYU_MAPPING"
"440314000111。","测试区",
"44031911。","测试街道",
"440314000101。","测试街道",
"440303000100。","莲花街道",
"440320。","深圳测试区01",
"440330。","深圳市测试区02",
"440000000000。","广东省",
"440300000000。","广东省深圳市","市级"
"440303000000。","广东省深圳市罗湖区","罗湖区"
"440304000000。","广东省深圳市福田区","福田区"
"440305000000。","广东省深圳市南山区","南山区"
"440306000000。","广东省深圳市宝安区","宝安区"
"440307000000。","广东省深圳市龙岗区","龙岗区"
"440308000000。","广东省深圳市盐田区","盐田区"
"440309000000。","广东省深圳市龙华区","龙华区"
"440310000000。","广东省深圳市坪山区","坪山区"
"440311000000。","广东省深圳市光明区","光明区"
"440312000000。","广东省深圳市大鹏新区","大鹏新区"
"440314000000。","测试区",
