"YEAR","PEO_ENFORCE_HANGYE","ENFORCEPEO_AGE","SUM(*)"
2016.0,"财政","30岁以下",0.0
2016.0,"城管","30岁以下",0.0
2016.0,"档案","30岁以下",0.0
2016.0,"发改","30岁以下",0.0
2016.0,"工信","30岁以下",0.0
2016.0,"规自","30岁以下",0.0
2016.0,"交通","30岁以下",5.0
2016.0,"教育","30岁以下",0.0
2016.0,"金融","30岁以下",0.0
2016.0,"科创","30岁以下",0.0
2016.0,"民政","30岁以下",0.0
2016.0,"民宗","30岁以下",0.0
2016.0,"人社","30岁以下",1.0
2016.0,"审计","30岁以下",0.0
2016.0,"生态","30岁以下",0.0
2016.0,"事单","30岁以下",0.0
2016.0,"市监","30岁以下",0.0
2016.0,"水务","30岁以下",0.0
2016.0,"司法","30岁以下",0.0
2016.0,"统计","30岁以下",0.0
2016.0,"卫生","30岁以下",0.0
2016.0,"文体","30岁以下",0.0
2016.0,"医疗","30岁以下",0.0
2016.0,"应急","30岁以下",0.0
2016.0,"住建","30岁以下",0.0
2017.0,"财政","30岁以下",5.0
2017.0,"城管","30岁以下",14.0
2017.0,"档案","30岁以下",0.0
2017.0,"发改","30岁以下",0.0
2017.0,"工信","30岁以下",3.0
2017.0,"规自","30岁以下",24.0
2017.0,"交通","30岁以下",33.0
2017.0,"教育","30岁以下",4.0
2017.0,"金融","30岁以下",0.0
2017.0,"科创","30岁以下",0.0
2017.0,"民政","30岁以下",2.0
2017.0,"民宗","30岁以下",0.0
2017.0,"人社","30岁以下",4.0
2017.0,"审计","30岁以下",28.0
2017.0,"生态","30岁以下",7.0
2017.0,"事单","30岁以下",0.0
2017.0,"市监","30岁以下",88.0
2017.0,"水务","30岁以下",6.0
2017.0,"司法","30岁以下",2.0
2017.0,"统计","30岁以下",2.0
2017.0,"卫生","30岁以下",27.0
2017.0,"文体","30岁以下",4.0
2017.0,"医疗","30岁以下",0.0
2017.0,"应急","30岁以下",281.0
2017.0,"住建","30岁以下",17.0
2018.0,"财政","30岁以下",21.0
2018.0,"城管","30岁以下",32.0
2018.0,"档案","30岁以下",2.0
2018.0,"发改","30岁以下",1.0
2018.0,"工信","30岁以下",12.0
2018.0,"规自","30岁以下",42.0
2018.0,"交通","30岁以下",85.0
2018.0,"教育","30岁以下",10.0
2018.0,"金融","30岁以下",1.0
2018.0,"科创","30岁以下",2.0
2018.0,"民政","30岁以下",2.0
2018.0,"民宗","30岁以下",3.0
2018.0,"人社","30岁以下",16.0
2018.0,"审计","30岁以下",41.0
2018.0,"生态","30岁以下",21.0
2018.0,"事单","30岁以下",3.0
2018.0,"市监","30岁以下",246.0
2018.0,"水务","30岁以下",21.0
2018.0,"司法","30岁以下",9.0
2018.0,"统计","30岁以下",8.0
2018.0,"卫生","30岁以下",56.0
2018.0,"文体","30岁以下",13.0
2018.0,"医疗","30岁以下",7.0
2018.0,"应急","30岁以下",674.0
2018.0,"住建","30岁以下",52.0
2019.0,"财政","30岁以下",26.0
2019.0,"城管","30岁以下",36.0
2019.0,"档案","30岁以下",2.0
2019.0,"发改","30岁以下",1.0
2019.0,"工信","30岁以下",14.0
2019.0,"规自","30岁以下",50.0
2019.0,"交通","30岁以下",96.0
2019.0,"教育","30岁以下",11.0
2019.0,"金融","30岁以下",1.0
2019.0,"科创","30岁以下",2.0
2019.0,"民政","30岁以下",2.0
2019.0,"民宗","30岁以下",4.0
2019.0,"人社","30岁以下",26.0
2019.0,"审计","30岁以下",52.0
2019.0,"生态","30岁以下",21.0
2019.0,"事单","30岁以下",3.0
2019.0,"市监","30岁以下",273.0
2019.0,"水务","30岁以下",27.0
2019.0,"司法","30岁以下",11.0
2019.0,"统计","30岁以下",13.0
2019.0,"卫生","30岁以下",60.0
2019.0,"文体","30岁以下",15.0
2019.0,"医疗","30岁以下",8.0
2019.0,"应急","30岁以下",708.0
2019.0,"住建","30岁以下",60.0
2016.0,"保密","31-40岁",0.0
2016.0,"财政","31-40岁",0.0
2016.0,"城管","31-40岁",0.0
2016.0,"档案","31-40岁",0.0
2016.0,"发改","31-40岁",0.0
2016.0,"工信","31-40岁",0.0
2016.0,"规自","31-40岁",0.0
2016.0,"交通","31-40岁",18.0
2016.0,"教育","31-40岁",0.0
2016.0,"金融","31-40岁",0.0
2016.0,"科创","31-40岁",0.0
2016.0,"民政","31-40岁",0.0
2016.0,"民宗","31-40岁",0.0
2016.0,"气象","31-40岁",0.0
2016.0,"人社","31-40岁",0.0
2016.0,"审计","31-40岁",0.0
2016.0,"生态","31-40岁",0.0
2016.0,"事单","31-40岁",0.0
2016.0,"市监","31-40岁",0.0
2016.0,"水务","31-40岁",0.0
2016.0,"司法","31-40岁",0.0
2016.0,"统计","31-40岁",0.0
2016.0,"退役","31-40岁",0.0
2016.0,"卫生","31-40岁",0.0
2016.0,"文体","31-40岁",0.0
2016.0,"烟草","31-40岁",0.0
2016.0,"医疗","31-40岁",0.0
2016.0,"应急","31-40岁",0.0
2016.0,"住建","31-40岁",0.0
2017.0,"保密","31-40岁",3.0
2017.0,"财政","31-40岁",51.0
2017.0,"城管","31-40岁",138.0
2017.0,"档案","31-40岁",1.0
2017.0,"发改","31-40岁",3.0
2017.0,"工信","31-40岁",16.0
2017.0,"规自","31-40岁",258.0
2017.0,"交通","31-40岁",138.0
2017.0,"教育","31-40岁",31.0
2017.0,"金融","31-40岁",0.0
2017.0,"科创","31-40岁",6.0
2017.0,"民政","31-40岁",28.0
2017.0,"民宗","31-40岁",11.0
2017.0,"气象","31-40岁",4.0
2017.0,"人社","31-40岁",144.0
2017.0,"审计","31-40岁",81.0
2017.0,"生态","31-40岁",83.0
2017.0,"事单","31-40岁",3.0
2017.0,"市监","31-40岁",797.0
2017.0,"水务","31-40岁",120.0
2017.0,"司法","31-40岁",10.0
2017.0,"统计","31-40岁",52.0
2017.0,"退役","31-40岁",0.0
2017.0,"卫生","31-40岁",247.0
2017.0,"文体","31-40岁",50.0
2017.0,"烟草","31-40岁",1.0
2017.0,"医疗","31-40岁",15.0
2017.0,"应急","31-40岁",427.0
2017.0,"住建","31-40岁",154.0
2018.0,"保密","31-40岁",6.0
2018.0,"财政","31-40岁",90.0
2018.0,"城管","31-40岁",215.0
2018.0,"档案","31-40岁",1.0
2018.0,"发改","31-40岁",7.0
2018.0,"工信","31-40岁",30.0
2018.0,"规自","31-40岁",352.0
2018.0,"交通","31-40岁",226.0
2018.0,"教育","31-40岁",50.0
2018.0,"金融","31-40岁",1.0
2018.0,"科创","31-40岁",15.0
2018.0,"民政","31-40岁",56.0
2018.0,"民宗","31-40岁",20.0
2018.0,"气象","31-40岁",4.0
2018.0,"人社","31-40岁",203.0
2018.0,"审计","31-40岁",94.0
2018.0,"生态","31-40岁",113.0
2018.0,"事单","31-40岁",10.0
2018.0,"市监","31-40岁",968.0
2018.0,"水务","31-40岁",162.0
2018.0,"司法","31-40岁",19.0
2018.0,"统计","31-40岁",54.0
2018.0,"退役","31-40岁",1.0
2018.0,"卫生","31-40岁",315.0
2018.0,"文体","31-40岁",66.0
2018.0,"烟草","31-40岁",1.0
2018.0,"医疗","31-40岁",25.0
2018.0,"应急","31-40岁",707.0
2018.0,"住建","31-40岁",242.0
2019.0,"保密","31-40岁",6.0
2019.0,"财政","31-40岁",102.0
2019.0,"城管","31-40岁",250.0
2019.0,"档案","31-40岁",4.0
2019.0,"发改","31-40岁",8.0
2019.0,"工信","31-40岁",33.0
2019.0,"规自","31-40岁",378.0
2019.0,"交通","31-40岁",291.0
2019.0,"教育","31-40岁",59.0
2019.0,"金融","31-40岁",1.0
2019.0,"科创","31-40岁",16.0
2019.0,"民政","31-40岁",63.0
2019.0,"民宗","31-40岁",28.0
2019.0,"气象","31-40岁",4.0
2019.0,"人社","31-40岁",230.0
2019.0,"审计","31-40岁",100.0
2019.0,"生态","31-40岁",117.0
2019.0,"事单","31-40岁",11.0
2019.0,"市监","31-40岁",975.0
2019.0,"水务","31-40岁",174.0
2019.0,"司法","31-40岁",27.0
2019.0,"统计","31-40岁",78.0
2019.0,"退役","31-40岁",1.0
2019.0,"卫生","31-40岁",340.0
2019.0,"文体","31-40岁",66.0
2019.0,"烟草","31-40岁",1.0
2019.0,"医疗","31-40岁",54.0
2019.0,"应急","31-40岁",764.0
2019.0,"住建","31-40岁",309.0
2016.0,"保密","41-50岁",0.0
2016.0,"财政","41-50岁",0.0
2016.0,"城管","41-50岁",0.0
2016.0,"发改","41-50岁",0.0
2016.0,"工信","41-50岁",0.0
2016.0,"规自","41-50岁",0.0
2016.0,"交通","41-50岁",27.0
2016.0,"教育","41-50岁",0.0
2016.0,"金融","41-50岁",0.0
2016.0,"科创","41-50岁",0.0
2016.0,"民政","41-50岁",0.0
2016.0,"民宗","41-50岁",0.0
2016.0,"气象","41-50岁",0.0
2016.0,"人社","41-50岁",1.0
2016.0,"审计","41-50岁",0.0
2016.0,"生态","41-50岁",0.0
2016.0,"市监","41-50岁",0.0
2016.0,"水务","41-50岁",0.0
2016.0,"司法","41-50岁",0.0
2016.0,"统计","41-50岁",0.0
2016.0,"退役","41-50岁",0.0
2016.0,"卫生","41-50岁",0.0
2016.0,"文体","41-50岁",0.0
2016.0,"烟草","41-50岁",0.0
2016.0,"医疗","41-50岁",0.0
2016.0,"应急","41-50岁",0.0
2016.0,"住建","41-50岁",0.0
2017.0,"保密","41-50岁",0.0
2017.0,"财政","41-50岁",28.0
2017.0,"城管","41-50岁",181.0
2017.0,"发改","41-50岁",2.0
2017.0,"工信","41-50岁",12.0
2017.0,"规自","41-50岁",194.0
2017.0,"交通","41-50岁",122.0
2017.0,"教育","41-50岁",46.0
2017.0,"金融","41-50岁",0.0
2017.0,"科创","41-50岁",15.0
2017.0,"民政","41-50岁",21.0
2017.0,"民宗","41-50岁",5.0
2017.0,"气象","41-50岁",2.0
2017.0,"人社","41-50岁",120.0
2017.0,"审计","41-50岁",91.0
2017.0,"生态","41-50岁",166.0
2017.0,"市监","41-50岁",625.0
2017.0,"水务","41-50岁",129.0
2017.0,"司法","41-50岁",9.0
2017.0,"统计","41-50岁",35.0
2017.0,"退役","41-50岁",0.0
2017.0,"卫生","41-50岁",202.0
2017.0,"文体","41-50岁",36.0
2017.0,"烟草","41-50岁",3.0
2017.0,"医疗","41-50岁",6.0
2017.0,"应急","41-50岁",218.0
2017.0,"住建","41-50岁",183.0
2018.0,"保密","41-50岁",1.0
2018.0,"财政","41-50岁",45.0
2018.0,"城管","41-50岁",252.0
2018.0,"发改","41-50岁",2.0
2018.0,"工信","41-50岁",19.0
2018.0,"规自","41-50岁",251.0
2018.0,"交通","41-50岁",147.0
2018.0,"教育","41-50岁",55.0
2018.0,"金融","41-50岁",1.0
2018.0,"科创","41-50岁",20.0
2018.0,"民政","41-50岁",34.0
2018.0,"民宗","41-50岁",8.0
2018.0,"气象","41-50岁",2.0
2018.0,"人社","41-50岁",153.0
2018.0,"审计","41-50岁",93.0
2018.0,"生态","41-50岁",191.0
2018.0,"市监","41-50岁",685.0
2018.0,"水务","41-50岁",169.0
2018.0,"司法","41-50岁",18.0
2018.0,"统计","41-50岁",38.0
2018.0,"退役","41-50岁",0.0
2018.0,"卫生","41-50岁",249.0
2018.0,"文体","41-50岁",40.0
2018.0,"烟草","41-50岁",3.0
2018.0,"医疗","41-50岁",10.0
2018.0,"应急","41-50岁",296.0
2018.0,"住建","41-50岁",232.0
2019.0,"保密","41-50岁",1.0
2019.0,"财政","41-50岁",51.0
2019.0,"城管","41-50岁",274.0
2019.0,"发改","41-50岁",2.0
2019.0,"工信","41-50岁",21.0
2019.0,"规自","41-50岁",270.0
2019.0,"交通","41-50岁",222.0
2019.0,"教育","41-50岁",68.0
2019.0,"金融","41-50岁",1.0
2019.0,"科创","41-50岁",20.0
2019.0,"民政","41-50岁",38.0
2019.0,"民宗","41-50岁",16.0
2019.0,"气象","41-50岁",2.0
2019.0,"人社","41-50岁",171.0
2019.0,"审计","41-50岁",100.0
2019.0,"生态","41-50岁",192.0
2019.0,"市监","41-50岁",692.0
2019.0,"水务","41-50岁",183.0
2019.0,"司法","41-50岁",25.0
2019.0,"统计","41-50岁",43.0
2019.0,"退役","41-50岁",1.0
2019.0,"卫生","41-50岁",269.0
2019.0,"文体","41-50岁",43.0
2019.0,"烟草","41-50岁",3.0
2019.0,"医疗","41-50岁",38.0
2019.0,"应急","41-50岁",336.0
2019.0,"住建","41-50岁",280.0
2016.0,"财政","51-60岁",0.0
2016.0,"城管","51-60岁",0.0
2016.0,"档案","51-60岁",0.0
