"YEAR","PEO_ENFORCE_HANGYE","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2016.0,"保密",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"保密",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2018.0,"保密",7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
2019.0,"保密",7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
2016.0,"财政",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"财政",119.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0
2018.0,"财政",198.0,0.0,0.0,1.0,198.0,0.0,0.0,0.0,0.0,0.0
2019.0,"财政",223.0,0.0,0.0,1.0,223.0,0.0,0.0,0.0,0.0,0.0
2016.0,"城管",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"城管",406.0,0.0,0.0,1.0,406.0,0.0,0.0,0.0,0.0,0.0
2018.0,"城管",599.0,0.0,0.0,1.0,599.0,0.0,0.0,0.0,0.0,0.0
2019.0,"城管",667.0,0.0,0.0,1.0,667.0,0.0,0.0,0.0,0.0,0.0
2016.0,"档案",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"档案",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2018.0,"档案",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2019.0,"档案",9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
2016.0,"发改",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"发改",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2018.0,"发改",11.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
2019.0,"发改",13.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0
2016.0,"工信",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"工信",34.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0
2018.0,"工信",65.0,0.0,0.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0
2019.0,"工信",73.0,0.0,0.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自",562.0,0.0,0.0,1.0,562.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自",745.0,0.0,0.0,1.0,745.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自",801.0,0.0,0.0,1.0,801.0,0.0,0.0,0.0,0.0,0.0
2016.0,"交通",67.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0
2017.0,"交通",381.0,0.0,0.0,1.0,381.0,0.0,0.0,0.0,0.0,0.0
2018.0,"交通",560.0,0.0,0.0,1.0,560.0,0.0,0.0,0.0,0.0,0.0
2019.0,"交通",756.0,0.0,0.0,1.0,756.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育",122.0,0.0,0.0,1.0,122.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育",161.0,0.0,0.0,1.0,161.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育",184.0,0.0,0.0,1.0,184.0,0.0,0.0,0.0,0.0,0.0
2016.0,"金融",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"金融",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"金融",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2019.0,"金融",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2016.0,"科创",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"科创",34.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0
2018.0,"科创",53.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0
2019.0,"科创",54.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0
2016.0,"民政",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"民政",61.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0
2018.0,"民政",104.0,0.0,0.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0
2019.0,"民政",121.0,0.0,0.0,1.0,121.0,0.0,0.0,0.0,0.0,0.0
2016.0,"民宗",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"民宗",17.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0
2018.0,"民宗",33.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0
2019.0,"民宗",61.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0
2016.0,"气象",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
