"YEAR","PEO_ENFORCE_HANGYE","ENFORCEPEO_POLITIC","SUM(*)"
2016.0,"财政","共青团员",0.0
2016.0,"城管","共青团员",0.0
2016.0,"工信","共青团员",0.0
2016.0,"规自","共青团员",0.0
2016.0,"交通","共青团员",0.0
2016.0,"金融","共青团员",0.0
2016.0,"民宗","共青团员",0.0
2016.0,"人社","共青团员",0.0
2016.0,"审计","共青团员",0.0
2016.0,"生态","共青团员",0.0
2016.0,"事单","共青团员",0.0
2016.0,"市监","共青团员",0.0
2016.0,"水务","共青团员",0.0
2016.0,"司法","共青团员",0.0
2016.0,"统计","共青团员",0.0
2016.0,"卫生","共青团员",0.0
2016.0,"文体","共青团员",0.0
2016.0,"医疗","共青团员",0.0
2016.0,"应急","共青团员",0.0
2016.0,"住建","共青团员",0.0
2017.0,"财政","共青团员",0.0
2017.0,"城管","共青团员",6.0
2017.0,"工信","共青团员",0.0
2017.0,"规自","共青团员",12.0
2017.0,"交通","共青团员",5.0
2017.0,"金融","共青团员",0.0
2017.0,"民宗","共青团员",0.0
2017.0,"人社","共青团员",0.0
2017.0,"审计","共青团员",8.0
2017.0,"生态","共青团员",1.0
2017.0,"事单","共青团员",0.0
2017.0,"市监","共青团员",13.0
2017.0,"水务","共青团员",1.0
2017.0,"司法","共青团员",1.0
2017.0,"统计","共青团员",0.0
2017.0,"卫生","共青团员",4.0
2017.0,"文体","共青团员",0.0
2017.0,"医疗","共青团员",0.0
2017.0,"应急","共青团员",192.0
2017.0,"住建","共青团员",4.0
2018.0,"财政","共青团员",2.0
2018.0,"城管","共青团员",11.0
2018.0,"工信","共青团员",1.0
2018.0,"规自","共青团员",19.0
2018.0,"交通","共青团员",17.0
2018.0,"金融","共青团员",1.0
2018.0,"民宗","共青团员",1.0
2018.0,"人社","共青团员",4.0
2018.0,"审计","共青团员",9.0
2018.0,"生态","共青团员",2.0
2018.0,"事单","共青团员",1.0
2018.0,"市监","共青团员",37.0
2018.0,"水务","共青团员",2.0
2018.0,"司法","共青团员",1.0
2018.0,"统计","共青团员",1.0
2018.0,"卫生","共青团员",13.0
2018.0,"文体","共青团员",1.0
2018.0,"医疗","共青团员",1.0
2018.0,"应急","共青团员",292.0
2018.0,"住建","共青团员",14.0
2019.0,"财政","共青团员",2.0
2019.0,"城管","共青团员",11.0
2019.0,"工信","共青团员",2.0
2019.0,"规自","共青团员",19.0
2019.0,"交通","共青团员",19.0
2019.0,"金融","共青团员",1.0
2019.0,"民宗","共青团员",1.0
2019.0,"人社","共青团员",9.0
2019.0,"审计","共青团员",12.0
2019.0,"生态","共青团员",2.0
2019.0,"事单","共青团员",1.0
2019.0,"市监","共青团员",44.0
2019.0,"水务","共青团员",2.0
2019.0,"司法","共青团员",1.0
2019.0,"统计","共青团员",3.0
2019.0,"卫生","共青团员",13.0
2019.0,"文体","共青团员",1.0
2019.0,"医疗","共青团员",1.0
2019.0,"应急","共青团员",297.0
2019.0,"住建","共青团员",15.0
2016.0,"财政","民主党派",0.0
2016.0,"城管","民主党派",0.0
2016.0,"工信","民主党派",0.0
2016.0,"规自","民主党派",0.0
2016.0,"交通","民主党派",3.0
2016.0,"教育","民主党派",0.0
2016.0,"科创","民主党派",0.0
2016.0,"民政","民主党派",0.0
2016.0,"人社","民主党派",0.0
2016.0,"审计","民主党派",0.0
2016.0,"生态","民主党派",0.0
2016.0,"市监","民主党派",0.0
2016.0,"水务","民主党派",0.0
2016.0,"司法","民主党派",0.0
2016.0,"统计","民主党派",0.0
2016.0,"卫生","民主党派",0.0
2016.0,"文体","民主党派",0.0
2016.0,"医疗","民主党派",0.0
2016.0,"应急","民主党派",0.0
2016.0,"住建","民主党派",0.0
2017.0,"财政","民主党派",5.0
2017.0,"城管","民主党派",6.0
2017.0,"工信","民主党派",2.0
2017.0,"规自","民主党派",9.0
2017.0,"交通","民主党派",7.0
2017.0,"教育","民主党派",1.0
2017.0,"科创","民主党派",2.0
2017.0,"民政","民主党派",2.0
2017.0,"人社","民主党派",3.0
2017.0,"审计","民主党派",12.0
2017.0,"生态","民主党派",7.0
2017.0,"市监","民主党派",21.0
2017.0,"水务","民主党派",3.0
2017.0,"司法","民主党派",2.0
2017.0,"统计","民主党派",3.0
2017.0,"卫生","民主党派",14.0
2017.0,"文体","民主党派",2.0
2017.0,"医疗","民主党派",0.0
2017.0,"应急","民主党派",6.0
2017.0,"住建","民主党派",15.0
2018.0,"财政","民主党派",8.0
2018.0,"城管","民主党派",7.0
2018.0,"工信","民主党派",3.0
2018.0,"规自","民主党派",11.0
2018.0,"交通","民主党派",11.0
2018.0,"教育","民主党派",1.0
2018.0,"科创","民主党派",3.0
2018.0,"民政","民主党派",3.0
2018.0,"人社","民主党派",3.0
2018.0,"审计","民主党派",12.0
2018.0,"生态","民主党派",8.0
