"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_AGE","SUM(*)"
2016.0,"财政","宝安区","30岁以下",0.0
2016.0,"财政","福田区","30岁以下",0.0
2016.0,"财政","光明区","30岁以下",0.0
2016.0,"财政","龙华区","30岁以下",0.0
2016.0,"财政","罗湖区","30岁以下",0.0
2016.0,"财政","南山区","30岁以下",0.0
2016.0,"财政","盐田区","30岁以下",0.0
2016.0,"城管","宝安区","30岁以下",0.0
2016.0,"城管","大鹏新区","30岁以下",0.0
2016.0,"城管","龙岗区","30岁以下",0.0
2016.0,"城管","罗湖区","30岁以下",0.0
2016.0,"城管","南山区","30岁以下",0.0
2016.0,"城管","坪山区","30岁以下",0.0
2016.0,"城管","盐田区","30岁以下",0.0
2016.0,"工信","龙华区","30岁以下",0.0
2016.0,"工信","南山区","30岁以下",0.0
2016.0,"规自","宝安区","30岁以下",0.0
2016.0,"规自","大鹏新区","30岁以下",0.0
2016.0,"规自","福田区","30岁以下",0.0
2016.0,"规自","光明区","30岁以下",0.0
2016.0,"规自","龙华区","30岁以下",0.0
2016.0,"规自","罗湖区","30岁以下",0.0
2016.0,"规自","南山区","30岁以下",0.0
2016.0,"规自","坪山区","30岁以下",0.0
2016.0,"规自","盐田区","30岁以下",0.0
2016.0,"教育","宝安区","30岁以下",0.0
2016.0,"教育","福田区","30岁以下",0.0
2016.0,"教育","龙岗区","30岁以下",0.0
2016.0,"教育","龙华区","30岁以下",0.0
2016.0,"教育","坪山区","30岁以下",0.0
2016.0,"民政","龙华区","30岁以下",0.0
2016.0,"民政","南山区","30岁以下",0.0
2016.0,"民宗","福田区","30岁以下",0.0
2016.0,"民宗","龙华区","30岁以下",0.0
2016.0,"民宗","罗湖区","30岁以下",0.0
2016.0,"民宗","盐田区","30岁以下",0.0
2016.0,"人社","宝安区","30岁以下",0.0
2016.0,"人社","光明区","30岁以下",1.0
2016.0,"人社","龙岗区","30岁以下",0.0
2016.0,"人社","龙华区","30岁以下",0.0
2016.0,"人社","罗湖区","30岁以下",0.0
2016.0,"人社","南山区","30岁以下",0.0
2016.0,"人社","坪山区","30岁以下",0.0
2016.0,"人社","盐田区","30岁以下",0.0
2016.0,"审计","宝安区","30岁以下",0.0
2016.0,"审计","福田区","30岁以下",0.0
2016.0,"审计","龙岗区","30岁以下",0.0
2016.0,"审计","龙华区","30岁以下",0.0
2016.0,"审计","罗湖区","30岁以下",0.0
2016.0,"审计","南山区","30岁以下",0.0
2016.0,"审计","坪山区","30岁以下",0.0
2016.0,"审计","盐田区","30岁以下",0.0
2016.0,"生态","宝安区","30岁以下",0.0
2016.0,"生态","大鹏新区","30岁以下",0.0
2016.0,"生态","福田区","30岁以下",0.0
2016.0,"生态","光明区","30岁以下",0.0
2016.0,"生态","龙华区","30岁以下",0.0
2016.0,"生态","罗湖区","30岁以下",0.0
2016.0,"生态","南山区","30岁以下",0.0
2016.0,"生态","盐田区","30岁以下",0.0
2016.0,"事单","罗湖区","30岁以下",0.0
2016.0,"市监","宝安区","30岁以下",0.0
2016.0,"市监","大鹏新区","30岁以下",0.0
2016.0,"市监","福田区","30岁以下",0.0
2016.0,"市监","光明区","30岁以下",0.0
2016.0,"市监","龙岗区","30岁以下",0.0
2016.0,"市监","龙华区","30岁以下",0.0
2016.0,"市监","罗湖区","30岁以下",0.0
2016.0,"市监","南山区","30岁以下",0.0
2016.0,"市监","坪山区","30岁以下",0.0
2016.0,"市监","盐田区","30岁以下",0.0
2016.0,"水务","宝安区","30岁以下",0.0
2016.0,"水务","大鹏新区","30岁以下",0.0
2016.0,"水务","福田区","30岁以下",0.0
2016.0,"水务","光明区","30岁以下",0.0
2016.0,"水务","龙岗区","30岁以下",0.0
2016.0,"水务","龙华区","30岁以下",0.0
2016.0,"水务","罗湖区","30岁以下",0.0
2016.0,"水务","盐田区","30岁以下",0.0
2016.0,"司法","宝安区","30岁以下",0.0
2016.0,"司法","福田区","30岁以下",0.0
2016.0,"司法","龙华区","30岁以下",0.0
2016.0,"司法","罗湖区","30岁以下",0.0
2016.0,"司法","坪山区","30岁以下",0.0
2016.0,"司法","盐田区","30岁以下",0.0
2016.0,"统计","宝安区","30岁以下",0.0
2016.0,"统计","福田区","30岁以下",0.0
2016.0,"统计","罗湖区","30岁以下",0.0
2016.0,"统计","南山区","30岁以下",0.0
2016.0,"统计","坪山区","30岁以下",0.0
2016.0,"统计","盐田区","30岁以下",0.0
2016.0,"卫生","宝安区","30岁以下",0.0
2016.0,"卫生","福田区","30岁以下",0.0
2016.0,"卫生","光明区","30岁以下",0.0
2016.0,"卫生","龙岗区","30岁以下",0.0
2016.0,"卫生","罗湖区","30岁以下",0.0
2016.0,"卫生","南山区","30岁以下",0.0
2016.0,"卫生","坪山区","30岁以下",0.0
2016.0,"卫生","盐田区","30岁以下",0.0
2016.0,"文体","宝安区","30岁以下",0.0
2016.0,"文体","福田区","30岁以下",0.0
2016.0,"文体","光明区","30岁以下",0.0
2016.0,"文体","龙岗区","30岁以下",0.0
2016.0,"文体","罗湖区","30岁以下",0.0
2016.0,"文体","南山区","30岁以下",0.0
2016.0,"医疗","光明区","30岁以下",0.0
2016.0,"医疗","龙华区","30岁以下",0.0
2016.0,"医疗","罗湖区","30岁以下",0.0
2016.0,"应急","宝安区","30岁以下",0.0
2016.0,"应急","大鹏新区","30岁以下",0.0
2016.0,"应急","福田区","30岁以下",0.0
2016.0,"应急","光明区","30岁以下",0.0
2016.0,"应急","龙岗区","30岁以下",0.0
2016.0,"应急","龙华区","30岁以下",0.0
2016.0,"应急","罗湖区","30岁以下",0.0
2016.0,"应急","南山区","30岁以下",0.0
2016.0,"应急","坪山区","30岁以下",0.0
2016.0,"应急","盐田区","30岁以下",0.0
2016.0,"住建","宝安区","30岁以下",0.0
2016.0,"住建","大鹏新区","30岁以下",0.0
2016.0,"住建","福田区","30岁以下",0.0
2016.0,"住建","光明区","30岁以下",0.0
2016.0,"住建","龙岗区","30岁以下",0.0
2016.0,"住建","龙华区","30岁以下",0.0
2016.0,"住建","罗湖区","30岁以下",0.0
2016.0,"住建","南山区","30岁以下",0.0
2016.0,"住建","坪山区","30岁以下",0.0
2016.0,"住建","盐田区","30岁以下",0.0
2017.0,"财政","宝安区","30岁以下",0.0
2017.0,"财政","福田区","30岁以下",1.0
2017.0,"财政","光明区","30岁以下",1.0
2017.0,"财政","龙华区","30岁以下",1.0
2017.0,"财政","罗湖区","30岁以下",1.0
2017.0,"财政","南山区","30岁以下",0.0
2017.0,"财政","盐田区","30岁以下",0.0
2017.0,"城管","宝安区","30岁以下",1.0
2017.0,"城管","大鹏新区","30岁以下",1.0
2017.0,"城管","龙岗区","30岁以下",3.0
2017.0,"城管","罗湖区","30岁以下",2.0
2017.0,"城管","南山区","30岁以下",6.0
2017.0,"城管","坪山区","30岁以下",1.0
2017.0,"城管","盐田区","30岁以下",0.0
2017.0,"工信","龙华区","30岁以下",0.0
2017.0,"工信","南山区","30岁以下",1.0
2017.0,"规自","宝安区","30岁以下",0.0
2017.0,"规自","大鹏新区","30岁以下",5.0
2017.0,"规自","福田区","30岁以下",1.0
2017.0,"规自","光明区","30岁以下",2.0
2017.0,"规自","龙华区","30岁以下",4.0
2017.0,"规自","罗湖区","30岁以下",2.0
2017.0,"规自","南山区","30岁以下",2.0
2017.0,"规自","坪山区","30岁以下",5.0
2017.0,"规自","盐田区","30岁以下",3.0
2017.0,"教育","宝安区","30岁以下",0.0
2017.0,"教育","福田区","30岁以下",3.0
2017.0,"教育","龙岗区","30岁以下",0.0
2017.0,"教育","龙华区","30岁以下",1.0
2017.0,"教育","坪山区","30岁以下",0.0
2017.0,"民政","龙华区","30岁以下",1.0
2017.0,"民政","南山区","30岁以下",1.0
2017.0,"民宗","福田区","30岁以下",0.0
2017.0,"民宗","龙华区","30岁以下",0.0
2017.0,"民宗","罗湖区","30岁以下",0.0
