"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2016.0,"保密","光明区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"保密","光明区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018.0,"保密","光明区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2019.0,"保密","光明区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016.0,"保密","龙岗区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"保密","龙岗区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"保密","龙岗区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,"保密","龙岗区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2016.0,"保密","龙华区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"保密","龙华区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"保密","龙华区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,"保密","龙华区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2016.0,"保密","坪山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"保密","坪山区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2018.0,"保密","坪山区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,"保密","坪山区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2016.0,"财政","宝安区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"财政","宝安区",8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2018.0,"财政","宝安区",28.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0
2019.0,"财政","宝安区",28.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0
2016.0,"财政","大鹏新区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"财政","大鹏新区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"财政","大鹏新区",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2019.0,"财政","大鹏新区",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2016.0,"财政","福田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"财政","福田区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2018.0,"财政","福田区",22.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0
2019.0,"财政","福田区",22.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0
2016.0,"财政","光明区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"财政","光明区",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2018.0,"财政","光明区",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2019.0,"财政","光明区",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2016.0,"财政","龙岗区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"财政","龙岗区",9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
