"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_POLITIC","SUM(*)"
2016.0,"财政","福田区","共青团员",0.0
2016.0,"城管","宝安区","共青团员",0.0
2016.0,"城管","龙岗区","共青团员",0.0
2016.0,"城管","南山区","共青团员",0.0
2016.0,"城管","坪山区","共青团员",0.0
2016.0,"工信","龙华区","共青团员",0.0
2016.0,"规自","宝安区","共青团员",0.0
2016.0,"规自","大鹏新区","共青团员",0.0
2016.0,"规自","龙华区","共青团员",0.0
2016.0,"规自","罗湖区","共青团员",0.0
2016.0,"规自","盐田区","共青团员",0.0
2016.0,"民宗","龙华区","共青团员",0.0
2016.0,"人社","宝安区","共青团员",0.0
2016.0,"人社","龙华区","共青团员",0.0
2016.0,"人社","坪山区","共青团员",0.0
2016.0,"人社","盐田区","共青团员",0.0
2016.0,"审计","龙岗区","共青团员",0.0
2016.0,"审计","南山区","共青团员",0.0
2016.0,"审计","盐田区","共青团员",0.0
2016.0,"生态","光明区","共青团员",0.0
2016.0,"事单","罗湖区","共青团员",0.0
2016.0,"市监","宝安区","共青团员",0.0
2016.0,"市监","大鹏新区","共青团员",0.0
2016.0,"市监","光明区","共青团员",0.0
2016.0,"市监","龙岗区","共青团员",0.0
2016.0,"市监","罗湖区","共青团员",0.0
2016.0,"市监","南山区","共青团员",0.0
2016.0,"市监","坪山区","共青团员",0.0
2016.0,"水务","宝安区","共青团员",0.0
2016.0,"水务","大鹏新区","共青团员",0.0
2016.0,"司法","福田区","共青团员",0.0
2016.0,"统计","坪山区","共青团员",0.0
2016.0,"统计","盐田区","共青团员",0.0
2016.0,"卫生","福田区","共青团员",0.0
2016.0,"卫生","光明区","共青团员",0.0
2016.0,"卫生","罗湖区","共青团员",0.0
2016.0,"文体","龙岗区","共青团员",0.0
2016.0,"医疗","盐田区","共青团员",0.0
2016.0,"应急","宝安区","共青团员",0.0
2016.0,"应急","大鹏新区","共青团员",0.0
2016.0,"应急","福田区","共青团员",0.0
2016.0,"应急","光明区","共青团员",0.0
2016.0,"应急","龙岗区","共青团员",0.0
2016.0,"应急","龙华区","共青团员",0.0
2016.0,"应急","罗湖区","共青团员",0.0
2016.0,"应急","南山区","共青团员",0.0
2016.0,"应急","坪山区","共青团员",0.0
2016.0,"应急","盐田区","共青团员",0.0
2016.0,"住建","宝安区","共青团员",0.0
2016.0,"住建","大鹏新区","共青团员",0.0
2016.0,"住建","龙华区","共青团员",0.0
2016.0,"住建","罗湖区","共青团员",0.0
2017.0,"财政","福田区","共青团员",0.0
2017.0,"城管","宝安区","共青团员",1.0
2017.0,"城管","龙岗区","共青团员",1.0
2017.0,"城管","南山区","共青团员",3.0
2017.0,"城管","坪山区","共青团员",1.0
2017.0,"工信","龙华区","共青团员",0.0
2017.0,"规自","宝安区","共青团员",0.0
2017.0,"规自","大鹏新区","共青团员",5.0
2017.0,"规自","龙华区","共青团员",0.0
2017.0,"规自","罗湖区","共青团员",0.0
2017.0,"规自","盐田区","共青团员",7.0
2017.0,"民宗","龙华区","共青团员",0.0
2017.0,"人社","宝安区","共青团员",0.0
2017.0,"人社","龙华区","共青团员",0.0
2017.0,"人社","坪山区","共青团员",0.0
2017.0,"人社","盐田区","共青团员",0.0
2017.0,"审计","龙岗区","共青团员",5.0
2017.0,"审计","南山区","共青团员",0.0
2017.0,"审计","盐田区","共青团员",0.0
2017.0,"生态","光明区","共青团员",1.0
2017.0,"事单","罗湖区","共青团员",0.0
2017.0,"市监","宝安区","共青团员",4.0
2017.0,"市监","大鹏新区","共青团员",1.0
2017.0,"市监","光明区","共青团员",0.0
2017.0,"市监","龙岗区","共青团员",7.0
2017.0,"市监","罗湖区","共青团员",0.0
2017.0,"市监","南山区","共青团员",0.0
2017.0,"市监","坪山区","共青团员",1.0
2017.0,"水务","宝安区","共青团员",1.0
2017.0,"水务","大鹏新区","共青团员",0.0
2017.0,"司法","福田区","共青团员",1.0
2017.0,"统计","坪山区","共青团员",0.0
2017.0,"统计","盐田区","共青团员",0.0
2017.0,"卫生","福田区","共青团员",1.0
2017.0,"卫生","光明区","共青团员",2.0
2017.0,"卫生","罗湖区","共青团员",0.0
2017.0,"文体","龙岗区","共青团员",0.0
2017.0,"医疗","盐田区","共青团员",0.0
2017.0,"应急","宝安区","共青团员",2.0
2017.0,"应急","大鹏新区","共青团员",13.0
2017.0,"应急","福田区","共青团员",3.0
2017.0,"应急","光明区","共青团员",1.0
2017.0,"应急","龙岗区","共青团员",15.0
2017.0,"应急","龙华区","共青团员",0.0
2017.0,"应急","罗湖区","共青团员",4.0
2017.0,"应急","南山区","共青团员",147.0
2017.0,"应急","坪山区","共青团员",3.0
2017.0,"应急","盐田区","共青团员",4.0
2017.0,"住建","宝安区","共青团员",3.0
2017.0,"住建","大鹏新区","共青团员",1.0
2017.0,"住建","龙华区","共青团员",0.0
2017.0,"住建","罗湖区","共青团员",0.0
2018.0,"财政","福田区","共青团员",2.0
2018.0,"城管","宝安区","共青团员",1.0
2018.0,"城管","龙岗区","共青团员",3.0
2018.0,"城管","南山区","共青团员",3.0
2018.0,"城管","坪山区","共青团员",4.0
2018.0,"工信","龙华区","共青团员",1.0
2018.0,"规自","宝安区","共青团员",1.0
2018.0,"规自","大鹏新区","共青团员",8.0
2018.0,"规自","龙华区","共青团员",2.0
2018.0,"规自","罗湖区","共青团员",1.0
2018.0,"规自","盐田区","共青团员",7.0
2018.0,"民宗","龙华区","共青团员",1.0
2018.0,"人社","宝安区","共青团员",0.0
2018.0,"人社","龙华区","共青团员",1.0
2018.0,"人社","坪山区","共青团员",0.0
2018.0,"人社","盐田区","共青团员",2.0
2018.0,"审计","龙岗区","共青团员",5.0
2018.0,"审计","南山区","共青团员",1.0
2018.0,"审计","盐田区","共青团员",0.0
2018.0,"生态","光明区","共青团员",1.0
2018.0,"事单","罗湖区","共青团员",1.0
2018.0,"市监","宝安区","共青团员",8.0
2018.0,"市监","大鹏新区","共青团员",2.0
2018.0,"市监","光明区","共青团员",1.0
2018.0,"市监","龙岗区","共青团员",14.0
2018.0,"市监","罗湖区","共青团员",8.0
2018.0,"市监","南山区","共青团员",1.0
2018.0,"市监","坪山区","共青团员",3.0
2018.0,"水务","宝安区","共青团员",1.0
2018.0,"水务","大鹏新区","共青团员",1.0
2018.0,"司法","福田区","共青团员",1.0
2018.0,"统计","坪山区","共青团员",0.0
2018.0,"统计","盐田区","共青团员",1.0
2018.0,"卫生","福田区","共青团员",8.0
2018.0,"卫生","光明区","共青团员",2.0
2018.0,"卫生","罗湖区","共青团员",2.0
2018.0,"文体","龙岗区","共青团员",1.0
2018.0,"医疗","盐田区","共青团员",1.0
2018.0,"应急","宝安区","共青团员",6.0
2018.0,"应急","大鹏新区","共青团员",14.0
2018.0,"应急","福田区","共青团员",9.0
2018.0,"应急","光明区","共青团员",1.0
2018.0,"应急","龙岗区","共青团员",33.0
2018.0,"应急","龙华区","共青团员",1.0
2018.0,"应急","罗湖区","共青团员",6.0
