"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_SEX","SUM(*)"
2016.0,"保密","光明区","男",0.0
2016.0,"保密","龙岗区","男",0.0
2016.0,"保密","龙华区","男",0.0
2016.0,"保密","坪山区","男",0.0
2016.0,"财政","宝安区","男",0.0
2016.0,"财政","大鹏新区","男",0.0
2016.0,"财政","福田区","男",0.0
2016.0,"财政","光明区","男",0.0
2016.0,"财政","龙岗区","男",0.0
2016.0,"财政","龙华区","男",0.0
2016.0,"财政","罗湖区","男",0.0
2016.0,"财政","南山区","男",0.0
2016.0,"财政","坪山区","男",0.0
2016.0,"财政","盐田区","男",0.0
2016.0,"城管","宝安区","男",0.0
2016.0,"城管","大鹏新区","男",0.0
2016.0,"城管","福田区","男",0.0
2016.0,"城管","光明区","男",0.0
2016.0,"城管","龙岗区","男",0.0
2016.0,"城管","龙华区","男",0.0
2016.0,"城管","罗湖区","男",0.0
2016.0,"城管","南山区","男",0.0
2016.0,"城管","坪山区","男",0.0
2016.0,"城管","盐田区","男",0.0
2016.0,"档案","罗湖区","男",0.0
2016.0,"档案","盐田区","男",0.0
2016.0,"发改","大鹏新区","男",0.0
2016.0,"发改","光明区","男",0.0
2016.0,"工信","宝安区","男",0.0
2016.0,"工信","龙华区","男",0.0
2016.0,"工信","南山区","男",0.0
2016.0,"规自","宝安区","男",0.0
2016.0,"规自","大鹏新区","男",0.0
2016.0,"规自","福田区","男",0.0
2016.0,"规自","光明区","男",0.0
2016.0,"规自","龙岗区","男",0.0
2016.0,"规自","龙华区","男",0.0
2016.0,"规自","罗湖区","男",0.0
2016.0,"规自","南山区","男",0.0
2016.0,"规自","坪山区","男",0.0
2016.0,"规自","盐田区","男",0.0
2016.0,"教育","宝安区","男",0.0
2016.0,"教育","福田区","男",0.0
2016.0,"教育","光明区","男",0.0
2016.0,"教育","龙岗区","男",0.0
2016.0,"教育","龙华区","男",0.0
2016.0,"教育","罗湖区","男",0.0
2016.0,"教育","南山区","男",0.0
2016.0,"教育","坪山区","男",0.0
2016.0,"民政","宝安区","男",0.0
2016.0,"民政","福田区","男",0.0
2016.0,"民政","光明区","男",0.0
2016.0,"民政","龙岗区","男",0.0
2016.0,"民政","龙华区","男",0.0
2016.0,"民政","罗湖区","男",0.0
2016.0,"民政","南山区","男",0.0
2016.0,"民政","坪山区","男",0.0
2016.0,"民政","盐田区","男",0.0
2016.0,"民宗","宝安区","男",0.0
2016.0,"民宗","福田区","男",0.0
2016.0,"民宗","光明区","男",0.0
2016.0,"民宗","龙岗区","男",0.0
2016.0,"民宗","龙华区","男",0.0
2016.0,"民宗","罗湖区","男",0.0
2016.0,"民宗","南山区","男",0.0
2016.0,"民宗","坪山区","男",0.0
2016.0,"民宗","盐田区","男",0.0
2016.0,"人社","宝安区","男",0.0
2016.0,"人社","大鹏新区","男",0.0
2016.0,"人社","福田区","男",0.0
2016.0,"人社","光明区","男",2.0
2016.0,"人社","龙岗区","男",0.0
2016.0,"人社","龙华区","男",0.0
2016.0,"人社","罗湖区","男",0.0
2016.0,"人社","南山区","男",0.0
2016.0,"人社","坪山区","男",2.0
2016.0,"人社","盐田区","男",0.0
2016.0,"审计","宝安区","男",0.0
2016.0,"审计","福田区","男",0.0
2016.0,"审计","光明区","男",0.0
2016.0,"审计","龙岗区","男",0.0
2016.0,"审计","龙华区","男",0.0
2016.0,"审计","罗湖区","男",0.0
2016.0,"审计","南山区","男",0.0
2016.0,"审计","坪山区","男",0.0
2016.0,"审计","盐田区","男",0.0
2016.0,"生态","宝安区","男",0.0
2016.0,"生态","大鹏新区","男",0.0
2016.0,"生态","福田区","男",0.0
2016.0,"生态","光明区","男",0.0
2016.0,"生态","龙岗区","男",0.0
2016.0,"生态","龙华区","男",0.0
2016.0,"生态","罗湖区","男",0.0
2016.0,"生态","南山区","男",0.0
2016.0,"生态","坪山区","男",0.0
2016.0,"生态","盐田区","男",0.0
2016.0,"事单","龙岗区","男",0.0
2016.0,"事单","龙华区","男",0.0
2016.0,"事单","罗湖区","男",0.0
2016.0,"市监","宝安区","男",0.0
2016.0,"市监","大鹏新区","男",0.0
2016.0,"市监","福田区","男",0.0
2016.0,"市监","光明区","男",0.0
2016.0,"市监","龙岗区","男",0.0
2016.0,"市监","龙华区","男",0.0
2016.0,"市监","罗湖区","男",0.0
2016.0,"市监","南山区","男",0.0
