"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_STAFFTYPE","SUM(*)"
2016.0,"应急","宝安区","安全员",0.0
2016.0,"应急","大鹏新区","安全员",0.0
2016.0,"应急","福田区","安全员",0.0
2016.0,"应急","光明区","安全员",0.0
2016.0,"应急","龙岗区","安全员",0.0
2016.0,"应急","龙华区","安全员",0.0
2016.0,"应急","罗湖区","安全员",0.0
2016.0,"应急","南山区","安全员",0.0
2016.0,"应急","坪山区","安全员",0.0
2016.0,"应急","盐田区","安全员",0.0
2017.0,"应急","宝安区","安全员",34.0
2017.0,"应急","大鹏新区","安全员",19.0
2017.0,"应急","福田区","安全员",95.0
2017.0,"应急","光明区","安全员",2.0
2017.0,"应急","龙岗区","安全员",20.0
2017.0,"应急","龙华区","安全员",63.0
2017.0,"应急","罗湖区","安全员",80.0
2017.0,"应急","南山区","安全员",158.0
2017.0,"应急","坪山区","安全员",8.0
2017.0,"应急","盐田区","安全员",3.0
2018.0,"应急","宝安区","安全员",39.0
2018.0,"应急","大鹏新区","安全员",21.0
2018.0,"应急","福田区","安全员",179.0
2018.0,"应急","光明区","安全员",2.0
2018.0,"应急","龙岗区","安全员",98.0
2018.0,"应急","龙华区","安全员",228.0
2018.0,"应急","罗湖区","安全员",113.0
2018.0,"应急","南山区","安全员",220.0
2018.0,"应急","坪山区","安全员",82.0
2018.0,"应急","盐田区","安全员",9.0
2019.0,"应急","宝安区","安全员",39.0
2019.0,"应急","大鹏新区","安全员",21.0
2019.0,"应急","福田区","安全员",179.0
2019.0,"应急","光明区","安全员",2.0
2019.0,"应急","龙岗区","安全员",113.0
2019.0,"应急","龙华区","安全员",253.0
2019.0,"应急","罗湖区","安全员",114.0
2019.0,"应急","南山区","安全员",223.0
2019.0,"应急","坪山区","安全员",89.0
2019.0,"应急","盐田区","安全员",9.0
2016.0,"保密","龙岗区","公务员",0.0
2016.0,"保密","龙华区","公务员",0.0
2016.0,"保密","坪山区","公务员",0.0
2016.0,"财政","宝安区","公务员",0.0
2016.0,"财政","大鹏新区","公务员",0.0
2016.0,"财政","福田区","公务员",0.0
2016.0,"财政","光明区","公务员",0.0
2016.0,"财政","龙岗区","公务员",0.0
2016.0,"财政","龙华区","公务员",0.0
2016.0,"财政","罗湖区","公务员",0.0
2016.0,"财政","南山区","公务员",0.0
2016.0,"财政","坪山区","公务员",0.0
2016.0,"财政","盐田区","公务员",0.0
2016.0,"城管","宝安区","公务员",0.0
2016.0,"城管","大鹏新区","公务员",0.0
2016.0,"城管","福田区","公务员",0.0
2016.0,"城管","光明区","公务员",0.0
2016.0,"城管","龙岗区","公务员",0.0
2016.0,"城管","龙华区","公务员",0.0
2016.0,"城管","罗湖区","公务员",0.0
2016.0,"城管","南山区","公务员",0.0
2016.0,"城管","坪山区","公务员",0.0
2016.0,"城管","盐田区","公务员",0.0
2016.0,"档案","龙岗区","公务员",0.0
2016.0,"档案","罗湖区","公务员",0.0
2016.0,"档案","盐田区","公务员",0.0
