"YEAR","PEO_ENFORCE_HANGYE","ENFORCEPEO_SEX","SUM(*)"
2016.0,"保密","男",0.0
2016.0,"财政","男",0.0
2016.0,"城管","男",0.0
2016.0,"档案","男",0.0
2016.0,"发改","男",0.0
2016.0,"工信","男",0.0
2016.0,"规自","男",0.0
2016.0,"交通","男",52.0
2016.0,"教育","男",0.0
2016.0,"金融","男",0.0
2016.0,"科创","男",0.0
2016.0,"民政","男",0.0
2016.0,"民宗","男",0.0
2016.0,"气象","男",0.0
2016.0,"人社","男",4.0
2016.0,"审计","男",0.0
2016.0,"生态","男",0.0
2016.0,"事单","男",0.0
2016.0,"市监","男",0.0
2016.0,"水务","男",0.0
2016.0,"司法","男",0.0
2016.0,"统计","男",0.0
2016.0,"退役","男",0.0
2016.0,"卫生","男",0.0
2016.0,"文体","男",0.0
2016.0,"烟草","男",0.0
2016.0,"医疗","男",0.0
2016.0,"应急","男",0.0
2016.0,"住建","男",0.0
2017.0,"保密","男",3.0
2017.0,"财政","男",70.0
2017.0,"城管","男",343.0
2017.0,"档案","男",2.0
2017.0,"发改","男",2.0
2017.0,"工信","男",15.0
2017.0,"规自","男",391.0
2017.0,"交通","男",270.0
2017.0,"教育","男",75.0
2017.0,"金融","男",0.0
2017.0,"科创","男",20.0
2017.0,"民政","男",32.0
2017.0,"民宗","男",16.0
2017.0,"气象","男",6.0
2017.0,"人社","男",226.0
2017.0,"审计","男",123.0
2017.0,"生态","男",278.0
2017.0,"事单","男",1.0
2017.0,"市监","男",1464.0
2017.0,"水务","男",285.0
2017.0,"司法","男",11.0
2017.0,"统计","男",57.0
2017.0,"退役","男",0.0
2017.0,"卫生","男",390.0
2017.0,"文体","男",91.0
2017.0,"烟草","男",4.0
2017.0,"医疗","男",14.0
2017.0,"应急","男",763.0
2017.0,"住建","男",373.0
2018.0,"保密","男",7.0
2018.0,"财政","男",104.0
2018.0,"城管","男",508.0
2018.0,"档案","男",3.0
2018.0,"发改","男",7.0
2018.0,"工信","男",37.0
2018.0,"规自","男",548.0
2018.0,"交通","男",397.0
2018.0,"教育","男",103.0
2018.0,"金融","男",1.0
2018.0,"科创","男",31.0
2018.0,"民政","男",59.0
2018.0,"民宗","男",25.0
2018.0,"气象","男",6.0
2018.0,"人社","男",310.0
2018.0,"审计","男",136.0
2018.0,"生态","男",335.0
2018.0,"事单","男",9.0
2018.0,"市监","男",1763.0
2018.0,"水务","男",383.0
2018.0,"司法","男",25.0
2018.0,"统计","男",63.0
2018.0,"退役","男",1.0
2018.0,"卫生","男",486.0
2018.0,"文体","男",118.0
2018.0,"烟草","男",4.0
2018.0,"医疗","男",27.0
2018.0,"应急","男",1367.0
2018.0,"住建","男",514.0
2019.0,"保密","男",7.0
2019.0,"财政","男",118.0
2019.0,"城管","男",563.0
2019.0,"档案","男",5.0
2019.0,"发改","男",9.0
2019.0,"工信","男",43.0
2019.0,"规自","男",590.0
2019.0,"交通","男",536.0
2019.0,"教育","男",118.0
2019.0,"金融","男",1.0
2019.0,"科创","男",32.0
2019.0,"民政","男",72.0
2019.0,"民宗","男",47.0
2019.0,"气象","男",6.0
2019.0,"人社","男",350.0
2019.0,"审计","男",144.0
2019.0,"生态","男",336.0
2019.0,"事单","男",9.0
2019.0,"市监","男",1799.0
2019.0,"水务","男",409.0
2019.0,"司法","男",41.0
2019.0,"统计","男",81.0
2019.0,"退役","男",1.0
2019.0,"卫生","男",515.0
2019.0,"文体","男",123.0
2019.0,"烟草","男",4.0
2019.0,"医疗","男",76.0
2019.0,"应急","男",1498.0
2019.0,"住建","男",601.0
2016.0,"财政","女",0.0
2016.0,"城管","女",0.0
2016.0,"档案","女",0.0
2016.0,"发改","女",0.0
2016.0,"工信","女",0.0
2016.0,"规自","女",0.0
2016.0,"交通","女",15.0
2016.0,"教育","女",0.0
2016.0,"金融","女",0.0
2016.0,"科创","女",0.0
2016.0,"民政","女",0.0
2016.0,"民宗","女",0.0
2016.0,"人社","女",0.0
2016.0,"审计","女",0.0
2016.0,"生态","女",0.0
2016.0,"事单","女",0.0
2016.0,"市监","女",0.0
2016.0,"水务","女",0.0
2016.0,"司法","女",0.0
2016.0,"统计","女",0.0
2016.0,"退役","女",0.0
2016.0,"卫生","女",0.0
2016.0,"文体","女",0.0
2016.0,"医疗","女",0.0
2016.0,"应急","女",0.0
2016.0,"住建","女",0.0
2017.0,"财政","女",49.0
2017.0,"城管","女",62.0
2017.0,"档案","女",2.0
2017.0,"发改","女",3.0
2017.0,"工信","女",19.0
2017.0,"规自","女",171.0
2017.0,"交通","女",111.0
2017.0,"教育","女",47.0
