"YEAR","PEO_ENFORCE_HANGYE","ENFORCEPEO_STAFFTYPE","SUM(*)"
2016.0,"应急","安全员",0.0
2017.0,"应急","安全员",482.0
2018.0,"应急","安全员",991.0
2019.0,"应急","安全员",1042.0
2016.0,"保密","公务员",0.0
2016.0,"财政","公务员",0.0
2016.0,"城管","公务员",0.0
2016.0,"档案","公务员",0.0
2016.0,"发改","公务员",0.0
2016.0,"工信","公务员",0.0
2016.0,"规自","公务员",0.0
2016.0,"交通","公务员",45.0
2016.0,"教育","公务员",0.0
2016.0,"金融","公务员",0.0
2016.0,"科创","公务员",0.0
2016.0,"民政","公务员",0.0
2016.0,"民宗","公务员",0.0
2016.0,"气象","公务员",0.0
2016.0,"人社","公务员",2.0
2016.0,"审计","公务员",0.0
2016.0,"生态","公务员",0.0
2016.0,"事单","公务员",0.0
2016.0,"市监","公务员",0.0
2016.0,"水务","公务员",0.0
2016.0,"司法","公务员",0.0
2016.0,"统计","公务员",0.0
2016.0,"退役","公务员",0.0
2016.0,"卫生","公务员",0.0
2016.0,"文体","公务员",0.0
2016.0,"烟草","公务员",0.0
2016.0,"医疗","公务员",0.0
2016.0,"应急","公务员",0.0
2016.0,"住建","公务员",0.0
2017.0,"保密","公务员",1.0
2017.0,"财政","公务员",105.0
2017.0,"城管","公务员",328.0
2017.0,"档案","公务员",4.0
2017.0,"发改","公务员",3.0
2017.0,"工信","公务员",17.0
2017.0,"规自","公务员",518.0
2017.0,"交通","公务员",339.0
2017.0,"教育","公务员",93.0
2017.0,"金融","公务员",0.0
2017.0,"科创","公务员",34.0
2017.0,"民政","公务员",43.0
2017.0,"民宗","公务员",13.0
2017.0,"气象","公务员",3.0
2017.0,"人社","公务员",268.0
2017.0,"审计","公务员",201.0
2017.0,"生态","公务员",230.0
2017.0,"事单","公务员",2.0
2017.0,"市监","公务员",2143.0
2017.0,"水务","公务员",124.0
2017.0,"司法","公务员",21.0
2017.0,"统计","公务员",56.0
2017.0,"退役","公务员",0.0
2017.0,"卫生","公务员",278.0
2017.0,"文体","公务员",101.0
2017.0,"烟草","公务员",4.0
2017.0,"医疗","公务员",26.0
2017.0,"应急","公务员",227.0
2017.0,"住建","公务员",124.0
2018.0,"保密","公务员",5.0
2018.0,"财政","公务员",169.0
2018.0,"城管","公务员",504.0
2018.0,"档案","公务员",6.0
2018.0,"发改","公务员",7.0
2018.0,"工信","公务员",29.0
2018.0,"规自","公务员",693.0
2018.0,"交通","公务员",507.0
2018.0,"教育","公务员",124.0
2018.0,"金融","公务员",3.0
2018.0,"科创","公务员",53.0
2018.0,"民政","公务员",64.0
2018.0,"民宗","公务员",28.0
2018.0,"气象","公务员",3.0
2018.0,"人社","公务员",353.0
2018.0,"审计","公务员",223.0
2018.0,"生态","公务员",282.0
2018.0,"事单","公务员",11.0
2018.0,"市监","公务员",2565.0
2018.0,"水务","公务员",154.0
2018.0,"司法","公务员",45.0
2018.0,"统计","公务员",68.0
2018.0,"退役","公务员",1.0
2018.0,"卫生","公务员",392.0
2018.0,"文体","公务员",131.0
2018.0,"烟草","公务员",4.0
2018.0,"医疗","公务员",48.0
