"YEAR","ENFORCEPEO_JOBCLASS","SUM(*)"
2016.0,"处级",1.0
2017.0,"处级",258.0
2018.0,"处级",300.0
2019.0,"处级",349.0
2016.0,"副处级",9.0
2017.0,"副处级",492.0
2018.0,"副处级",623.0
2019.0,"副处级",704.0
2016.0,"副局级",0.0
2017.0,"副局级",44.0
2018.0,"副局级",52.0
2019.0,"副局级",60.0
2016.0,"副科级",14.0
2017.0,"副科级",873.0
2018.0,"副科级",1235.0
2019.0,"副科级",1364.0
2016.0,"局级",0.0
2017.0,"局级",9.0
2018.0,"局级",13.0
2019.0,"局级",16.0
2016.0,"科级",34.0
2017.0,"科级",1664.0
2018.0,"科级",2090.0
2019.0,"科级",2400.0
2016.0,"科员",10.0
2017.0,"科员",1759.0
2018.0,"科员",2507.0
2019.0,"科员",2809.0
2016.0,"其他",5.0
2017.0,"其他",2525.0
2018.0,"其他",3617.0
2019.0,"其他",3833.0
