"YEAR","ENFORCEPEO_JOBCLASS","SUM(*)"
2016.0,"处级",1.0
2017.0,"处级",258.0
2018.0,"处级",300.0
2019.0,"处级",347.0
2016.0,"副处级",9.0
2017.0,"副处级",491.0
2018.0,"副处级",621.0
2019.0,"副处级",702.0
2016.0,"副局级",0.0
2017.0,"副局级",44.0
2018.0,"副局级",52.0
2019.0,"副局级",60.0
2016.0,"副科级",14.0
2017.0,"副科级",872.0
2018.0,"副科级",1231.0
2019.0,"副科级",1359.0
2016.0,"局级",0.0
2017.0,"局级",9.0
2018.0,"局级",13.0
2019.0,"局级",16.0
2016.0,"科级",34.0
2017.0,"科级",1661.0
2018.0,"科级",2083.0
2019.0,"科级",2393.0
2016.0,"科员",9.0
2017.0,"科员",1758.0
2018.0,"科员",2503.0
2019.0,"科员",2803.0
2016.0,"其他",4.0
2017.0,"其他",2522.0
2018.0,"其他",3614.0
2019.0,"其他",3830.0
