"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_AGE","SUM(*)"
2016.0,"宝安区","30岁以下",0.0
2016.0,"大鹏新区","30岁以下",0.0
2016.0,"福田区","30岁以下",0.0
2016.0,"光明区","30岁以下",1.0
2016.0,"龙岗区","30岁以下",0.0
2016.0,"龙华区","30岁以下",0.0
2016.0,"罗湖区","30岁以下",0.0
2016.0,"南山区","30岁以下",0.0
2016.0,"坪山区","30岁以下",0.0
2016.0,"盐田区","30岁以下",0.0
2017.0,"宝安区","30岁以下",58.0
2017.0,"大鹏新区","30岁以下",32.0
2017.0,"福田区","30岁以下",70.0
2017.0,"光明区","30岁以下",34.0
2017.0,"龙岗区","30岁以下",77.0
2017.0,"龙华区","30岁以下",36.0
2017.0,"罗湖区","30岁以下",53.0
2017.0,"南山区","30岁以下",87.0
2017.0,"坪山区","30岁以下",30.0
2017.0,"盐田区","30岁以下",12.0
2018.0,"宝安区","30岁以下",97.0
2018.0,"大鹏新区","30岁以下",61.0
2018.0,"福田区","30岁以下",182.0
2018.0,"光明区","30岁以下",73.0
2018.0,"龙岗区","30岁以下",210.0
2018.0,"龙华区","30岁以下",153.0
2018.0,"罗湖区","30岁以下",148.0
2018.0,"南山区","30岁以下",152.0
2018.0,"坪山区","30岁以下",108.0
2018.0,"盐田区","30岁以下",41.0
2019.0,"宝安区","30岁以下",116.0
2019.0,"大鹏新区","30岁以下",61.0
2019.0,"福田区","30岁以下",185.0
2019.0,"光明区","30岁以下",77.0
2019.0,"龙岗区","30岁以下",232.0
2019.0,"龙华区","30岁以下",166.0
2019.0,"罗湖区","30岁以下",160.0
2019.0,"南山区","30岁以下",162.0
2019.0,"坪山区","30岁以下",127.0
2019.0,"盐田区","30岁以下",49.0
2016.0,"宝安区","31-40岁",0.0
2016.0,"大鹏新区","31-40岁",2.0
2016.0,"福田区","31-40岁",0.0
2016.0,"光明区","31-40岁",0.0
2016.0,"龙岗区","31-40岁",0.0
2016.0,"龙华区","31-40岁",0.0
2016.0,"罗湖区","31-40岁",0.0
2016.0,"南山区","31-40岁",0.0
2016.0,"坪山区","31-40岁",0.0
2016.0,"盐田区","31-40岁",0.0
2017.0,"宝安区","31-40岁",397.0
2017.0,"大鹏新区","31-40岁",109.0
2017.0,"福田区","31-40岁",244.0
2017.0,"光明区","31-40岁",115.0
2017.0,"龙岗区","31-40岁",486.0
2017.0,"龙华区","31-40岁",245.0
2017.0,"罗湖区","31-40岁",178.0
2017.0,"南山区","31-40岁",251.0
2017.0,"坪山区","31-40岁",202.0
2017.0,"盐田区","31-40岁",75.0
2018.0,"宝安区","31-40岁",487.0
2018.0,"大鹏新区","31-40岁",167.0
2018.0,"福田区","31-40岁",336.0
2018.0,"光明区","31-40岁",188.0
2018.0,"龙岗区","31-40岁",671.0
2018.0,"龙华区","31-40岁",416.0
2018.0,"罗湖区","31-40岁",266.0
2018.0,"南山区","31-40岁",333.0
2018.0,"坪山区","31-40岁",292.0
2018.0,"盐田区","31-40岁",129.0
2019.0,"宝安区","31-40岁",525.0
2019.0,"大鹏新区","31-40岁",171.0
2019.0,"福田区","31-40岁",348.0
2019.0,"光明区","31-40岁",198.0
2019.0,"龙岗区","31-40岁",707.0
2019.0,"龙华区","31-40岁",445.0
2019.0,"罗湖区","31-40岁",285.0
2019.0,"南山区","31-40岁",375.0
2019.0,"坪山区","31-40岁",367.0
2019.0,"盐田区","31-40岁",143.0
2016.0,"宝安区","41-50岁",0.0
2016.0,"大鹏新区","41-50岁",0.0
2016.0,"福田区","41-50岁",0.0
2016.0,"光明区","41-50岁",1.0
2016.0,"龙岗区","41-50岁",0.0
2016.0,"龙华区","41-50岁",0.0
2016.0,"罗湖区","41-50岁",0.0
2016.0,"南山区","41-50岁",0.0
2016.0,"坪山区","41-50岁",0.0
2016.0,"盐田区","41-50岁",0.0
2017.0,"宝安区","41-50岁",343.0
2017.0,"大鹏新区","41-50岁",32.0
2017.0,"福田区","41-50岁",225.0
2017.0,"光明区","41-50岁",48.0
2017.0,"龙岗区","41-50岁",530.0
2017.0,"龙华区","41-50岁",111.0
2017.0,"罗湖区","41-50岁",185.0
2017.0,"南山区","41-50岁",266.0
2017.0,"坪山区","41-50岁",103.0
2017.0,"盐田区","41-50岁",57.0
2018.0,"宝安区","41-50岁",385.0
2018.0,"大鹏新区","41-50岁",55.0
2018.0,"福田区","41-50岁",263.0
2018.0,"光明区","41-50岁",84.0
2018.0,"龙岗区","41-50岁",612.0
2018.0,"龙华区","41-50岁",153.0
2018.0,"罗湖区","41-50岁",241.0
2018.0,"南山区","41-50岁",320.0
2018.0,"坪山区","41-50岁",132.0
2018.0,"盐田区","41-50岁",99.0
2019.0,"宝安区","41-50岁",433.0
2019.0,"大鹏新区","41-50岁",59.0
2019.0,"福田区","41-50岁",279.0
2019.0,"光明区","41-50岁",91.0
2019.0,"龙岗区","41-50岁",633.0
2019.0,"龙华区","41-50岁",170.0
2019.0,"罗湖区","41-50岁",256.0
2019.0,"南山区","41-50岁",352.0
2019.0,"坪山区","41-50岁",152.0
2019.0,"盐田区","41-50岁",109.0
2016.0,"宝安区","51-60岁",0.0
2016.0,"大鹏新区","51-60岁",0.0
2016.0,"福田区","51-60岁",0.0
2016.0,"光明区","51-60岁",0.0
2016.0,"龙岗区","51-60岁",0.0
2016.0,"龙华区","51-60岁",0.0
2016.0,"罗湖区","51-60岁",0.0
2016.0,"南山区","51-60岁",0.0
2016.0,"坪山区","51-60岁",2.0
2016.0,"盐田区","51-60岁",0.0
2017.0,"宝安区","51-60岁",200.0
2017.0,"大鹏新区","51-60岁",21.0
2017.0,"福田区","51-60岁",211.0
2017.0,"光明区","51-60岁",15.0
2017.0,"龙岗区","51-60岁",290.0
2017.0,"龙华区","51-60岁",51.0
2017.0,"罗湖区","51-60岁",175.0
2017.0,"南山区","51-60岁",185.0
2017.0,"坪山区","51-60岁",45.0
2017.0,"盐田区","51-60岁",61.0
2018.0,"宝安区","51-60岁",208.0
2018.0,"大鹏新区","51-60岁",32.0
2018.0,"福田区","51-60岁",224.0
2018.0,"光明区","51-60岁",27.0
2018.0,"龙岗区","51-60岁",317.0
2018.0,"龙华区","51-60岁",60.0
2018.0,"罗湖区","51-60岁",194.0
2018.0,"南山区","51-60岁",214.0
2018.0,"坪山区","51-60岁",52.0
2018.0,"盐田区","51-60岁",81.0
2019.0,"宝安区","51-60岁",222.0
2019.0,"大鹏新区","51-60岁",33.0
2019.0,"福田区","51-60岁",228.0
2019.0,"光明区","51-60岁",29.0
2019.0,"龙岗区","51-60岁",322.0
2019.0,"龙华区","51-60岁",64.0
2019.0,"罗湖区","51-60岁",209.0
2019.0,"南山区","51-60岁",234.0
