"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_JOBCLASS","SUM(*)"
2016.0,"宝安区","处级",0.0
2016.0,"大鹏新区","处级",0.0
2016.0,"福田区","处级",0.0
2016.0,"光明区","处级",0.0
2016.0,"龙岗区","处级",0.0
2016.0,"龙华区","处级",0.0
2016.0,"罗湖区","处级",0.0
2016.0,"南山区","处级",0.0
2016.0,"坪山区","处级",0.0
2016.0,"盐田区","处级",0.0
2017.0,"宝安区","处级",20.0
2017.0,"大鹏新区","处级",3.0
2017.0,"福田区","处级",9.0
2017.0,"光明区","处级",4.0
2017.0,"龙岗区","处级",10.0
2017.0,"龙华区","处级",6.0
2017.0,"罗湖区","处级",12.0
2017.0,"南山区","处级",10.0
2017.0,"坪山区","处级",7.0
2017.0,"盐田区","处级",5.0
2018.0,"宝安区","处级",23.0
2018.0,"大鹏新区","处级",4.0
2018.0,"福田区","处级",11.0
2018.0,"光明区","处级",6.0
2018.0,"龙岗区","处级",10.0
2018.0,"龙华区","处级",7.0
2018.0,"罗湖区","处级",13.0
2018.0,"南山区","处级",11.0
2018.0,"坪山区","处级",10.0
2018.0,"盐田区","处级",7.0
2019.0,"宝安区","处级",26.0
2019.0,"大鹏新区","处级",6.0
2019.0,"福田区","处级",13.0
2019.0,"光明区","处级",7.0
2019.0,"龙岗区","处级",11.0
2019.0,"龙华区","处级",7.0
2019.0,"罗湖区","处级",13.0
2019.0,"南山区","处级",11.0
2019.0,"坪山区","处级",13.0
2019.0,"盐田区","处级",11.0
2016.0,"宝安区","副处级",0.0
2016.0,"大鹏新区","副处级",0.0
2016.0,"福田区","副处级",0.0
2016.0,"光明区","副处级",0.0
2016.0,"龙岗区","副处级",0.0
2016.0,"龙华区","副处级",0.0
2016.0,"罗湖区","副处级",0.0
2016.0,"南山区","副处级",0.0
2016.0,"坪山区","副处级",0.0
2016.0,"盐田区","副处级",0.0
2017.0,"宝安区","副处级",26.0
2017.0,"大鹏新区","副处级",12.0
2017.0,"福田区","副处级",35.0
2017.0,"光明区","副处级",4.0
2017.0,"龙岗区","副处级",27.0
2017.0,"龙华区","副处级",26.0
2017.0,"罗湖区","副处级",29.0
2017.0,"南山区","副处级",34.0
2017.0,"坪山区","副处级",18.0
2017.0,"盐田区","副处级",16.0
2018.0,"宝安区","副处级",28.0
2018.0,"大鹏新区","副处级",19.0
2018.0,"福田区","副处级",53.0
2018.0,"光明区","副处级",5.0
2018.0,"龙岗区","副处级",38.0
2018.0,"龙华区","副处级",30.0
2018.0,"罗湖区","副处级",42.0
2018.0,"南山区","副处级",38.0
2018.0,"坪山区","副处级",23.0
2018.0,"盐田区","副处级",35.0
2019.0,"宝安区","副处级",35.0
