"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_POLITIC","SUM(*)"
2016.0,"宝安区","共青团员",0.0
2016.0,"大鹏新区","共青团员",0.0
2016.0,"福田区","共青团员",0.0
2016.0,"光明区","共青团员",0.0
2016.0,"龙岗区","共青团员",0.0
2016.0,"龙华区","共青团员",0.0
2016.0,"罗湖区","共青团员",0.0
2016.0,"南山区","共青团员",0.0
2016.0,"坪山区","共青团员",0.0
2016.0,"盐田区","共青团员",0.0
2017.0,"宝安区","共青团员",11.0
2017.0,"大鹏新区","共青团员",20.0
2017.0,"福田区","共青团员",5.0
2017.0,"光明区","共青团员",4.0
2017.0,"龙岗区","共青团员",28.0
2017.0,"龙华区","共青团员",0.0
2017.0,"罗湖区","共青团员",4.0
2017.0,"南山区","共青团员",150.0
2017.0,"坪山区","共青团员",5.0
2017.0,"盐田区","共青团员",12.0
2018.0,"宝安区","共青团员",21.0
2018.0,"大鹏新区","共青团员",32.0
2018.0,"福田区","共青团员",20.0
2018.0,"光明区","共青团员",5.0
2018.0,"龙岗区","共青团员",56.0
2018.0,"龙华区","共青团员",6.0
2018.0,"罗湖区","共青团员",21.0
2018.0,"南山区","共青团员",208.0
2018.0,"坪山区","共青团员",14.0
2018.0,"盐田区","共青团员",24.0
2019.0,"宝安区","共青团员",27.0
2019.0,"大鹏新区","共青团员",32.0
2019.0,"福田区","共青团员",20.0
2019.0,"光明区","共青团员",5.0
2019.0,"龙岗区","共青团员",60.0
2019.0,"龙华区","共青团员",8.0
2019.0,"罗湖区","共青团员",22.0
2019.0,"南山区","共青团员",212.0
2019.0,"坪山区","共青团员",17.0
2019.0,"盐田区","共青团员",25.0
2016.0,"宝安区","民主党派",0.0
2016.0,"大鹏新区","民主党派",0.0
2016.0,"福田区","民主党派",0.0
2016.0,"光明区","民主党派",0.0
2016.0,"龙岗区","民主党派",0.0
2016.0,"龙华区","民主党派",0.0
2016.0,"罗湖区","民主党派",0.0
2016.0,"南山区","民主党派",0.0
2016.0,"坪山区","民主党派",0.0
2016.0,"盐田区","民主党派",0.0
2017.0,"宝安区","民主党派",18.0
2017.0,"大鹏新区","民主党派",4.0
2017.0,"福田区","民主党派",6.0
2017.0,"光明区","民主党派",4.0
2017.0,"龙岗区","民主党派",28.0
2017.0,"龙华区","民主党派",9.0
2017.0,"罗湖区","民主党派",5.0
2017.0,"南山区","民主党派",8.0
2017.0,"坪山区","民主党派",7.0
2017.0,"盐田区","民主党派",6.0
2018.0,"宝安区","民主党派",21.0
2018.0,"大鹏新区","民主党派",6.0
2018.0,"福田区","民主党派",11.0
2018.0,"光明区","民主党派",7.0
2018.0,"龙岗区","民主党派",32.0
2018.0,"龙华区","民主党派",11.0
2018.0,"罗湖区","民主党派",6.0
2018.0,"南山区","民主党派",11.0
2018.0,"坪山区","民主党派",8.0
2018.0,"盐田区","民主党派",8.0
2019.0,"宝安区","民主党派",21.0
2019.0,"大鹏新区","民主党派",6.0
