"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_SEX","SUM(*)"
2016.0,"宝安区","男",0.0
2016.0,"大鹏新区","男",2.0
2016.0,"福田区","男",0.0
2016.0,"光明区","男",2.0
2016.0,"龙岗区","男",0.0
2016.0,"龙华区","男",0.0
2016.0,"罗湖区","男",0.0
2016.0,"南山区","男",0.0
2016.0,"坪山区","男",2.0
2016.0,"盐田区","男",0.0
2017.0,"宝安区","男",684.0
2017.0,"大鹏新区","男",147.0
2017.0,"福田区","男",472.0
2017.0,"光明区","男",154.0
2017.0,"龙岗区","男",995.0
2017.0,"龙华区","男",325.0
2017.0,"罗湖区","男",387.0
2017.0,"南山区","男",582.0
2017.0,"坪山区","男",288.0
2017.0,"盐田区","男",149.0
2018.0,"宝安区","男",796.0
2018.0,"大鹏新区","男",235.0
2018.0,"福田区","男",624.0
2018.0,"光明区","男",288.0
2018.0,"龙岗区","男",1344.0
2018.0,"龙华区","男",568.0
2018.0,"罗湖区","男",566.0
2018.0,"南山区","男",749.0
2018.0,"坪山区","男",438.0
2018.0,"盐田区","男",269.0
2019.0,"宝安区","男",870.0
2019.0,"大鹏新区","男",243.0
2019.0,"福田区","男",648.0
2019.0,"光明区","男",306.0
2019.0,"龙岗区","男",1416.0
2019.0,"龙华区","男",615.0
2019.0,"罗湖区","男",607.0
2019.0,"南山区","男",822.0
2019.0,"坪山区","男",520.0
2019.0,"盐田区","男",289.0
2016.0,"宝安区","女",0.0
2016.0,"大鹏新区","女",0.0
2016.0,"福田区","女",0.0
2016.0,"光明区","女",0.0
2016.0,"龙岗区","女",0.0
2016.0,"龙华区","女",0.0
2016.0,"罗湖区","女",0.0
2016.0,"南山区","女",0.0
2016.0,"坪山区","女",0.0
2016.0,"盐田区","女",0.0
2017.0,"宝安区","女",314.0
2017.0,"大鹏新区","女",47.0
2017.0,"福田区","女",279.0
2017.0,"光明区","女",58.0
2017.0,"龙岗区","女",390.0
2017.0,"龙华区","女",118.0
2017.0,"罗湖区","女",204.0
2017.0,"南山区","女",206.0
2017.0,"坪山区","女",92.0
2017.0,"盐田区","女",56.0
2018.0,"宝安区","女",382.0
2018.0,"大鹏新区","女",80.0
2018.0,"福田区","女",382.0
2018.0,"光明区","女",84.0
2018.0,"龙岗区","女",469.0
2018.0,"龙华区","女",214.0
2018.0,"罗湖区","女",283.0
2018.0,"南山区","女",269.0
2018.0,"坪山区","女",146.0
2018.0,"盐田区","女",81.0
2019.0,"宝安区","女",427.0
2019.0,"大鹏新区","女",81.0
2019.0,"福田区","女",393.0
2019.0,"光明区","女",89.0
2019.0,"龙岗区","女",481.0
2019.0,"龙华区","女",230.0
2019.0,"罗湖区","女",303.0
2019.0,"南山区","女",300.0
2019.0,"坪山区","女",185.0
2019.0,"盐田区","女",99.0
