"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_STAFFTYPE","SUM(*)"
2016.0,"宝安区","安全员",0.0
2016.0,"大鹏新区","安全员",0.0
2016.0,"福田区","安全员",0.0
2016.0,"光明区","安全员",0.0
2016.0,"龙岗区","安全员",0.0
2016.0,"龙华区","安全员",0.0
2016.0,"罗湖区","安全员",0.0
2016.0,"南山区","安全员",0.0
2016.0,"坪山区","安全员",0.0
2016.0,"盐田区","安全员",0.0
2017.0,"宝安区","安全员",34.0
2017.0,"大鹏新区","安全员",19.0
2017.0,"福田区","安全员",95.0
2017.0,"光明区","安全员",2.0
2017.0,"龙岗区","安全员",20.0
2017.0,"龙华区","安全员",63.0
2017.0,"罗湖区","安全员",80.0
2017.0,"南山区","安全员",158.0
2017.0,"坪山区","安全员",8.0
2017.0,"盐田区","安全员",3.0
2018.0,"宝安区","安全员",39.0
2018.0,"大鹏新区","安全员",21.0
2018.0,"福田区","安全员",179.0
2018.0,"光明区","安全员",2.0
2018.0,"龙岗区","安全员",98.0
2018.0,"龙华区","安全员",228.0
2018.0,"罗湖区","安全员",113.0
2018.0,"南山区","安全员",220.0
2018.0,"坪山区","安全员",82.0
2018.0,"盐田区","安全员",9.0
2019.0,"宝安区","安全员",39.0
2019.0,"大鹏新区","安全员",21.0
2019.0,"福田区","安全员",179.0
2019.0,"光明区","安全员",2.0
2019.0,"龙岗区","安全员",113.0
2019.0,"龙华区","安全员",253.0
2019.0,"罗湖区","安全员",114.0
2019.0,"南山区","安全员",223.0
2019.0,"坪山区","安全员",89.0
2019.0,"盐田区","安全员",9.0
2016.0,"宝安区","公务员",0.0
2016.0,"大鹏新区","公务员",0.0
2016.0,"福田区","公务员",0.0
2016.0,"光明区","公务员",2.0
2016.0,"龙岗区","公务员",0.0
2016.0,"龙华区","公务员",0.0
2016.0,"罗湖区","公务员",0.0
2016.0,"南山区","公务员",0.0
2016.0,"坪山区","公务员",0.0
2016.0,"盐田区","公务员",0.0
