"YEAR","PUNISH_HANGYE","PUNISH_QUYU","SUM(*)"
2016.0,,,3
2016.0,"规自",,2
2017.0,,,14
2017.0,"人社","光明区",2
2017.0,"人社","南山区",2
2017.0,"人社","福田区",1
2017.0,"人社","罗湖区",4
2017.0,"住建",,19
2017.0,"住建","光明区",3
2017.0,"住建","南山区",2
2017.0,"住建","大鹏新区",4
2017.0,"住建","宝安区",12
2017.0,"住建","罗湖区",1
2017.0,"住建","龙岗区",6
2017.0,"司法",,2
2017.0,"教育","龙华区",2
2017.0,"文体",,1
2017.0,"文体","龙华区",1
2017.0,"民政",,6
2017.0,"民政","龙岗区",1
2017.0,"水务","南山区",2
2017.0,"水务","坪山区",5
2017.0,"水务","罗湖区",3
2017.0,"水务","龙华区",6
2017.0,"水务","龙岗区",3
2017.0,"生态","大鹏新区",1
2017.0,"生态","福田区",11
2017.0,"生态","龙华区",2
2017.0,"规自",,3
2017.0,"规自","宝安区",2
2017.0,"规自","福田区",1
2017.0,"财政",,4
2017.0,"财政","宝安区",2
2017.0,"财政","福田区",2
2017.0,"财政","龙岗区",2
2018.0,,,3
2018.0,,"南山区",4
2018.0,,"大鹏新区",6
2018.0,,"福田区",1
2018.0,"人社",,2
2018.0,"人社","光明区",2
2018.0,"人社","南山区",3
2018.0,"人社","坪山区",2
2018.0,"人社","宝安区",3
2018.0,"人社","盐田区",3
2018.0,"人社","福田区",4
2018.0,"人社","罗湖区",8
2018.0,"人社","龙华区",5
2018.0,"人社","龙岗区",3
2018.0,"住建",,26
2018.0,"住建","光明区",9
2018.0,"住建","南山区",81
2018.0,"住建","坪山区",14
2018.0,"住建","大鹏新区",13
2018.0,"住建","宝安区",12
2018.0,"住建","盐田区",7
2018.0,"住建","福田区",6
2018.0,"住建","罗湖区",13
2018.0,"住建","龙华区",19
2018.0,"住建","龙岗区",7
2018.0,"司法",,2
2018.0,"工信","龙岗区",2
2018.0,"教育",,3
2018.0,"教育","龙华区",1
2018.0,"文体",,2
2018.0,"文体","光明区",3
2018.0,"文体","南山区",13
2018.0,"文体","坪山区",2
2018.0,"文体","宝安区",15
2018.0,"文体","福田区",21
2018.0,"文体","罗湖区",12
2018.0,"文体","龙华区",9
2018.0,"文体","龙岗区",11
2018.0,"民政",,21
2018.0,"民政","南山区",1
2018.0,"民政","坪山区",1
2018.0,"民政","宝安区",2
2018.0,"水务","光明区",7
2018.0,"水务","南山区",5
2018.0,"水务","坪山区",4
2018.0,"水务","大鹏新区",10
2018.0,"水务","宝安区",3
2018.0,"水务","盐田区",5
2018.0,"水务","福田区",6
2018.0,"水务","罗湖区",8
2018.0,"水务","龙华区",10
2018.0,"水务","龙岗区",9
2018.0,"生态","大鹏新区",2
2018.0,"生态","福田区",3
2018.0,"统计","福田区",1
2018.0,"规自",,1
2018.0,"规自","光明区",1
2018.0,"规自","南山区",6
2018.0,"规自","坪山区",4
2018.0,"规自","大鹏新区",1
2018.0,"规自","宝安区",2
2018.0,"规自","盐田区",2
2018.0,"规自","福田区",2
2018.0,"规自","罗湖区",4
2018.0,"规自","龙华区",6
2018.0,"规自","龙岗区",24
2018.0,"财政",,5
2018.0,"财政","坪山区",1
2018.0,"财政","宝安区",2
2018.0,"财政","福田区",2
2018.0,"财政","罗湖区",5
2018.0,"财政","龙华区",1
2018.0,"财政","龙岗区",2
2019.0,,,7
2019.0,"人社",,3
2019.0,"人社","光明区",2
2019.0,"人社","南山区",2
2019.0,"人社","坪山区",2
2019.0,"人社","宝安区",5
2019.0,"人社","盐田区",5
2019.0,"人社","福田区",4
2019.0,"人社","罗湖区",7
2019.0,"人社","龙华区",2
2019.0,"人社","龙岗区",1
2019.0,"住建",,17
2019.0,"住建","光明区",6
2019.0,"住建","南山区",7
2019.0,"住建","坪山区",14
2019.0,"住建","大鹏新区",4
2019.0,"住建","宝安区",9
2019.0,"住建","盐田区",1
2019.0,"住建","福田区",1
2019.0,"住建","罗湖区",5
2019.0,"住建","龙华区",9
2019.0,"司法",,2
2019.0,"文体","光明区",6
2019.0,"文体","南山区",10
2019.0,"文体","坪山区",2
2019.0,"文体","大鹏新区",4
2019.0,"文体","宝安区",8
2019.0,"文体","福田区",10
2019.0,"文体","罗湖区",12
2019.0,"文体","龙华区",2
2019.0,"文体","龙岗区",1
2019.0,"水务","光明区",2
2019.0,"水务","南山区",4
2019.0,"水务","坪山区",4
2019.0,"水务","大鹏新区",2
2019.0,"水务","宝安区",3
2019.0,"水务","盐田区",5
2019.0,"水务","罗湖区",5
2019.0,"水务","龙岗区",3
2019.0,"生态","福田区",1
2019.0,"生态","龙岗区",2
2019.0,"规自",,3
2019.0,"规自","光明区",1
2019.0,"规自","南山区",8
2019.0,"规自","坪山区",4
2019.0,"规自","宝安区",2
2019.0,"规自","盐田区",1
2019.0,"规自","福田区",2
2019.0,"规自","罗湖区",3
2019.0,"规自","龙华区",4
2019.0,"规自","龙岗区",4
2019.0,"财政",,2
2019.0,"财政","龙华区",1
2019.0,"财政","龙岗区",2
