"YEAR","PUNISH_HANGYE","SUM(*)"
2016.0,,3
2016.0,"规自",2
2017.0,,14
2017.0,"人社",4
2017.0,"住建",28
2017.0,"司法",2
2017.0,"教育",2
2017.0,"文体",2
2017.0,"民政",6
2017.0,"水务",10
2017.0,"生态",11
2017.0,"规自",5
2017.0,"财政",5
2018.0,,14
2018.0,"人社",13
2018.0,"住建",93
2018.0,"司法",2
2018.0,"工信",2
2018.0,"教育",4
2018.0,"文体",26
2018.0,"民政",21
2018.0,"水务",21
2018.0,"生态",4
2018.0,"统计",1
2018.0,"规自",25
2018.0,"财政",8
2019.0,,7
2019.0,"人社",14
2019.0,"住建",29
2019.0,"司法",2
2019.0,"文体",28
2019.0,"水务",11
2019.0,"生态",3
2019.0,"规自",15
2019.0,"财政",3
