"LAW_TYPE","YEAR","SUM(*)"
"其他",2000.0,3
"其他",2003.0,2
"其他",2004.0,1
"其他",2006.0,1
"其他",2007.0,2
"其他",2011.0,1
"其他",2014.0,3
"其他",2015.0,1
"其他",2016.0,5
"其他",2017.0,3
"其他",2018.0,3
"其他",2019.0,2
"地方性法规",1993.0,1
"地方性法规",1995.0,1
"地方性法规",1996.0,1
"地方性法规",1997.0,2
"地方性法规",1998.0,2
"地方性法规",1999.0,5
"地方性法规",2000.0,3
"地方性法规",2001.0,1
"地方性法规",2002.0,2
"地方性法规",2003.0,3
"地方性法规",2004.0,3
"地方性法规",2005.0,7
"地方性法规",2006.0,4
"地方性法规",2007.0,3
"地方性法规",2008.0,6
"地方性法规",2009.0,8
"地方性法规",2010.0,20
"地方性法规",2011.0,4
"地方性法规",2012.0,17
"地方性法规",2013.0,7
"地方性法规",2014.0,26
"地方性法规",2015.0,9
"地方性法规",2016.0,10
"地方性法规",2017.0,15
"地方性法规",2018.0,20
"地方性法规",2019.0,8
"政府规章",1987.0,1
"政府规章",1995.0,1
"政府规章",1996.0,1
"政府规章",1998.0,3
"政府规章",1999.0,2
"政府规章",2000.0,5
"政府规章",2001.0,2
"政府规章",2002.0,6
"政府规章",2003.0,1
"政府规章",2004.0,2
"政府规章",2005.0,2
"政府规章",2006.0,5
"政府规章",2007.0,3
"政府规章",2008.0,8
"政府规章",2009.0,5
"政府规章",2010.0,7
"政府规章",2011.0,5
"政府规章",2012.0,11
"政府规章",2013.0,9
"政府规章",2014.0,14
"政府规章",2015.0,12
"政府规章",2016.0,7
"政府规章",2017.0,21
"政府规章",2018.0,23
"政府规章",2019.0,4
"法律",1991.0,1
"法律",1995.0,3
"法律",1996.0,1
"法律",1998.0,2
"法律",1999.0,2
"法律",2000.0,2
"法律",2001.0,2
"法律",2002.0,2
"法律",2003.0,3
"法律",2004.0,3
"法律",2005.0,1
"法律",2006.0,2
"法律",2007.0,4
"法律",2008.0,2
"法律",2009.0,17
"法律",2010.0,4
"法律",2011.0,4
"法律",2012.0,1
"法律",2013.0,9
"法律",2014.0,8
"法律",2015.0,10
"法律",2016.0,17
"法律",2017.0,17
"法律",2018.0,30
"法律",2019.0,15
"特区法规",1993.0,1
"特区法规",1994.0,1
"特区法规",1995.0,1
"特区法规",1996.0,2
"特区法规",1998.0,1
"特区法规",1999.0,1
"特区法规",2001.0,2
"特区法规",2002.0,1
"特区法规",2003.0,1
"特区法规",2004.0,4
"特区法规",2008.0,3
"特区法规",2009.0,1
"特区法规",2010.0,3
"特区法规",2012.0,5
"特区法规",2013.0,2
"特区法规",2014.0,2
"特区法规",2015.0,4
"特区法规",2016.0,1
"特区法规",2017.0,10
"特区法规",2018.0,13
"特区法规",2019.0,5
"行政法规",1986.0,2
"行政法规",1987.0,2
"行政法规",1989.0,2
"行政法规",1990.0,4
"行政法规",1991.0,1
"行政法规",1993.0,2
"行政法规",1994.0,4
"行政法规",1995.0,5
"行政法规",1996.0,3
"行政法规",1997.0,3
"行政法规",1998.0,1
"行政法规",1999.0,5
"行政法规",2000.0,1
"行政法规",2001.0,3
"行政法规",2002.0,8
"行政法规",2003.0,6
"行政法规",2004.0,15
"行政法规",2005.0,4
"行政法规",2006.0,7
"行政法规",2007.0,8
"行政法规",2008.0,8
"行政法规",2009.0,8
"行政法规",2010.0,6
"行政法规",2011.0,24
"行政法规",2012.0,7
"行政法规",2013.0,9
"行政法规",2014.0,15
"行政法规",2015.0,9
"行政法规",2016.0,30
"行政法规",2017.0,42
"行政法规",2018.0,26
"行政法规",2019.0,31
"部门规章",1992.0,3
"部门规章",1993.0,1
"部门规章",1994.0,2
"部门规章",1995.0,3
"部门规章",1996.0,7
"部门规章",1997.0,3
"部门规章",1998.0,3
"部门规章",1999.0,5
"部门规章",2000.0,10
"部门规章",2001.0,8
"部门规章",2002.0,10
"部门规章",2003.0,9
"部门规章",2004.0,13
"部门规章",2005.0,23
"部门规章",2006.0,20
"部门规章",2007.0,16
"部门规章",2008.0,13
"部门规章",2009.0,24
"部门规章",2010.0,26
"部门规章",2011.0,27
"部门规章",2012.0,21
"部门规章",2013.0,21
"部门规章",2014.0,24
"部门规章",2015.0,63
"部门规章",2016.0,59
"部门规章",2017.0,50
"部门规章",2018.0,30
"部门规章",2019.0,12
