"YEAR","LAW_TYPE","HIGH","LOW","SUM(*)","NO_USE"
2016.0,"地方性法规",0.007142857142857143,0.0,140,0.9928571428571429
2016.0,"法律",0.015873015873015872,0.0,126,0.9841269841269842
2016.0,"部门规章",0.005847953216374269,0.0,342,0.9941520467836258
2017.0,"地方性法规",0.07857142857142857,0.06428571428571428,140,0.8571428571428572
2017.0,"政府规章",0.03389830508474576,0.00847457627118644,118,0.9576271186440678
2017.0,"法律",0.06349206349206349,0.07936507936507936,126,0.8571428571428572
2017.0,"特区法规",0.1111111111111111,0.07407407407407407,54,0.8148148148148148
2017.0,"行政法规",0.03463203463203463,0.04329004329004329,231,0.922077922077922
2017.0,"部门规章",0.011695906432748537,0.03216374269005848,342,0.956140350877193
2018.0,"其他",0.1875,0.125,16,0.6875
2018.0,"地方性法规",0.14285714285714285,0.15,140,0.7071428571428572
2018.0,"政府规章",0.06779661016949153,0.13559322033898305,118,0.7966101694915254
2018.0,"法律",0.15873015873015872,0.07936507936507936,126,0.7619047619047619
2018.0,"特区法规",0.25925925925925924,0.1111111111111111,54,0.6296296296296295
2018.0,"行政法规",0.08658008658008658,0.12121212121212122,231,0.7922077922077922
2018.0,"部门规章",0.06725146198830409,0.0847953216374269,342,0.847953216374269
2019.0,"其他",0.1875,0.0,16,0.8125
2019.0,"地方性法规",0.07857142857142857,0.05714285714285714,140,0.8642857142857143
2019.0,"政府规章",0.025423728813559324,0.025423728813559324,118,0.9491525423728813
2019.0,"法律",0.09523809523809523,0.07142857142857142,126,0.8333333333333334
2019.0,"特区法规",0.1111111111111111,0.12962962962962962,54,0.7592592592592592
2019.0,"行政法规",0.05194805194805195,0.04329004329004329,231,0.9047619047619048
2019.0,"部门规章",0.038011695906432746,0.02631578947368421,342,0.9356725146198831
