"YEAR","LAW_TYPE","SUM(*)"
2016.0,"部门规章",414.0
2017.0,"部门规章",464.0
2018.0,"部门规章",494.0
2019.0,"部门规章",506.0
2016.0,"地方性法规",145.0
2017.0,"地方性法规",160.0
2018.0,"地方性法规",180.0
2019.0,"地方性法规",188.0
2016.0,"法律",100.0
2017.0,"法律",117.0
2018.0,"法律",147.0
2019.0,"法律",162.0
2016.0,"其他",19.0
2017.0,"其他",22.0
2018.0,"其他",25.0
2019.0,"其他",27.0
2016.0,"特区法规",36.0
2017.0,"特区法规",46.0
2018.0,"特区法规",59.0
2019.0,"特区法规",64.0
2016.0,"行政法规",202.0
2017.0,"行政法规",244.0
2018.0,"行政法规",270.0
2019.0,"行政法规",301.0
2016.0,"政府规章",112.0
2017.0,"政府规章",133.0
2018.0,"政府规章",156.0
2019.0,"政府规章",160.0
