"YEAR","ORG_QUYU","SUM(*)"
2016.0,"宝安区",1.0
2017.0,"宝安区",1.0
2018.0,"宝安区",1.0
2019.0,"宝安区",31.0
2016.0,"大鹏新区",1.0
2017.0,"大鹏新区",1.0
2018.0,"大鹏新区",1.0
2019.0,"大鹏新区",26.0
2016.0,"福田区",1.0
2017.0,"福田区",1.0
2018.0,"福田区",1.0
2019.0,"福田区",30.0
2016.0,"光明区",1.0
2017.0,"光明区",1.0
2018.0,"光明区",1.0
2019.0,"光明区",31.0
2016.0,"龙岗区",1.0
2017.0,"龙岗区",1.0
2018.0,"龙岗区",1.0
2019.0,"龙岗区",30.0
2016.0,"龙华区",1.0
2017.0,"龙华区",1.0
2018.0,"龙华区",1.0
2019.0,"龙华区",30.0
2016.0,"罗湖区",1.0
2017.0,"罗湖区",1.0
2018.0,"罗湖区",1.0
2019.0,"罗湖区",30.0
2016.0,"南山区",1.0
2017.0,"南山区",1.0
2018.0,"南山区",1.0
2019.0,"南山区",32.0
2016.0,"坪山区",1.0
2017.0,"坪山区",1.0
2018.0,"坪山区",1.0
2019.0,"坪山区",28.0
2016.0,"盐田区",1.0
2017.0,"盐田区",1.0
2018.0,"盐田区",1.0
2019.0,"盐田区",31.0
2016.0,,1.0
2017.0,,1.0
2018.0,,1.0
2019.0,,35.0
