"YEAR","POWER_HANGYE","SUM(*)"
2016.0,,211
2016.0,"事单",3
2016.0,"交通",114
2016.0,"人社",50
2016.0,"住建",150
2016.0,"保密",2
2016.0,"公安",108
2016.0,"医疗",3
2016.0,"卫生",103
2016.0,"发改",4
2016.0,"司法",13
2016.0,"商务",4
2016.0,"城管",91
2016.0,"审计",10
2016.0,"工信",14
2016.0,"市监",6
2016.0,"应急",71
2016.0,"教育",52
2016.0,"文体",86
2016.0,"档案",6
2016.0,"民宗",5
2016.0,"民政",34
2016.0,"气象",19
2016.0,"水务",115
2016.0,"生态",63
2016.0,"科创",3
2016.0,"统计",9
2016.0,"规自",122
2016.0,"财政",31
2016.0,"退役",6
2016.0,"金融",3
2016.0,"防空",5
2017.0,,211
2017.0,"事单",3
2017.0,"交通",114
2017.0,"人社",50
2017.0,"住建",150
2017.0,"保密",2
2017.0,"公安",108
2017.0,"医疗",3
2017.0,"卫生",103
2017.0,"发改",4
2017.0,"司法",13
2017.0,"商务",4
2017.0,"城管",91
2017.0,"审计",10
2017.0,"工信",14
2017.0,"市监",6
2017.0,"应急",71
2017.0,"教育",52
2017.0,"文体",86
2017.0,"档案",6
2017.0,"民宗",5
2017.0,"民政",34
2017.0,"气象",19
2017.0,"水务",115
2017.0,"生态",63
2017.0,"科创",3
2017.0,"统计",9
2017.0,"规自",122
2017.0,"财政",31
2017.0,"退役",6
2017.0,"金融",3
2017.0,"防空",5
2018.0,,211
2018.0,"事单",3
2018.0,"交通",114
2018.0,"人社",50
2018.0,"住建",150
2018.0,"保密",2
2018.0,"公安",108
2018.0,"医疗",3
2018.0,"卫生",103
2018.0,"发改",4
2018.0,"司法",13
2018.0,"商务",4
2018.0,"城管",91
2018.0,"审计",10
2018.0,"工信",14
2018.0,"市监",6
2018.0,"应急",71
2018.0,"教育",52
2018.0,"文体",86
2018.0,"档案",6
2018.0,"民宗",5
2018.0,"民政",34
2018.0,"气象",19
2018.0,"水务",115
2018.0,"生态",63
2018.0,"科创",3
2018.0,"统计",9
2018.0,"规自",122
2018.0,"财政",31
2018.0,"退役",6
2018.0,"金融",3
2018.0,"防空",5
2019.0,,211
2019.0,"事单",3
2019.0,"交通",114
2019.0,"人社",50
2019.0,"住建",150
2019.0,"保密",2
2019.0,"公安",108
2019.0,"医疗",3
2019.0,"卫生",103
2019.0,"发改",4
2019.0,"司法",13
2019.0,"商务",4
2019.0,"城管",91
2019.0,"审计",10
2019.0,"工信",14
2019.0,"市监",6
2019.0,"应急",71
2019.0,"教育",52
2019.0,"文体",86
2019.0,"档案",6
2019.0,"民宗",5
2019.0,"民政",34
2019.0,"气象",19
2019.0,"水务",115
2019.0,"生态",63
2019.0,"科创",3
2019.0,"统计",9
2019.0,"规自",122
2019.0,"财政",31
2019.0,"退役",6
2019.0,"金融",3
2019.0,"防空",5
