"YEAR","POWER_HANGYE","POWER_QUYU","SUM(*)"
2016.0,"城管","宝安区",16.0
2016.0,"公安","宝安区",34.0
2016.0,"规自","宝安区",123.0
2016.0,"教育","宝安区",1.0
2016.0,"民政","宝安区",2.0
2016.0,"人社","宝安区",1.0
2016.0,"审计","宝安区",9.0
2016.0,"生态","宝安区",15.0
2016.0,"水务","宝安区",0.0
2016.0,"司法","宝安区",1.0
2016.0,"卫生","宝安区",1.0
2016.0,"文体","宝安区",1.0
2016.0,"应急","宝安区",6.0
2016.0,"住建","宝安区",8.0
2016.0,,"宝安区",0.0
2016.0,"城管","大鹏新区",15.0
2016.0,"公安","大鹏新区",26.0
2016.0,"规自","大鹏新区",127.0
2016.0,"教育","大鹏新区",2.0
2016.0,"民政","大鹏新区",2.0
2016.0,"人社","大鹏新区",2.0
2016.0,"生态","大鹏新区",1.0
2016.0,"水务","大鹏新区",56.0
2016.0,"卫生","大鹏新区",1.0
2016.0,"文体","大鹏新区",1.0
2016.0,"应急","大鹏新区",5.0
2016.0,"住建","大鹏新区",27.0
2016.0,"财政","福田区",9.0
2016.0,"城管","福田区",15.0
2016.0,"公安","福田区",26.0
2016.0,"规自","福田区",126.0
2016.0,"教育","福田区",7.0
2016.0,"民政","福田区",3.0
2016.0,"人社","福田区",9.0
2016.0,"审计","福田区",0.0
2016.0,"生态","福田区",15.0
2016.0,"司法","福田区",2.0
2016.0,"卫生","福田区",1.0
2016.0,"文体","福田区",1.0
2016.0,"应急","福田区",5.0
2016.0,"住建","福田区",8.0
2016.0,,"福田区",4.0
2016.0,"城管","光明区",15.0
2016.0,"档案","光明区",0.0
2016.0,"公安","光明区",26.0
2016.0,"规自","光明区",123.0
2016.0,"教育","光明区",1.0
2016.0,"民政","光明区",9.0
2016.0,"人社","光明区",1.0
2016.0,"生态","光明区",15.0
2016.0,"事单","光明区",0.0
2016.0,"水务","光明区",0.0
2016.0,"卫生","光明区",2.0
2016.0,"文体","光明区",5.0
2016.0,"医疗","光明区",2.0
2016.0,"应急","光明区",5.0
2016.0,"住建","光明区",20.0
2016.0,"财政","龙岗区",0.0
2016.0,"城管","龙岗区",15.0
2016.0,"档案","龙岗区",3.0
2016.0,"公安","龙岗区",26.0
2016.0,"规自","龙岗区",151.0
2016.0,"教育","龙岗区",1.0
2016.0,"民政","龙岗区",2.0
2016.0,"人社","龙岗区",8.0
2016.0,"生态","龙岗区",15.0
2016.0,"水务","龙岗区",24.0
2016.0,"司法","龙岗区",1.0
2016.0,"卫生","龙岗区",1.0
2016.0,"文体","龙岗区",1.0
2016.0,"应急","龙岗区",5.0
2016.0,"住建","龙岗区",10.0
2016.0,"保密","龙华区",1.0
2016.0,"城管","龙华区",21.0
2016.0,"公安","龙华区",26.0
2016.0,"规自","龙华区",132.0
2016.0,"教育","龙华区",1.0
2016.0,"民政","龙华区",2.0
2016.0,"民宗","龙华区",0.0
2016.0,"人社","龙华区",1.0
2016.0,"生态","龙华区",15.0
2016.0,"事单","龙华区",1.0
2016.0,"水务","龙华区",6.0
2016.0,"司法","龙华区",1.0
2016.0,"卫生","龙华区",1.0
2016.0,"文体","龙华区",1.0
2016.0,"应急","龙华区",15.0
2016.0,"住建","龙华区",10.0
2016.0,"城管","罗湖区",15.0
2016.0,"公安","罗湖区",26.0
2016.0,"规自","罗湖区",128.0
2016.0,"教育","罗湖区",7.0
2016.0,"民政","罗湖区",3.0
2016.0,"人社","罗湖区",6.0
2016.0,"审计","罗湖区",2.0
2016.0,"生态","罗湖区",15.0
2016.0,"水务","罗湖区",4.0
2016.0,"司法","罗湖区",1.0
2016.0,"退役","罗湖区",1.0
2016.0,"卫生","罗湖区",1.0
2016.0,"文体","罗湖区",53.0
2016.0,"应急","罗湖区",61.0
2016.0,"住建","罗湖区",20.0
2016.0,,"罗湖区",2.0
2016.0,"城管","南山区",17.0
2016.0,"公安","南山区",26.0
2016.0,"规自","南山区",131.0
2016.0,"教育","南山区",1.0
2016.0,"民政","南山区",2.0
2016.0,"人社","南山区",5.0
2016.0,"审计","南山区",1.0
2016.0,"生态","南山区",15.0
2016.0,"水务","南山区",2.0
2016.0,"司法","南山区",3.0
2016.0,"卫生","南山区",1.0
2016.0,"文体","南山区",48.0
2016.0,"应急","南山区",5.0
2016.0,"住建","南山区",8.0
2016.0,"保密","坪山区",1.0
2016.0,"财政","坪山区",3.0
2016.0,"城管","坪山区",15.0
2016.0,"公安","坪山区",26.0
2016.0,"规自","坪山区",126.0
2016.0,"交通","坪山区",1.0
2016.0,"教育","坪山区",1.0
2016.0,"民政","坪山区",2.0
2016.0,"人社","坪山区",1.0
2016.0,"生态","坪山区",15.0
2016.0,"水务","坪山区",0.0
2016.0,"卫生","坪山区",12.0
2016.0,"文体","坪山区",1.0
2016.0,"应急","坪山区",6.0
2016.0,"住建","坪山区",28.0
2016.0,"城管","盐田区",18.0
2016.0,"档案","盐田区",0.0
2016.0,"公安","盐田区",26.0
2016.0,"规自","盐田区",130.0
2016.0,"教育","盐田区",1.0
2016.0,"民政","盐田区",2.0
2016.0,"民宗","盐田区",0.0
2016.0,"人社","盐田区",1.0
2016.0,"生态","盐田区",15.0
2016.0,"水务","盐田区",62.0
2016.0,"司法","盐田区",1.0
2016.0,"卫生","盐田区",1.0
2016.0,"文体","盐田区",44.0
2016.0,"应急","盐田区",6.0
2016.0,"住建","盐田区",26.0
2016.0,,"盐田区",1.0
2016.0,"财政",,0.0
2016.0,"城管",,15.0
2016.0,"公安",,23.0
2016.0,"规自",,130.0
2016.0,"交通",,30.0
2016.0,"教育",,7.0
2016.0,"金融",,0.0
2016.0,"民政",,2.0
2016.0,"人社",,1.0
2016.0,"审计",,1.0
2016.0,"生态",,16.0
2016.0,"市监",,0.0
2016.0,"司法",,3.0
2016.0,"卫生",,1.0
2016.0,"文体",,1.0
2016.0,"应急",,6.0
2016.0,"住建",,14.0
2017.0,"城管","宝安区",16.0
2017.0,"公安","宝安区",34.0
2017.0,"规自","宝安区",136.0
2017.0,"教育","宝安区",1.0
2017.0,"民政","宝安区",2.0
2017.0,"人社","宝安区",1.0
2017.0,"审计","宝安区",9.0
2017.0,"生态","宝安区",15.0
2017.0,"水务","宝安区",0.0
2017.0,"司法","宝安区",1.0
2017.0,"卫生","宝安区",2.0
2017.0,"文体","宝安区",1.0
2017.0,"应急","宝安区",8.0
2017.0,"住建","宝安区",8.0
2017.0,,"宝安区",0.0
2017.0,"城管","大鹏新区",15.0
2017.0,"公安","大鹏新区",26.0
2017.0,"规自","大鹏新区",140.0
2017.0,"教育","大鹏新区",2.0
2017.0,"民政","大鹏新区",2.0
2017.0,"人社","大鹏新区",2.0
2017.0,"生态","大鹏新区",1.0
2017.0,"水务","大鹏新区",83.0
2017.0,"卫生","大鹏新区",1.0
2017.0,"文体","大鹏新区",1.0
2017.0,"应急","大鹏新区",7.0
2017.0,"住建","大鹏新区",28.0
2017.0,"财政","福田区",9.0
2017.0,"城管","福田区",15.0
2017.0,"公安","福田区",26.0
2017.0,"规自","福田区",139.0
2017.0,"教育","福田区",7.0
2017.0,"民政","福田区",3.0
2017.0,"人社","福田区",9.0
2017.0,"审计","福田区",0.0
2017.0,"生态","福田区",15.0
2017.0,"司法","福田区",3.0
2017.0,"卫生","福田区",2.0
2017.0,"文体","福田区",1.0
2017.0,"应急","福田区",7.0
2017.0,"住建","福田区",8.0
2017.0,,"福田区",4.0
2017.0,"城管","光明区",15.0
2017.0,"档案","光明区",0.0
2017.0,"公安","光明区",26.0
2017.0,"规自","光明区",136.0
2017.0,"教育","光明区",1.0
2017.0,"民政","光明区",9.0
2017.0,"人社","光明区",1.0
2017.0,"生态","光明区",15.0
2017.0,"事单","光明区",0.0
2017.0,"水务","光明区",0.0
2017.0,"卫生","光明区",3.0
2017.0,"文体","光明区",5.0
2017.0,"医疗","光明区",2.0
2017.0,"应急","光明区",7.0
2017.0,"住建","光明区",25.0
2017.0,"财政","龙岗区",0.0
2017.0,"城管","龙岗区",15.0
2017.0,"档案","龙岗区",3.0
2017.0,"公安","龙岗区",26.0
2017.0,"规自","龙岗区",164.0
2017.0,"教育","龙岗区",1.0
2017.0,"民政","龙岗区",2.0
2017.0,"人社","龙岗区",8.0
2017.0,"生态","龙岗区",15.0
2017.0,"水务","龙岗区",35.0
2017.0,"司法","龙岗区",1.0
2017.0,"卫生","龙岗区",2.0
2017.0,"文体","龙岗区",1.0
2017.0,"应急","龙岗区",7.0
2017.0,"住建","龙岗区",10.0
2017.0,"保密","龙华区",2.0
2017.0,"城管","龙华区",22.0
2017.0,"公安","龙华区",26.0
2017.0,"规自","龙华区",145.0
2017.0,"教育","龙华区",1.0
2017.0,"民政","龙华区",2.0
2017.0,"民宗","龙华区",0.0
2017.0,"人社","龙华区",1.0
2017.0,"生态","龙华区",15.0
2017.0,"事单","龙华区",1.0
2017.0,"水务","龙华区",8.0
2017.0,"司法","龙华区",1.0
2017.0,"卫生","龙华区",2.0
2017.0,"文体","龙华区",1.0
2017.0,"应急","龙华区",17.0
2017.0,"住建","龙华区",10.0
2017.0,"城管","罗湖区",15.0
2017.0,"公安","罗湖区",26.0
2017.0,"规自","罗湖区",141.0
2017.0,"教育","罗湖区",7.0
2017.0,"民政","罗湖区",3.0
2017.0,"人社","罗湖区",6.0
