"YEAR","POWER_HANGYE","POWER_QUYU","POWER_TYPE","SUM(*)"
2016.0,"民政","宝安区","其他",1.0
2016.0,"规自","大鹏新区","其他",1.0
2016.0,"住建","福田区","其他",0.0
2016.0,"应急","龙岗区","其他",0.0
2016.0,"金融",,"其他",4.0
2016.0,"审计",,"其他",5.0
2017.0,"民政","宝安区","其他",1.0
2017.0,"规自","大鹏新区","其他",1.0
2017.0,"住建","福田区","其他",0.0
2017.0,"应急","龙岗区","其他",0.0
2017.0,"金融",,"其他",9.0
2017.0,"审计",,"其他",5.0
2018.0,"民政","宝安区","其他",1.0
2018.0,"规自","大鹏新区","其他",1.0
2018.0,"住建","福田区","其他",0.0
2018.0,"应急","龙岗区","其他",0.0
2018.0,"金融",,"其他",9.0
2018.0,"审计",,"其他",5.0
2019.0,"民政","宝安区","其他",1.0
2019.0,"规自","大鹏新区","其他",1.0
2019.0,"住建","福田区","其他",1.0
2019.0,"应急","龙岗区","其他",10.0
2019.0,"金融",,"其他",9.0
2019.0,"审计",,"其他",5.0
2016.0,"财政","宝安区","行政处罚",0.0
2016.0,"城管","宝安区","行政处罚",276.0
2016.0,"档案","宝安区","行政处罚",7.0
2016.0,"公安","宝安区","行政处罚",527.0
2016.0,"规自","宝安区","行政处罚",319.0
2016.0,"交通","宝安区","行政处罚",2.0
2016.0,"教育","宝安区","行政处罚",38.0
2016.0,"民政","宝安区","行政处罚",39.0
2016.0,"民宗","宝安区","行政处罚",5.0
2016.0,"人社","宝安区","行政处罚",125.0
2016.0,"审计","宝安区","行政处罚",17.0
2016.0,"生态","宝安区","行政处罚",146.0
2016.0,"水务","宝安区","行政处罚",424.0
2016.0,"司法","宝安区","行政处罚",1.0
2016.0,"统计","宝安区","行政处罚",15.0
2016.0,"退役","宝安区","行政处罚",1.0
2016.0,"卫生","宝安区","行政处罚",441.0
2016.0,"文体","宝安区","行政处罚",3.0
2016.0,"应急","宝安区","行政处罚",282.0
2016.0,"住建","宝安区","行政处罚",200.0
2016.0,,"宝安区","行政处罚",6.0
2016.0,"财政","大鹏新区","行政处罚",29.0
2016.0,"城管","大鹏新区","行政处罚",115.0
2016.0,"档案","大鹏新区","行政处罚",0.0
2016.0,"公安","大鹏新区","行政处罚",387.0
2016.0,"规自","大鹏新区","行政处罚",312.0
2016.0,"交通","大鹏新区","行政处罚",0.0
2016.0,"教育","大鹏新区","行政处罚",39.0
2016.0,"民政","大鹏新区","行政处罚",12.0
2016.0,"民宗","大鹏新区","行政处罚",5.0
2016.0,"人社","大鹏新区","行政处罚",18.0
2016.0,"生态","大鹏新区","行政处罚",48.0
2016.0,"水务","大鹏新区","行政处罚",615.0
2016.0,"司法","大鹏新区","行政处罚",7.0
2016.0,"统计","大鹏新区","行政处罚",3.0
2016.0,"卫生","大鹏新区","行政处罚",162.0
2016.0,"文体","大鹏新区","行政处罚",216.0
2016.0,"应急","大鹏新区","行政处罚",222.0
2016.0,"住建","大鹏新区","行政处罚",395.0
2016.0,,"大鹏新区","行政处罚",3.0
2016.0,"财政","福田区","行政处罚",21.0
2016.0,"城管","福田区","行政处罚",333.0
2016.0,"档案","福田区","行政处罚",8.0
2016.0,"公安","福田区","行政处罚",389.0
2016.0,"规自","福田区","行政处罚",270.0
2016.0,"交通","福田区","行政处罚",0.0
2016.0,"教育","福田区","行政处罚",42.0
2016.0,"民政","福田区","行政处罚",34.0
2016.0,"民宗","福田区","行政处罚",5.0
2016.0,"人社","福田区","行政处罚",116.0
2016.0,"商务","福田区","行政处罚",0.0
2016.0,"审计","福田区","行政处罚",0.0
2016.0,"生态","福田区","行政处罚",146.0
2016.0,"水务","福田区","行政处罚",424.0
2016.0,"司法","福田区","行政处罚",3.0
2016.0,"统计","福田区","行政处罚",0.0
2016.0,"退役","福田区","行政处罚",1.0
2016.0,"卫生","福田区","行政处罚",235.0
2016.0,"文体","福田区","行政处罚",1.0
2016.0,"应急","福田区","行政处罚",163.0
2016.0,"住建","福田区","行政处罚",83.0
2016.0,,"福田区","行政处罚",155.0
2016.0,"城管","光明区","行政处罚",359.0
2016.0,"档案","光明区","行政处罚",0.0
2016.0,"公安","光明区","行政处罚",389.0
2016.0,"规自","光明区","行政处罚",259.0
2016.0,"交通","光明区","行政处罚",0.0
2016.0,"教育","光明区","行政处罚",2.0
2016.0,"民政","光明区","行政处罚",39.0
2016.0,"民宗","光明区","行政处罚",10.0
2016.0,"气象","光明区","行政处罚",2.0
2016.0,"人社","光明区","行政处罚",1.0
2016.0,"生态","光明区","行政处罚",146.0
2016.0,"事单","光明区","行政处罚",0.0
2016.0,"水务","光明区","行政处罚",420.0
2016.0,"司法","光明区","行政处罚",3.0
2016.0,"统计","光明区","行政处罚",15.0
2016.0,"退役","光明区","行政处罚",1.0
2016.0,"卫生","光明区","行政处罚",251.0
2016.0,"文体","光明区","行政处罚",208.0
2016.0,"医疗","光明区","行政处罚",7.0
2016.0,"应急","光明区","行政处罚",163.0
2016.0,"住建","光明区","行政处罚",390.0
2016.0,,"光明区","行政处罚",3.0
2016.0,"财政","龙岗区","行政处罚",0.0
2016.0,"城管","龙岗区","行政处罚",133.0
2016.0,"档案","龙岗区","行政处罚",7.0
2016.0,"工信","龙岗区","行政处罚",0.0
2016.0,"公安","龙岗区","行政处罚",387.0
2016.0,"规自","龙岗区","行政处罚",302.0
2016.0,"交通","龙岗区","行政处罚",0.0
2016.0,"教育","龙岗区","行政处罚",27.0
2016.0,"民政","龙岗区","行政处罚",39.0
2016.0,"民宗","龙岗区","行政处罚",10.0
2016.0,"人社","龙岗区","行政处罚",117.0
2016.0,"审计","龙岗区","行政处罚",17.0
2016.0,"生态","龙岗区","行政处罚",146.0
2016.0,"水务","龙岗区","行政处罚",704.0
2016.0,"司法","龙岗区","行政处罚",4.0
2016.0,"统计","龙岗区","行政处罚",12.0
2016.0,"退役","龙岗区","行政处罚",1.0
2016.0,"卫生","龙岗区","行政处罚",236.0
2016.0,"文体","龙岗区","行政处罚",115.0
2016.0,"应急","龙岗区","行政处罚",166.0
2016.0,"住建","龙岗区","行政处罚",327.0
2016.0,,"龙岗区","行政处罚",0.0
2016.0,"保密","龙华区","行政处罚",1.0
2016.0,"财政","龙华区","行政处罚",4.0
2016.0,"城管","龙华区","行政处罚",230.0
2016.0,"档案","龙华区","行政处罚",2.0
2016.0,"公安","龙华区","行政处罚",389.0
2016.0,"规自","龙华区","行政处罚",310.0
2016.0,"交通","龙华区","行政处罚",0.0
2016.0,"教育","龙华区","行政处罚",42.0
2016.0,"民政","龙华区","行政处罚",2.0
2016.0,"民宗","龙华区","行政处罚",8.0
2016.0,"气象","龙华区","行政处罚",1.0
2016.0,"人社","龙华区","行政处罚",1.0
2016.0,"审计","龙华区","行政处罚",17.0
2016.0,"生态","龙华区","行政处罚",146.0
2016.0,"事单","龙华区","行政处罚",2.0
2016.0,"水务","龙华区","行政处罚",509.0
2016.0,"司法","龙华区","行政处罚",8.0
2016.0,"统计","龙华区","行政处罚",0.0
2016.0,"退役","龙华区","行政处罚",1.0
2016.0,"卫生","龙华区","行政处罚",222.0
2016.0,"文体","龙华区","行政处罚",1.0
2016.0,"应急","龙华区","行政处罚",367.0
2016.0,"住建","龙华区","行政处罚",352.0
2016.0,"财政","罗湖区","行政处罚",22.0
2016.0,"城管","罗湖区","行政处罚",133.0
2016.0,"档案","罗湖区","行政处罚",9.0
2016.0,"公安","罗湖区","行政处罚",389.0
2016.0,"规自","罗湖区","行政处罚",318.0
2016.0,"交通","罗湖区","行政处罚",1.0
2016.0,"教育","罗湖区","行政处罚",37.0
2016.0,"民政","罗湖区","行政处罚",26.0
2016.0,"民宗","罗湖区","行政处罚",5.0
2016.0,"人社","罗湖区","行政处罚",122.0
2016.0,"商务","罗湖区","行政处罚",1.0
2016.0,"审计","罗湖区","行政处罚",17.0
2016.0,"生态","罗湖区","行政处罚",146.0
2016.0,"事单","罗湖区","行政处罚",2.0
2016.0,"水务","罗湖区","行政处罚",772.0
2016.0,"司法","罗湖区","行政处罚",1.0
2016.0,"统计","罗湖区","行政处罚",15.0
2016.0,"退役","罗湖区","行政处罚",4.0
2016.0,"卫生","罗湖区","行政处罚",519.0
2016.0,"文体","罗湖区","行政处罚",212.0
2016.0,"应急","罗湖区","行政处罚",402.0
2016.0,"住建","罗湖区","行政处罚",389.0
2016.0,,"罗湖区","行政处罚",11.0
2016.0,"财政","南山区","行政处罚",22.0
2016.0,"城管","南山区","行政处罚",413.0
2016.0,"档案","南山区","行政处罚",9.0
2016.0,"工信","南山区","行政处罚",0.0
2016.0,"公安","南山区","行政处罚",391.0
2016.0,"规自","南山区","行政处罚",336.0
2016.0,"交通","南山区","行政处罚",0.0
2016.0,"教育","南山区","行政处罚",20.0
2016.0,"民政","南山区","行政处罚",22.0
2016.0,"民宗","南山区","行政处罚",5.0
2016.0,"人社","南山区","行政处罚",100.0
2016.0,"审计","南山区","行政处罚",17.0
2016.0,"生态","南山区","行政处罚",149.0
2016.0,"市监","南山区","行政处罚",0.0
2016.0,"水务","南山区","行政处罚",629.0
2016.0,"司法","南山区","行政处罚",3.0
2016.0,"统计","南山区","行政处罚",12.0
2016.0,"退役","南山区","行政处罚",1.0
2016.0,"卫生","南山区","行政处罚",228.0
2016.0,"文体","南山区","行政处罚",160.0
2016.0,"应急","南山区","行政处罚",163.0
2016.0,"住建","南山区","行政处罚",238.0
2016.0,,"南山区","行政处罚",2.0
2016.0,"保密","坪山区","行政处罚",1.0
2016.0,"财政","坪山区","行政处罚",22.0
2016.0,"城管","坪山区","行政处罚",115.0
2016.0,"档案","坪山区","行政处罚",0.0
2016.0,"公安","坪山区","行政处罚",389.0
2016.0,"规自","坪山区","行政处罚",305.0
2016.0,"交通","坪山区","行政处罚",2.0
2016.0,"教育","坪山区","行政处罚",2.0
2016.0,"民政","坪山区","行政处罚",41.0
2016.0,"民宗","坪山区","行政处罚",10.0
2016.0,"人社","坪山区","行政处罚",1.0
2016.0,"商务","坪山区","行政处罚",0.0
2016.0,"审计","坪山区","行政处罚",0.0
2016.0,"生态","坪山区","行政处罚",146.0
2016.0,"水务","坪山区","行政处罚",420.0
2016.0,"司法","坪山区","行政处罚",7.0
2016.0,"统计","坪山区","行政处罚",0.0
2016.0,"退役","坪山区","行政处罚",1.0
2016.0,"卫生","坪山区","行政处罚",272.0
2016.0,"文体","坪山区","行政处罚",1.0
2016.0,"应急","坪山区","行政处罚",166.0
2016.0,"住建","坪山区","行政处罚",317.0
2016.0,,"坪山区","行政处罚",1.0
2016.0,"保密","盐田区","行政处罚",0.0
2016.0,"财政","盐田区","行政处罚",18.0
2016.0,"城管","盐田区","行政处罚",309.0
2016.0,"档案","盐田区","行政处罚",2.0
2016.0,"防空","盐田区","行政处罚",14.0
2016.0,"公安","盐田区","行政处罚",389.0
2016.0,"规自","盐田区","行政处罚",297.0
2016.0,"交通","盐田区","行政处罚",0.0
2016.0,"教育","盐田区","行政处罚",2.0
2016.0,"民政","盐田区","行政处罚",2.0
2016.0,"民宗","盐田区","行政处罚",5.0
2016.0,"人社","盐田区","行政处罚",117.0
2016.0,"审计","盐田区","行政处罚",0.0
2016.0,"生态","盐田区","行政处罚",146.0
2016.0,"水务","盐田区","行政处罚",646.0
2016.0,"司法","盐田区","行政处罚",4.0
2016.0,"统计","盐田区","行政处罚",12.0
2016.0,"退役","盐田区","行政处罚",1.0
2016.0,"卫生","盐田区","行政处罚",498.0
2016.0,"文体","盐田区","行政处罚",160.0
2016.0,"应急","盐田区","行政处罚",292.0
2016.0,"住建","盐田区","行政处罚",198.0
2016.0,,"盐田区","行政处罚",51.0
2016.0,"财政",,"行政处罚",0.0
2016.0,"城管",,"行政处罚",133.0
