"YEAR","POWER_HANGYE","POWER_TYPE","SUM(*)"
2016.0,"规自","其他",1.0
2016.0,"金融","其他",4.0
2016.0,"民政","其他",1.0
2016.0,"审计","其他",5.0
2016.0,"应急","其他",0.0
2016.0,"住建","其他",0.0
2017.0,"规自","其他",1.0
2017.0,"金融","其他",9.0
2017.0,"民政","其他",1.0
2017.0,"审计","其他",5.0
2017.0,"应急","其他",0.0
2017.0,"住建","其他",0.0
2018.0,"规自","其他",1.0
2018.0,"金融","其他",9.0
2018.0,"民政","其他",1.0
2018.0,"审计","其他",5.0
2018.0,"应急","其他",0.0
2018.0,"住建","其他",0.0
2019.0,"规自","其他",1.0
2019.0,"金融","其他",9.0
2019.0,"民政","其他",1.0
2019.0,"审计","其他",5.0
2019.0,"应急","其他",10.0
2019.0,"住建","其他",1.0
2016.0,"保密","行政处罚",2.0
2016.0,"财政","行政处罚",138.0
2016.0,"城管","行政处罚",1345.0
2016.0,"档案","行政处罚",32.0
2016.0,"发改","行政处罚",0.0
2016.0,"防空","行政处罚",14.0
2016.0,"工信","行政处罚",15.0
2016.0,"公安","行政处罚",535.0
2016.0,"规自","行政处罚",800.0
2016.0,"交通","行政处罚",624.0
2016.0,"教育","行政处罚",248.0
2016.0,"金融","行政处罚",1.0
2016.0,"科创","行政处罚",9.0
2016.0,"民政","行政处罚",276.0
2016.0,"民宗","行政处罚",23.0
2016.0,"气象","行政处罚",25.0
2016.0,"人社","行政处罚",728.0
2016.0,"商务","行政处罚",1.0
2016.0,"审计","行政处罚",102.0
2016.0,"生态","行政处罚",165.0
2016.0,"事单","行政处罚",4.0
2016.0,"市监","行政处罚",0.0
2016.0,"水务","行政处罚",1774.0
2016.0,"司法","行政处罚",49.0
2016.0,"统计","行政处罚",84.0
2016.0,"退役","行政处罚",4.0
2016.0,"卫生","行政处罚",1236.0
2016.0,"文体","行政处罚",1068.0
2016.0,"医疗","行政处罚",7.0
2016.0,"应急","行政处罚",922.0
2016.0,"住建","行政处罚",2810.0
2016.0,,"行政处罚",251.0
2017.0,"保密","行政处罚",4.0
2017.0,"财政","行政处罚",153.0
2017.0,"城管","行政处罚",1404.0
2017.0,"档案","行政处罚",34.0
2017.0,"发改","行政处罚",0.0
2017.0,"防空","行政处罚",14.0
2017.0,"工信","行政处罚",15.0
2017.0,"公安","行政处罚",576.0
2017.0,"规自","行政处罚",826.0
2017.0,"交通","行政处罚",755.0
2017.0,"教育","行政处罚",254.0
2017.0,"金融","行政处罚",8.0
2017.0,"科创","行政处罚",9.0
2017.0,"民政","行政处罚",279.0
2017.0,"民宗","行政处罚",23.0
2017.0,"气象","行政处罚",27.0
2017.0,"人社","行政处罚",733.0
2017.0,"商务","行政处罚",1.0
2017.0,"审计","行政处罚",102.0
2017.0,"生态","行政处罚",189.0
2017.0,"事单","行政处罚",4.0
2017.0,"市监","行政处罚",0.0
2017.0,"水务","行政处罚",2440.0
2017.0,"司法","行政处罚",53.0
2017.0,"统计","行政处罚",99.0
2017.0,"退役","行政处罚",5.0
2017.0,"卫生","行政处罚",1460.0
2017.0,"文体","行政处罚",1247.0
2017.0,"医疗","行政处罚",7.0
2017.0,"应急","行政处罚",953.0
2017.0,"住建","行政处罚",3109.0
2017.0,,"行政处罚",367.0
2018.0,"保密","行政处罚",4.0
2018.0,"财政","行政处罚",161.0
2018.0,"城管","行政处罚",2035.0
2018.0,"档案","行政处罚",34.0
2018.0,"发改","行政处罚",0.0
2018.0,"防空","行政处罚",14.0
2018.0,"工信","行政处罚",20.0
2018.0,"公安","行政处罚",578.0
2018.0,"规自","行政处罚",832.0
2018.0,"交通","行政处罚",799.0
2018.0,"教育","行政处罚",255.0
2018.0,"金融","行政处罚",8.0
2018.0,"科创","行政处罚",9.0
2018.0,"民政","行政处罚",280.0
2018.0,"民宗","行政处罚",170.0
2018.0,"气象","行政处罚",27.0
2018.0,"人社","行政处罚",744.0
2018.0,"商务","行政处罚",2.0
2018.0,"审计","行政处罚",119.0
2018.0,"生态","行政处罚",294.0
2018.0,"事单","行政处罚",6.0
2018.0,"市监","行政处罚",1.0
2018.0,"水务","行政处罚",2519.0
2018.0,"司法","行政处罚",54.0
2018.0,"统计","行政处罚",110.0
2018.0,"退役","行政处罚",6.0
2018.0,"卫生","行政处罚",1555.0
2018.0,"文体","行政处罚",1278.0
2018.0,"医疗","行政处罚",7.0
2018.0,"应急","行政处罚",1157.0
2018.0,"住建","行政处罚",3288.0
2018.0,,"行政处罚",424.0
2019.0,"保密","行政处罚",6.0
2019.0,"财政","行政处罚",280.0
2019.0,"城管","行政处罚",2264.0
2019.0,"档案","行政处罚",62.0
2019.0,"发改","行政处罚",1.0
2019.0,"防空","行政处罚",14.0
2019.0,"工信","行政处罚",34.0
2019.0,"公安","行政处罚",580.0
2019.0,"规自","行政处罚",927.0
2019.0,"交通","行政处罚",911.0
2019.0,"教育","行政处罚",397.0
2019.0,"金融","行政处罚",8.0
2019.0,"科创","行政处罚",9.0
2019.0,"民政","行政处罚",372.0
2019.0,"民宗","行政处罚",232.0
2019.0,"气象","行政处罚",27.0
2019.0,"人社","行政处罚",992.0
2019.0,"商务","行政处罚",3.0
2019.0,"审计","行政处罚",153.0
2019.0,"生态","行政处罚",322.0
2019.0,"事单","行政处罚",14.0
2019.0,"市监","行政处罚",2.0
2019.0,"水务","行政处罚",3867.0
2019.0,"司法","行政处罚",57.0
2019.0,"统计","行政处罚",140.0
2019.0,"退役","行政处罚",13.0
2019.0,"卫生","行政处罚",1871.0
2019.0,"文体","行政处罚",2460.0
2019.0,"医疗","行政处罚",7.0
2019.0,"应急","行政处罚",1810.0
2019.0,"住建","行政处罚",3514.0
2019.0,,"行政处罚",751.0
2016.0,"保密","行政检查",2.0
2016.0,"财政","行政检查",41.0
2016.0,"城管","行政检查",4.0
2016.0,"档案","行政检查",5.0
2016.0,"发改","行政检查",0.0
2016.0,"防空","行政检查",2.0
2016.0,"工信","行政检查",0.0
2016.0,"公安","行政检查",36.0
2016.0,"规自","行政检查",30.0
2016.0,"交通","行政检查",13.0
2016.0,"教育","行政检查",19.0
2016.0,"金融","行政检查",1.0
2016.0,"民政","行政检查",60.0
2016.0,"民宗","行政检查",0.0
2016.0,"气象","行政检查",4.0
2016.0,"人社","行政检查",86.0
2016.0,"商务","行政检查",0.0
2016.0,"审计","行政检查",29.0
2016.0,"生态","行政检查",20.0
2016.0,"事单","行政检查",2.0
2016.0,"水务","行政检查",63.0
2016.0,"司法","行政检查",26.0
2016.0,"统计","行政检查",9.0
2016.0,"卫生","行政检查",110.0
2016.0,"文体","行政检查",135.0
2016.0,"医疗","行政检查",3.0
2016.0,"应急","行政检查",62.0
2016.0,"住建","行政检查",29.0
2016.0,,"行政检查",29.0
2017.0,"保密","行政检查",2.0
2017.0,"财政","行政检查",43.0
2017.0,"城管","行政检查",8.0
2017.0,"档案","行政检查",5.0
2017.0,"发改","行政检查",0.0
2017.0,"防空","行政检查",2.0
2017.0,"工信","行政检查",0.0
2017.0,"公安","行政检查",39.0
2017.0,"规自","行政检查",34.0
2017.0,"交通","行政检查",20.0
2017.0,"教育","行政检查",21.0
2017.0,"金融","行政检查",1.0
2017.0,"民政","行政检查",62.0
2017.0,"民宗","行政检查",0.0
2017.0,"气象","行政检查",4.0
2017.0,"人社","行政检查",86.0
2017.0,"商务","行政检查",0.0
2017.0,"审计","行政检查",29.0
2017.0,"生态","行政检查",22.0
2017.0,"事单","行政检查",2.0
2017.0,"水务","行政检查",80.0
2017.0,"司法","行政检查",27.0
2017.0,"统计","行政检查",13.0
2017.0,"卫生","行政检查",118.0
2017.0,"文体","行政检查",161.0
2017.0,"医疗","行政检查",3.0
2017.0,"应急","行政检查",64.0
2017.0,"住建","行政检查",30.0
2017.0,,"行政检查",35.0
2018.0,"保密","行政检查",2.0
2018.0,"财政","行政检查",45.0
2018.0,"城管","行政检查",8.0
2018.0,"档案","行政检查",5.0
2018.0,"发改","行政检查",0.0
2018.0,"防空","行政检查",2.0
2018.0,"工信","行政检查",1.0
2018.0,"公安","行政检查",39.0
2018.0,"规自","行政检查",34.0
2018.0,"交通","行政检查",22.0
2018.0,"教育","行政检查",24.0
2018.0,"金融","行政检查",1.0
2018.0,"民政","行政检查",62.0
2018.0,"民宗","行政检查",5.0
2018.0,"气象","行政检查",6.0
2018.0,"人社","行政检查",90.0
2018.0,"商务","行政检查",1.0
2018.0,"审计","行政检查",34.0
2018.0,"生态","行政检查",25.0
2018.0,"事单","行政检查",2.0
2018.0,"水务","行政检查",81.0
2018.0,"司法","行政检查",27.0
2018.0,"统计","行政检查",15.0
2018.0,"卫生","行政检查",122.0
2018.0,"文体","行政检查",170.0
2018.0,"医疗","行政检查",3.0
2018.0,"应急","行政检查",71.0
2018.0,"住建","行政检查",33.0
2018.0,,"行政检查",42.0
2019.0,"保密","行政检查",3.0
2019.0,"财政","行政检查",77.0
2019.0,"城管","行政检查",8.0
2019.0,"档案","行政检查",9.0
2019.0,"发改","行政检查",1.0
2019.0,"防空","行政检查",2.0
2019.0,"工信","行政检查",4.0
2019.0,"公安","行政检查",39.0
2019.0,"规自","行政检查",36.0
2019.0,"交通","行政检查",22.0
2019.0,"教育","行政检查",57.0
2019.0,"金融","行政检查",1.0
2019.0,"民政","行政检查",91.0
2019.0,"民宗","行政检查",7.0
2019.0,"气象","行政检查",6.0
2019.0,"人社","行政检查",120.0
2019.0,"商务","行政检查",1.0
2019.0,"审计","行政检查",44.0
2019.0,"生态","行政检查",25.0
2019.0,"事单","行政检查",2.0
2019.0,"水务","行政检查",134.0
2019.0,"司法","行政检查",31.0
2019.0,"统计","行政检查",19.0
2019.0,"卫生","行政检查",145.0
2019.0,"文体","行政检查",242.0
2019.0,"医疗","行政检查",3.0
2019.0,"应急","行政检查",117.0
2019.0,"住建","行政检查",34.0
2019.0,,"行政检查",71.0
2016.0,"城管","行政强制",29.0
2016.0,"公安","行政强制",83.0
2016.0,"规自","行政强制",32.0
2016.0,"交通","行政强制",12.0
2016.0,"金融","行政强制",0.0
2016.0,"民政","行政强制",39.0
2016.0,"气象","行政强制",2.0
2016.0,"人社","行政强制",5.0
2016.0,"审计","行政强制",22.0
2016.0,"生态","行政强制",6.0
2016.0,"水务","行政强制",92.0
2016.0,"司法","行政强制",0.0
2016.0,"卫生","行政强制",23.0
2016.0,"文体","行政强制",6.0
2016.0,"应急","行政强制",27.0
2016.0,"住建","行政强制",1.0
2016.0,,"行政强制",9.0
2017.0,"城管","行政强制",37.0
2017.0,"公安","行政强制",85.0
2017.0,"规自","行政强制",37.0
2017.0,"交通","行政强制",12.0
2017.0,"金融","行政强制",1.0
2017.0,"民政","行政强制",39.0
2017.0,"气象","行政强制",2.0
2017.0,"人社","行政强制",5.0
2017.0,"审计","行政强制",22.0
2017.0,"生态","行政强制",9.0
2017.0,"水务","行政强制",100.0
2017.0,"司法","行政强制",0.0
2017.0,"卫生","行政强制",24.0
2017.0,"文体","行政强制",8.0
2017.0,"应急","行政强制",27.0
2017.0,"住建","行政强制",3.0
2017.0,,"行政强制",11.0
2018.0,"城管","行政强制",72.0
2018.0,"公安","行政强制",91.0
2018.0,"规自","行政强制",38.0
2018.0,"交通","行政强制",14.0
2018.0,"金融","行政强制",1.0
2018.0,"民政","行政强制",39.0
2018.0,"气象","行政强制",3.0
2018.0,"人社","行政强制",5.0
2018.0,"审计","行政强制",26.0
2018.0,"生态","行政强制",10.0
2018.0,"水务","行政强制",112.0
2018.0,"司法","行政强制",1.0
2018.0,"卫生","行政强制",27.0
2018.0,"文体","行政强制",8.0
2018.0,"应急","行政强制",33.0
2018.0,"住建","行政强制",3.0
2018.0,,"行政强制",17.0
