"YEAR","POWER_LAWTYPE","SUM(*)"
2016.0,"部门规章",3430.0
2017.0,"部门规章",3872.0
2018.0,"部门规章",4218.0
2019.0,"部门规章",5867.0
2016.0,"地方性法规",2483.0
2017.0,"地方性法规",3034.0
2018.0,"地方性法规",3288.0
2019.0,"地方性法规",4124.0
2016.0,"法律",2936.0
2017.0,"法律",3287.0
2018.0,"法律",3459.0
2019.0,"法律",4498.0
2016.0,"其他",145.0
2017.0,"其他",181.0
2018.0,"其他",185.0
2019.0,"其他",283.0
2016.0,"特区法规",1689.0
2017.0,"特区法规",1892.0
2018.0,"特区法规",2390.0
2019.0,"特区法规",2866.0
2016.0,"行政法规",4051.0
2017.0,"行政法规",4592.0
2018.0,"行政法规",4989.0
2019.0,"行政法规",7011.0
2016.0,"政府规章",1645.0
2017.0,"政府规章",1786.0
2018.0,"政府规章",2047.0
2019.0,"政府规章",2410.0
