"YEAR","POWER_QUYU","SUM(*)"
2016.0,,10437
2016.0,"光明区",10433
2016.0,"南山区",10680
2016.0,"坪山区",11175
2016.0,"大鹏新区",8828
2016.0,"宝安区",10920
2016.0,"盐田区",11211
2016.0,"福田区",10248
2016.0,"罗湖区",11181
2016.0,"龙华区",10906
2016.0,"龙岗区",11213
2017.0,,10437
2017.0,"光明区",10433
2017.0,"南山区",10680
2017.0,"坪山区",11175
2017.0,"大鹏新区",8828
2017.0,"宝安区",10920
2017.0,"盐田区",11211
2017.0,"福田区",10248
2017.0,"罗湖区",11181
2017.0,"龙华区",10906
2017.0,"龙岗区",11213
2018.0,,10437
2018.0,"光明区",10433
2018.0,"南山区",10680
2018.0,"坪山区",11175
2018.0,"大鹏新区",8828
2018.0,"宝安区",10920
2018.0,"盐田区",11211
2018.0,"福田区",10248
2018.0,"罗湖区",11181
2018.0,"龙华区",10906
2018.0,"龙岗区",11213
2019.0,,10437
2019.0,"光明区",10433
2019.0,"南山区",10680
2019.0,"坪山区",11175
2019.0,"大鹏新区",8828
2019.0,"宝安区",10920
2019.0,"盐田区",11211
2019.0,"福田区",10248
2019.0,"罗湖区",11181
2019.0,"龙华区",10906
2019.0,"龙岗区",11213
