"YEAR","POWER_QUYU","SUM(*)"
2016.0,,708
2016.0,"光明区",665
2016.0,"南山区",691
2016.0,"坪山区",726
2016.0,"大鹏新区",611
2016.0,"宝安区",694
2016.0,"盐田区",713
2016.0,"福田区",664
2016.0,"罗湖区",711
2016.0,"龙华区",719
2016.0,"龙岗区",696
2017.0,,708
2017.0,"光明区",665
2017.0,"南山区",691
2017.0,"坪山区",726
2017.0,"大鹏新区",611
2017.0,"宝安区",694
2017.0,"盐田区",713
2017.0,"福田区",664
2017.0,"罗湖区",711
2017.0,"龙华区",719
2017.0,"龙岗区",696
2018.0,,708
2018.0,"光明区",665
2018.0,"南山区",691
2018.0,"坪山区",726
2018.0,"大鹏新区",611
2018.0,"宝安区",694
2018.0,"盐田区",713
2018.0,"福田区",664
2018.0,"罗湖区",711
2018.0,"龙华区",719
2018.0,"龙岗区",696
2019.0,,708
2019.0,"光明区",665
2019.0,"南山区",691
2019.0,"坪山区",726
2019.0,"大鹏新区",611
2019.0,"宝安区",694
2019.0,"盐田区",713
2019.0,"福田区",664
2019.0,"罗湖区",711
2019.0,"龙华区",719
2019.0,"龙岗区",696
