"YEAR","POWER_QUYU","POWER_TYPE","SUM(*)"
2016.0,"宝安区","其他",1.0
2016.0,"大鹏新区","其他",1.0
2016.0,"福田区","其他",0.0
2016.0,"龙岗区","其他",0.0
2016.0,,"其他",9.0
2017.0,"宝安区","其他",1.0
2017.0,"大鹏新区","其他",1.0
2017.0,"福田区","其他",0.0
2017.0,"龙岗区","其他",0.0
2017.0,,"其他",14.0
2018.0,"宝安区","其他",1.0
2018.0,"大鹏新区","其他",1.0
2018.0,"福田区","其他",0.0
2018.0,"龙岗区","其他",0.0
2018.0,,"其他",14.0
2019.0,"宝安区","其他",1.0
2019.0,"大鹏新区","其他",1.0
2019.0,"福田区","其他",1.0
2019.0,"龙岗区","其他",10.0
2019.0,,"其他",14.0
2016.0,"宝安区","行政处罚",2874.0
2016.0,"大鹏新区","行政处罚",2588.0
2016.0,"福田区","行政处罚",2429.0
2016.0,"光明区","行政处罚",2668.0
2016.0,"龙岗区","行政处罚",2750.0
2016.0,"龙华区","行政处罚",2615.0
2016.0,"罗湖区","行政处罚",3553.0
2016.0,"南山区","行政处罚",2920.0
2016.0,"坪山区","行政处罚",2219.0
2016.0,"盐田区","行政处罚",3163.0
2016.0,,"行政处罚",2825.0
2017.0,"宝安区","行政处罚",3118.0
2017.0,"大鹏新区","行政处罚",2862.0
2017.0,"福田区","行政处罚",2726.0
2017.0,"光明区","行政处罚",2921.0
2017.0,"龙岗区","行政处罚",3193.0
2017.0,"龙华区","行政处罚",2884.0
2017.0,"罗湖区","行政处罚",3838.0
2017.0,"南山区","行政处罚",3274.0
2017.0,"坪山区","行政处罚",2423.0
2017.0,"盐田区","行政处罚",3515.0
2017.0,,"行政处罚",3133.0
2018.0,"宝安区","行政处罚",3539.0
2018.0,"大鹏新区","行政处罚",3120.0
2018.0,"福田区","行政处罚",3180.0
2018.0,"光明区","行政处罚",3327.0
2018.0,"龙岗区","行政处罚",3536.0
2018.0,"龙华区","行政处罚",3386.0
2018.0,"罗湖区","行政处罚",4166.0
2018.0,"南山区","行政处罚",3632.0
2018.0,"坪山区","行政处罚",2739.0
2018.0,"盐田区","行政处罚",3907.0
2018.0,,"行政处罚",3446.0
2019.0,"宝安区","行政处罚",4957.0
2019.0,"大鹏新区","行政处罚",3833.0
2019.0,"福田区","行政处罚",4187.0
2019.0,"光明区","行政处罚",4633.0
2019.0,"龙岗区","行政处罚",4425.0
2019.0,"龙华区","行政处罚",4883.0
2019.0,"罗湖区","行政处罚",4901.0
2019.0,"南山区","行政处罚",4606.0
2019.0,"坪山区","行政处罚",4528.0
2019.0,"盐田区","行政处罚",4706.0
2019.0,,"行政处罚",3772.0
2016.0,"宝安区","行政检查",147.0
2016.0,"大鹏新区","行政检查",123.0
2016.0,"福田区","行政检查",121.0
2016.0,"光明区","行政检查",107.0
2016.0,"龙岗区","行政检查",146.0
2016.0,"龙华区","行政检查",127.0
2016.0,"罗湖区","行政检查",198.0
2016.0,"南山区","行政检查",142.0
2016.0,"坪山区","行政检查",103.0
2016.0,"盐田区","行政检查",167.0
2016.0,,"行政检查",135.0
2017.0,"宝安区","行政检查",158.0
2017.0,"大鹏新区","行政检查",132.0
2017.0,"福田区","行政检查",130.0
2017.0,"光明区","行政检查",118.0
2017.0,"龙岗区","行政检查",160.0
2017.0,"龙华区","行政检查",139.0
2017.0,"罗湖区","行政检查",219.0
2017.0,"南山区","行政检查",152.0
2017.0,"坪山区","行政检查",108.0
2017.0,"盐田区","行政检查",177.0
2017.0,,"行政检查",149.0
2018.0,"宝安区","行政检查",166.0
2018.0,"大鹏新区","行政检查",136.0
2018.0,"福田区","行政检查",135.0
2018.0,"光明区","行政检查",124.0
2018.0,"龙岗区","行政检查",169.0
2018.0,"龙华区","行政检查",142.0
2018.0,"罗湖区","行政检查",226.0
2018.0,"南山区","行政检查",158.0
2018.0,"坪山区","行政检查",112.0
2018.0,"盐田区","行政检查",197.0
2018.0,,"行政检查",157.0
2019.0,"宝安区","行政检查",226.0
2019.0,"大鹏新区","行政检查",143.0
2019.0,"福田区","行政检查",155.0
2019.0,"光明区","行政检查",163.0
2019.0,"龙岗区","行政检查",194.0
2019.0,"龙华区","行政检查",225.0
2019.0,"罗湖区","行政检查",231.0
2019.0,"南山区","行政检查",171.0
2019.0,"坪山区","行政检查",202.0
2019.0,"盐田区","行政检查",212.0
2019.0,,"行政检查",179.0
2016.0,"宝安区","行政强制",140.0
2016.0,"大鹏新区","行政强制",85.0
2016.0,"福田区","行政强制",127.0
2016.0,"光明区","行政强制",102.0
2016.0,"龙岗区","行政强制",133.0
2016.0,"龙华区","行政强制",125.0
2016.0,"罗湖区","行政强制",137.0
2016.0,"南山区","行政强制",133.0
2016.0,"坪山区","行政强制",108.0
2016.0,"盐田区","行政强制",161.0
2016.0,,"行政强制",137.0
2017.0,"宝安区","行政强制",153.0
2017.0,"大鹏新区","行政强制",93.0
2017.0,"福田区","行政强制",145.0
2017.0,"光明区","行政强制",115.0
2017.0,"龙岗区","行政强制",147.0
2017.0,"龙华区","行政强制",141.0
2017.0,"罗湖区","行政强制",150.0
2017.0,"南山区","行政强制",145.0
2017.0,"坪山区","行政强制",119.0
2017.0,"盐田区","行政强制",172.0
2017.0,,"行政强制",149.0
2018.0,"宝安区","行政强制",177.0
2018.0,"大鹏新区","行政强制",105.0
2018.0,"福田区","行政强制",170.0
2018.0,"光明区","行政强制",127.0
2018.0,"龙岗区","行政强制",159.0
2018.0,"龙华区","行政强制",168.0
2018.0,"罗湖区","行政强制",168.0
2018.0,"南山区","行政强制",165.0
2018.0,"坪山区","行政强制",131.0
2018.0,"盐田区","行政强制",192.0
2018.0,,"行政强制",163.0
2019.0,"宝安区","行政强制",198.0
2019.0,"大鹏新区","行政强制",106.0
2019.0,"福田区","行政强制",179.0
2019.0,"光明区","行政强制",138.0
2019.0,"龙岗区","行政强制",169.0
2019.0,"龙华区","行政强制",182.0
2019.0,"罗湖区","行政强制",173.0
2019.0,"南山区","行政强制",181.0
2019.0,"坪山区","行政强制",164.0
2019.0,"盐田区","行政强制",197.0
2019.0,,"行政强制",168.0
2016.0,"宝安区","行政确认",2.0
2016.0,,"行政确认",0.0
2017.0,"宝安区","行政确认",2.0
2017.0,,"行政确认",0.0
2018.0,"宝安区","行政确认",2.0
2018.0,,"行政确认",0.0
2019.0,"宝安区","行政确认",2.0
2019.0,,"行政确认",1.0
2016.0,"宝安区","行政许可",10.0
2016.0,"福田区","行政许可",2.0
2016.0,"光明区","行政许可",0.0
2016.0,"龙岗区","行政许可",0.0
2016.0,"龙华区","行政许可",1.0
2016.0,"罗湖区","行政许可",3.0
2016.0,"南山区","行政许可",5.0
2016.0,,"行政许可",0.0
2017.0,"宝安区","行政许可",10.0
2017.0,"福田区","行政许可",2.0
2017.0,"光明区","行政许可",0.0
2017.0,"龙岗区","行政许可",0.0
2017.0,"龙华区","行政许可",1.0
2017.0,"罗湖区","行政许可",3.0
2017.0,"南山区","行政许可",5.0
2017.0,,"行政许可",5.0
2018.0,"宝安区","行政许可",11.0
2018.0,"福田区","行政许可",2.0
2018.0,"光明区","行政许可",0.0
2018.0,"龙岗区","行政许可",0.0
2018.0,"龙华区","行政许可",20.0
2018.0,"罗湖区","行政许可",6.0
2018.0,"南山区","行政许可",5.0
2018.0,,"行政许可",5.0
2019.0,"宝安区","行政许可",11.0
2019.0,"福田区","行政许可",2.0
2019.0,"光明区","行政许可",3.0
2019.0,"龙岗区","行政许可",9.0
2019.0,"龙华区","行政许可",20.0
2019.0,"罗湖区","行政许可",6.0
2019.0,"南山区","行政许可",9.0
2019.0,,"行政许可",7.0
