"YEAR","POWER_QUYU","POWER_TYPE","SUM(*)"
2016.0,"宝安区","其他",1.0
2016.0,"大鹏新区","其他",1.0
2016.0,"福田区","其他",0.0
2016.0,"龙岗区","其他",0.0
2016.0,,"其他",9.0
2017.0,"宝安区","其他",1.0
2017.0,"大鹏新区","其他",1.0
2017.0,"福田区","其他",0.0
2017.0,"龙岗区","其他",0.0
2017.0,,"其他",14.0
2018.0,"宝安区","其他",1.0
2018.0,"大鹏新区","其他",1.0
2018.0,"福田区","其他",0.0
2018.0,"龙岗区","其他",0.0
2018.0,,"其他",14.0
2019.0,"宝安区","其他",1.0
2019.0,"大鹏新区","其他",1.0
2019.0,"福田区","其他",1.0
2019.0,"龙岗区","其他",10.0
2019.0,,"其他",14.0
2016.0,"宝安区","行政处罚",2341.0
2016.0,"大鹏新区","行政处罚",2198.0
2016.0,"福田区","行政处罚",1885.0
2016.0,"光明区","行政处罚",2276.0
2016.0,"龙岗区","行政处罚",2363.0
2016.0,"龙华区","行政处罚",2226.0
2016.0,"罗湖区","行政处罚",3153.0
2016.0,"南山区","行政处罚",2527.0
2016.0,"坪山区","行政处罚",1829.0
2016.0,"盐田区","行政处罚",2723.0
2016.0,,"行政处罚",2420.0
2017.0,"宝安区","行政处罚",2547.0
2017.0,"大鹏新区","行政处罚",2444.0
2017.0,"福田区","行政处罚",2054.0
2017.0,"光明区","行政处罚",2502.0
2017.0,"龙岗区","行政处罚",2779.0
2017.0,"龙华区","行政处罚",2468.0
2017.0,"罗湖区","行政处罚",3406.0
2017.0,"南山区","行政处罚",2854.0
2017.0,"坪山区","行政处罚",2005.0
2017.0,"盐田区","行政处罚",3044.0
2017.0,,"行政处罚",2694.0
2018.0,"宝安区","行政处罚",2966.0
2018.0,"大鹏新区","行政处罚",2699.0
2018.0,"福田区","行政处罚",2464.0
2018.0,"光明区","行政处罚",2906.0
2018.0,"龙岗区","行政处罚",3119.0
2018.0,"龙华区","行政处罚",2968.0
2018.0,"罗湖区","行政处罚",3727.0
2018.0,"南山区","行政处罚",3210.0
2018.0,"坪山区","行政处罚",2319.0
2018.0,"盐田区","行政处罚",3427.0
2018.0,,"行政处罚",3004.0
2019.0,"宝安区","行政处罚",4239.0
2019.0,"大鹏新区","行政处罚",3410.0
2019.0,"福田区","行政处罚",3290.0
2019.0,"光明区","行政处罚",4210.0
2019.0,"龙岗区","行政处罚",4006.0
2019.0,"龙华区","行政处罚",4463.0
2019.0,"罗湖区","行政处罚",4460.0
2019.0,"南山区","行政处罚",4182.0
2019.0,"坪山区","行政处罚",4104.0
2019.0,"盐田区","行政处罚",4224.0
2019.0,,"行政处罚",3325.0
2016.0,"宝安区","行政检查",125.0
2016.0,"大鹏新区","行政检查",97.0
2016.0,"福田区","行政检查",90.0
2016.0,"光明区","行政检查",88.0
2016.0,"龙岗区","行政检查",126.0
2016.0,"龙华区","行政检查",108.0
2016.0,"罗湖区","行政检查",169.0
2016.0,"南山区","行政检查",121.0
2016.0,"坪山区","行政检查",81.0
2016.0,"盐田区","行政检查",143.0
2016.0,,"行政检查",110.0
2017.0,"宝安区","行政检查",135.0
2017.0,"大鹏新区","行政检查",104.0
2017.0,"福田区","行政检查",97.0
2017.0,"光明区","行政检查",98.0
2017.0,"龙岗区","行政检查",139.0
2017.0,"龙华区","行政检查",119.0
2017.0,"罗湖区","行政检查",185.0
2017.0,"南山区","行政检查",130.0
2017.0,"坪山区","行政检查",85.0
2017.0,"盐田区","行政检查",152.0
2017.0,,"行政检查",121.0
2018.0,"宝安区","行政检查",143.0
2018.0,"大鹏新区","行政检查",108.0
2018.0,"福田区","行政检查",102.0
2018.0,"光明区","行政检查",104.0
2018.0,"龙岗区","行政检查",148.0
2018.0,"龙华区","行政检查",122.0
2018.0,"罗湖区","行政检查",192.0
2018.0,"南山区","行政检查",136.0
2018.0,"坪山区","行政检查",89.0
2018.0,"盐田区","行政检查",165.0
2018.0,,"行政检查",129.0
2019.0,"宝安区","行政检查",182.0
2019.0,"大鹏新区","行政检查",115.0
2019.0,"福田区","行政检查",114.0
2019.0,"光明区","行政检查",143.0
2019.0,"龙岗区","行政检查",173.0
2019.0,"龙华区","行政检查",205.0
2019.0,"罗湖区","行政检查",197.0
2019.0,"南山区","行政检查",149.0
2019.0,"坪山区","行政检查",179.0
2019.0,"盐田区","行政检查",180.0
2019.0,,"行政检查",151.0
2016.0,"宝安区","行政强制",57.0
2016.0,"大鹏新区","行政强制",17.0
2016.0,"福田区","行政强制",50.0
2016.0,"光明区","行政强制",34.0
2016.0,"龙岗区","行政强制",64.0
2016.0,"龙华区","行政强制",57.0
2016.0,"罗湖区","行政强制",69.0
2016.0,"南山区","行政强制",64.0
2016.0,"坪山区","行政强制",40.0
2016.0,"盐田区","行政强制",92.0
2016.0,,"行政强制",68.0
2017.0,"宝安区","行政强制",68.0
2017.0,"大鹏新区","行政强制",23.0
2017.0,"福田区","行政强制",64.0
2017.0,"光明区","行政强制",45.0
2017.0,"龙岗区","行政强制",76.0
2017.0,"龙华区","行政强制",71.0
2017.0,"罗湖区","行政强制",80.0
2017.0,"南山区","行政强制",74.0
2017.0,"坪山区","行政强制",49.0
2017.0,"盐田区","行政强制",101.0
2017.0,,"行政强制",78.0
2018.0,"宝安区","行政强制",86.0
2018.0,"大鹏新区","行政强制",31.0
2018.0,"福田区","行政强制",80.0
2018.0,"光明区","行政强制",53.0
2018.0,"龙岗区","行政强制",84.0
2018.0,"龙华区","行政强制",94.0
2018.0,"罗湖区","行政强制",94.0
2018.0,"南山区","行政强制",90.0
2018.0,"坪山区","行政强制",57.0
2018.0,"盐田区","行政强制",116.0
2018.0,,"行政强制",88.0
2019.0,"宝安区","行政强制",105.0
2019.0,"大鹏新区","行政强制",32.0
2019.0,"福田区","行政强制",86.0
2019.0,"光明区","行政强制",64.0
2019.0,"龙岗区","行政强制",94.0
2019.0,"龙华区","行政强制",108.0
2019.0,"罗湖区","行政强制",99.0
2019.0,"南山区","行政强制",106.0
2019.0,"坪山区","行政强制",90.0
2019.0,"盐田区","行政强制",121.0
2019.0,,"行政强制",93.0
2016.0,"宝安区","行政确认",2.0
2016.0,,"行政确认",0.0
2017.0,"宝安区","行政确认",2.0
2017.0,,"行政确认",0.0
2018.0,"宝安区","行政确认",2.0
2018.0,,"行政确认",0.0
2019.0,"宝安区","行政确认",2.0
2019.0,,"行政确认",1.0
2016.0,"宝安区","行政许可",7.0
2016.0,"福田区","行政许可",2.0
2016.0,"光明区","行政许可",0.0
2016.0,"龙岗区","行政许可",0.0
2016.0,"龙华区","行政许可",1.0
2016.0,"罗湖区","行政许可",3.0
2016.0,"南山区","行政许可",5.0
2016.0,,"行政许可",0.0
2017.0,"宝安区","行政许可",7.0
2017.0,"福田区","行政许可",2.0
2017.0,"光明区","行政许可",0.0
2017.0,"龙岗区","行政许可",0.0
2017.0,"龙华区","行政许可",1.0
2017.0,"罗湖区","行政许可",3.0
2017.0,"南山区","行政许可",5.0
2017.0,,"行政许可",5.0
2018.0,"宝安区","行政许可",8.0
2018.0,"福田区","行政许可",2.0
2018.0,"光明区","行政许可",0.0
2018.0,"龙岗区","行政许可",0.0
2018.0,"龙华区","行政许可",20.0
2018.0,"罗湖区","行政许可",6.0
2018.0,"南山区","行政许可",5.0
2018.0,,"行政许可",5.0
2019.0,"宝安区","行政许可",8.0
2019.0,"福田区","行政许可",2.0
2019.0,"光明区","行政许可",3.0
2019.0,"龙岗区","行政许可",9.0
2019.0,"龙华区","行政许可",20.0
2019.0,"罗湖区","行政许可",6.0
2019.0,"南山区","行政许可",9.0
2019.0,,"行政许可",7.0
