"YEAR","LAW_TYPE","SUM(*)"
2016.0,"其他",16
2016.0,"地方性法规",140
2016.0,"政府规章",118
2016.0,"法律",126
2016.0,"特区法规",54
2016.0,"行政法规",231
2016.0,"部门规章",342
2017.0,"其他",16
2017.0,"地方性法规",140
2017.0,"政府规章",118
2017.0,"法律",126
2017.0,"特区法规",54
2017.0,"行政法规",231
2017.0,"部门规章",342
2018.0,"其他",16
2018.0,"地方性法规",140
2018.0,"政府规章",118
2018.0,"法律",126
2018.0,"特区法规",54
2018.0,"行政法规",231
2018.0,"部门规章",342
2019.0,"其他",16
2019.0,"地方性法规",140
2019.0,"政府规章",118
2019.0,"法律",126
2019.0,"特区法规",54
2019.0,"行政法规",231
2019.0,"部门规章",342
