"YEAR","POWER_ID","POWER_COUNT","POWER_CODE","POWER_NAME","RANK_COUNT","COUNTIN"
2016.0,"8a0b373e-7df9-45d9-a944-4bfe279d87e2",11.0,"11440300MB2C94128A020202","对违反捕捞许可证关于场所的规定进行捕捞的处罚",1.0,1.0
2016.0,"c3ea8fa4-3f37-46d2-b99b-f14c3f79ac32",10.0,"11440300MB2C94128A020204","对违反捕捞许可证关于作业类型、时限的规定进行捕捞政处罚",2.0,1.0
2016.0,"1ace25ab-a19b-4339-876a-59f62e3f229e",8.0,"11440300MB2C94128A020269","对未依法取得捕捞许可证擅自进行捕捞的行政处罚",3.0,1.0
2016.0,"76af49a4-19a0-4e89-8dd1-0fb9a51208d7",7.0,"11440300MB2C94128A020346","对未经批准或者不按批准的范围、方式开采海砂的处罚",4.0,1.0
2016.0,"43289b46-be14-4a73-bf31-a3835cf3dadf",3.0,"11440300MB2C94128A020347","对未取得海洋倾倒许可证，向海洋倾倒废弃物的处罚",5.0,1.0
2016.0,"c6a2e693-2618-4003-acc6-417087c8ef51",3.0,"11440300MB2C94128A020224","对船舶无有效船名、船号、证书的处罚",5.0,1.0
2016.0,"a00c36b2-c09c-4f9a-b72d-3a0a1de26188",2.0,"11440300MB2C94128A020208","对违反关于禁渔区的规定进行捕捞的处罚",7.0,1.0
2016.0,"194cc53c-2c09-4f37-a7ce-91bc5090dc61",2.0,"11440300MB2C94128A020288","对在渔港内的航道、港池、锚地和停泊区从事有碍海上交通安全的捕捞、养殖等生产活动的处罚",7.0,1.0
2016.0,"0da9ae4b-f8fe-4c01-8e84-bec2b4c53db1",2.0,"11440300MB2C94128A020183","对不按照许可证的规定倾倒，或者向已经封闭的倾倒区倾倒废弃物的处罚",7.0,1.0
2016.0,"4db526fb-07f1-4796-95bb-1abfe38fd313",1.0,"11440300MB2C94128A020213","对未办理进出渔港签证的，或者在渔港内不服从渔政渔港监督管理机关对水域交通安全秩序管理的处罚",10.0,1.0
2016.0,"23a4a664-763a-4b27-96bf-0d7f8cd783ad",1.0,"11440300MB2C94128A020217","对超过限定的改正时限仍未按规定配备救生或消防设备的处罚",10.0,1.0
2016.0,"d96548d1-c149-4707-891e-2a409ae31012",1.0,"11440300MB2C94128A020223","对船舶未配备职务船员的处罚",10.0,1.0
2016.0,"0a942b8e-e680-485b-9235-08ee06910fd2",1.0,"11440300MB2C94128A020211","对未按规定配齐船员的处罚",10.0,1.0
2017.0,"15fa9087-e93e-4a65-af1c-b8b3bce0a5d2",38.0,"11440300693981103B020055","对检查发现的安全事故隐患未立即处理或及时报告",1.0,1.0
2017.0,"f025bbe3-51d2-45e8-9bf2-b5c8931c6c31",20.0,"11440300693981103B020052","未将事故隐患排查治理情况如实记录",2.0,1.0
2017.0,"b8f05563-b2f0-458d-81fd-b160436828b7",15.0,"1144030700755150X8020005","对供应商在政府采购活动中违法行为的处罚",3.0,1.0
2017.0,"2a032ff9-6e2d-4ab2-a838-fa75295de539",14.0,"11440300693981103B020058","未取得施工许可证擅自施工",4.0,1.0
2017.0,"8a0b373e-7df9-45d9-a944-4bfe279d87e2",14.0,"11440300MB2C94128A020202","对违反捕捞许可证关于场所的规定进行捕捞的处罚",4.0,1.0
2017.0,"76af49a4-19a0-4e89-8dd1-0fb9a51208d7",13.0,"11440300MB2C94128A020346","对未经批准或者不按批准的范围、方式开采海砂的处罚",6.0,1.0
2017.0,"b0e0ae99-791d-415c-aae5-4308340bb153",12.0,"11440300693981103B020083","未取得施工许可证擅自施工",7.0,1.0
2017.0,"dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",12.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",7.0,1.0
2017.0,"e73d6741-1c62-4dbd-9075-e4170aa9bf6d",12.0,"11440300693981103B020086","未取得施工许可证擅自施工",7.0,1.0
2017.0,"ef5d69c3-3ff4-4a5f-83ef-da5ac6a8cc0d",12.0,"11440300693981103B020068","劳动防护用品抽检不合格",7.0,1.0
2018.0,"075741dc-4464-4a00-b577-a2ba789fdf7a",82.0,"114403050075449597020099","用人单位克扣员工工资",1.0,1.0
2018.0,"112201f7-5fad-48dd-b32a-4e9a93117434",73.0,"11440300695587927L020062","对未建立场内巡查制度，或者发现上网消费者的违法行为未予制止并向文化行政部门、公安机关举报的行政处罚",2.0,1.0
2018.0,"2322b0df-923e-4e2b-94e7-36f4c12c2185",44.0,"11440300695587927L020494","对没有建立承印验证制度、承印登记制度、印刷品保管制度、印刷品交付制度、印刷活动残次品销毁制度等的行政处罚",3.0,1.0
2018.0,"8eb7f54c-eb98-40fb-a152-d6f900347b66",41.0,"11440300695587927L020070","对未悬挂《网络文化经营许可证》或者未成年人禁入标志的刑事处罚",4.0,1.0
2018.0,"18706d09-ec2e-4775-8692-0edb7021f0c5",39.0,"114403035731270177020080","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",5.0,1.0
2018.0,"540e3771-2cf1-4fb5-a196-6c23ec6a79a1",32.0,"114403005731055040020038","对建设单位未经批准进行临时建设；未按批准内容进行临时建设；临时建筑物、构筑物超过批准期限不拆除的行政处罚",6.0,1.0
2018.0,"6d1dd5e6-102a-4762-a04a-59051769550c",32.0,"11440307MB2D289576020059","对擅自从事互联网上网服务经营活动的行为的处罚",6.0,1.0
2018.0,"d7ed60bb-740b-4a6a-add5-ec3f6c6e6922",30.0,"11440300007541512Q020018","对城镇排水与污水处理设施覆盖范围内的综合未按国家规定将污水排入城镇排水设施；在雨水、污水分流地区将污水排入雨水管网的行政处罚",8.0,1.0
2018.0,"dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",30.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",8.0,1.0
2018.0,"ceb9af97-bf47-45bd-9de7-ea4314372364",29.0,"114403050075449597020026","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",10.0,1.0
2019.0,"075741dc-4464-4a00-b577-a2ba789fdf7a",32.0,"114403050075449597020099","用人单位克扣员工工资",1.0,1.0
2019.0,"a2d87f5a-c481-4c49-a7ae-2f0c144ad7c6",27.0,"11440304MB2D11725U020049","对建设单位未经批准进行临时建设；未按批准内容进行临时建设；临时建筑物、构筑物超过批准期限不拆除的行政处罚",2.0,1.0
2019.0,"112201f7-5fad-48dd-b32a-4e9a93117434",19.0,"11440300695587927L020062","对未建立场内巡查制度，或者发现上网消费者的违法行为未予制止并向文化行政部门、公安机关举报的行政处罚",3.0,1.0
2019.0,"18706d09-ec2e-4775-8692-0edb7021f0c5",17.0,"114403035731270177020080","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",4.0,1.0
2019.0,"f025bbe3-51d2-45e8-9bf2-b5c8931c6c31",14.0,"11440300693981103B020052","未将事故隐患排查治理情况如实记录",5.0,1.0
2019.0,"ff277245-cfed-42fd-91c0-e1cee013d7fd",12.0,"11440300695587927L020060","对在本条例规定的禁止营业时间内营业的行政处罚",6.0,1.0
2019.0,"6f3da472-477f-4715-a489-c00e8437f676",11.0,"114403005731055040020037","对买卖或者以其他形式非法转让土地的行为的行政处罚",7.0,1.0
2019.0,"d7ed60bb-740b-4a6a-add5-ec3f6c6e6922",11.0,"11440300007541512Q020018","对城镇排水与污水处理设施覆盖范围内的综合未按国家规定将污水排入城镇排水设施；在雨水、污水分流地区将污水排入雨水管网的行政处罚",7.0,1.0
2019.0,"33899448-dfc3-4e24-9043-0a161160c85a",11.0,"114403045747534156020014","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",7.0,1.0
2019.0,"44a682f2-10e2-4347-9bfe-00f95da183b8",10.0,"11440300695587927L020067","对变更有关事项，未按照本条例规定申请重新核发娱乐经营许可证的行政处罚",10.0,1.0
2019.0,"c3ea8fa4-3f37-46d2-b99b-f14c3f79ac32",10.0,"11440300MB2C94128A020204","对违反捕捞许可证关于作业类型、时限的规定进行捕捞政处罚",10.0,1.0
2019.0,"45d6af81-30eb-4bcf-860c-ccc755731d4d",10.0,"114403060075432358020143","对娱乐场所未按照规定建立从业人员名簿、营业日志，或者发现违法犯罪行为未按规定报告的行为的处罚",10.0,1.0
2019.0,"acdccd70-f3eb-4154-876d-a1ec1d141cc3",10.0,"114403006939536635020381","对建设单位、施工单位未取得施工许可证或开工报告未经批准擅自施工或为规避办理施工许可证，将工程项目分解后擅自施工的行政处罚",10.0,1.0
