"PUNISH_HANGYE","YEAR","MEAN(ALL_DAYS)"
,2016.0,52.40000000000001
,2017.0,70.57142857142861
,2018.0,54.775000000000006
,2019.0,51.84615384615386
"交通",2016.0,1046.0
"交通",2018.0,107.33333333333337
"交通",2019.0,42.97560975609756
"人社",2017.0,107.15999999999997
"人社",2018.0,97.75665399239557
"人社",2019.0,74.64655172413795
"住建",2017.0,235.65845070422557
"住建",2018.0,126.76470588235291
"住建",2019.0,68.20089285714289
"卫生",2016.0,77.61624203821638
"卫生",2017.0,87.16847479259708
"卫生",2018.0,81.06958762886609
"卫生",2019.0,57.09723643807572
"司法",2017.0,51.0
"司法",2018.0,100.14285714285714
"司法",2019.0,70.0
"城管",2017.0,592.5
"城管",2018.0,100.72681704260641
"城管",2019.0,18.76980392156862
"工信",2018.0,7.833333333333333
"市监",2016.0,97.61264937336057
"市监",2017.0,68.7660429220838
"市监",2018.0,56.38051069401998
"市监",2019.0,51.34223826714796
"应急",2016.0,887.0
"应急",2017.0,64.11736590546994
"应急",2018.0,52.10038503850376
"应急",2019.0,44.69771295989399
"教育",2017.0,16.0
"教育",2018.0,38.0
"文体",2017.0,98.66666666666666
"文体",2018.0,47.661807580174916
"文体",2019.0,30.250000000000014
"民政",2017.0,405.3333333333332
"民政",2018.0,236.06521739130426
"水务",2017.0,206.59523809523807
"水务",2018.0,166.38690476190473
"水务",2019.0,101.80681818181817
"生态",2016.0,
"生态",2017.0,270.96
"生态",2018.0,241.69230769230776
"生态",2019.0,90.75
"统计",2018.0,49.0
"规自",2016.0,54.230769230769226
"规自",2017.0,99.24999999999999
"规自",2018.0,111.31034482758615
"规自",2019.0,53.48672566371681
"财政",2017.0,274.3500000000001
"财政",2018.0,269.6999999999999
"财政",2019.0,56.5
