"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_HANGYE"
6.0,,61.0,176.0,1.0,2018.0,
89.66666666666666,,91.0,200.0,36.33333333333333,2018.0,"住建"
4.0,,120.0,35.0,0.0,2017.0,"文体"
2.416666666666667,,29.083333333333332,71.16666666666666,-26.75,2018.0,"文体"
183.0,,88.0,90.0,10.0,2017.0,"民政"
6.0,,41.00000000000001,240.40000000000003,1.8,2018.0,"水务"
14.0,,79.0,602.0,10.0,2017.0,"规自"
0.0,109.0,6.0,21.0,1.0,2018.0,"规自"
8.0,3.0,46.5,19.0,0.0,2019.0,"规自"
1.0,,44.5,81.0,0.0,2018.0,"财政"
