"YEAR","PUNISH_HANGYE","SUM(*)"
2016.0,,123700.0
2016.0,"交通",1000.0
2016.0,"卫生",9259775.04
2016.0,"市监",3.0136370370000005E7
2016.0,"应急",
2016.0,"生态",1722.48
2016.0,"规自",1533000.0
2017.0,,112500.0
2017.0,"人社",391800.0
2017.0,"住建",1.730768559E7
2017.0,"卫生",1.90004584E7
2017.0,"司法",
2017.0,"城管",5500.0
2017.0,"市监",1.0987486361999999E8
2017.0,"应急",
2017.0,"教育",
2017.0,"文体",15000.0
2017.0,"民政",
2017.0,"水务",2390000.0
2017.0,"生态",932001.0
2017.0,"规自",3.11676393E7
2017.0,"财政",1197659.97
2018.0,,442400.0
2018.0,"交通",299100.0
2018.0,"人社",5199000.0
2018.0,"住建",3.327701613E7
2018.0,"卫生",2.896399864E7
2018.0,"司法",5000.0
2018.0,"城管",1022654.0
2018.0,"工信",274492.39999999997
2018.0,"市监",2.2847727023999998E8
2018.0,"应急",
2018.0,"教育",
2018.0,"文体",1780000.0
2018.0,"民政",
2018.0,"水务",1.168666E7
2018.0,"生态",1545359.87
2018.0,"统计",
2018.0,"规自",3.052798125500001E8
2018.0,"财政",2929455.33
2019.0,,378059.0
2019.0,"交通",1948697.0
2019.0,"人社",2258600.0
2019.0,"住建",6603353.89
2019.0,"卫生",1.59190553E7
2019.0,"司法",1000.0
2019.0,"城管",1.02255492E7
2019.0,"市监",3.1507214020000007E7
2019.0,"应急",
2019.0,"文体",584600.0
2019.0,"水务",2140000.0
2019.0,"生态",110031.0
2019.0,"统计",
2019.0,"规自",2.7565121479999997E7
2019.0,"财政",23879.28
