"YEAR","PUNISH_HANGYE","SUM(*)"
2016.0,,40
2016.0,"交通",1
2016.0,"卫生",2320
2016.0,"市监",3431
2016.0,"应急",1
2016.0,"生态",218
2016.0,"规自",13
2017.0,,35
2017.0,"人社",25
2017.0,"住建",284
2017.0,"卫生",2341
2017.0,"司法",1
2017.0,"城管",2
2017.0,"市监",
2017.0,"应急",1883
2017.0,"教育",1
2017.0,"文体",3
2017.0,"民政",30
2017.0,"水务",42
2017.0,"生态",253
2017.0,"规自",24
2017.0,"财政",40
2018.0,,40
2018.0,"交通",102
2018.0,"人社",263
2018.0,"住建",570
2018.0,"卫生",3396
2018.0,"司法",7
2018.0,"城管",399
2018.0,"工信",12
2018.0,"市监",
2018.0,"应急",7272
2018.0,"教育",4
2018.0,"文体",595
2018.0,"民政",46
2018.0,"水务",336
2018.0,"生态",192
2018.0,"统计",51
2018.0,"规自",204
2018.0,"财政",62
2019.0,,2951
2019.0,"交通",82
2019.0,"人社",116
2019.0,"住建",239
2019.0,"卫生",2656
2019.0,"司法",2
2019.0,"城管",
2019.0,"市监",5540
2019.0,"应急",3017
2019.0,"文体",152
2019.0,"水务",88
2019.0,"生态",15
2019.0,"统计",261
2019.0,"规自",113
2019.0,"财政",4
