"PUNISH_HANGYE","PUNISH_QUYU","YEAR","MEAN(ALL_DAYS)"
,,2016.0,52.40000000000001
,,2017.0,70.57142857142861
,,2018.0,43.470588235294116
,,2019.0,51.84615384615386
,"南山区",2018.0,133.0
,"大鹏新区",2018.0,106.5
,"福田区",2018.0,154.0
"交通",,2016.0,1046.0
"交通",,2018.0,107.33333333333337
"交通",,2019.0,42.97560975609756
"人社",,2018.0,54.833333333333336
"人社",,2019.0,65.5
"人社","光明区",2017.0,41.0
"人社","光明区",2018.0,65.0
"人社","光明区",2019.0,85.2
"人社","南山区",2017.0,124.11111111111111
"人社","南山区",2018.0,101.14754098360659
"人社","南山区",2019.0,94.44444444444446
"人社","坪山区",2018.0,213.0
"人社","坪山区",2019.0,55.5
"人社","宝安区",2018.0,155.33333333333331
"人社","宝安区",2019.0,75.45454545454545
"人社","盐田区",2018.0,34.50000000000001
"人社","盐田区",2019.0,41.60000000000001
"人社","福田区",2017.0,405.0
"人社","福田区",2018.0,141.88888888888889
"人社","福田区",2019.0,70.93750000000003
"人社","罗湖区",2017.0,79.71428571428572
"人社","罗湖区",2018.0,88.49333333333331
"人社","罗湖区",2019.0,60.62857142857144
"人社","龙华区",2018.0,94.875
"人社","龙华区",2019.0,102.0
"人社","龙岗区",2018.0,83.27272727272725
"人社","龙岗区",2019.0,63.0
"住建",,2017.0,240.51999999999998
"住建",,2018.0,111.81182795698926
"住建",,2019.0,56.90243902439023
"住建","光明区",2017.0,315.0
"住建","光明区",2018.0,277.0816326530612
"住建","光明区",2019.0,120.92857142857143
"住建","南山区",2017.0,69.0
"住建","南山区",2018.0,102.31481481481477
"住建","南山区",2019.0,46.84210526315789
"住建","坪山区",2018.0,73.28
"住建","坪山区",2019.0,59.5
"住建","大鹏新区",2017.0,105.0
"住建","大鹏新区",2018.0,162.47058823529414
"住建","大鹏新区",2019.0,80.5
"住建","宝安区",2017.0,360.71999999999986
"住建","宝安区",2018.0,219.7894736842105
"住建","宝安区",2019.0,94.36363636363636
"住建","盐田区",2018.0,169.49999999999997
"住建","盐田区",2019.0,40.0
"住建","福田区",2018.0,218.49999999999997
"住建","福田区",2019.0,89.66666666666666
"住建","罗湖区",2017.0,113.0
"住建","罗湖区",2018.0,104.61764705882354
"住建","罗湖区",2019.0,110.66666666666669
"住建","龙华区",2018.0,56.30379746835445
"住建","龙华区",2019.0,87.00000000000003
"住建","龙岗区",2017.0,108.99999999999999
"住建","龙岗区",2018.0,2.923076923076925
"卫生",,2016.0,48.05714285714286
"卫生",,2017.0,51.919999999999995
"卫生",,2018.0,101.83333333333334
"卫生",,2019.0,59.0921052631579
"卫生","光明区",2016.0,78.56310679611651
"卫生","光明区",2017.0,139.5757575757577
"卫生","光明区",2018.0,88.2954545454545
"卫生","光明区",2019.0,58.24418604651163
"卫生","南山区",2016.0,57.73214285714287
"卫生","南山区",2017.0,71.82954545454547
"卫生","南山区",2018.0,78.04945054945053
"卫生","南山区",2019.0,58.93442622950818
"卫生","坪山区",2016.0,67.10769230769229
"卫生","坪山区",2017.0,64.27906976744185
"卫生","坪山区",2018.0,77.36607142857147
"卫生","坪山区",2019.0,52.698630136986296
"卫生","大鹏新区",2016.0,17.26666666666667
"卫生","大鹏新区",2017.0,14.375
"卫生","大鹏新区",2018.0,38.92105263157893
"卫生","大鹏新区",2019.0,34.999999999999986
"卫生","宝安区",2016.0,50.56097560975618
"卫生","宝安区",2017.0,47.12690355329948
"卫生","宝安区",2018.0,51.598603839441495
"卫生","宝安区",2019.0,48.41304347826088
"卫生","盐田区",2016.0,24.93333333333333
"卫生","盐田区",2017.0,52.54166666666667
"卫生","盐田区",2018.0,69.94999999999996
"卫生","盐田区",2019.0,37.93750000000001
"卫生","福田区",2016.0,106.85714285714289
"卫生","福田区",2017.0,91.21276595744689
"卫生","福田区",2018.0,95.73275862068972
"卫生","福田区",2019.0,77.4197530864198
"卫生","罗湖区",2016.0,117.76086956521733
"卫生","罗湖区",2017.0,96.5299145299146
"卫生","罗湖区",2018.0,82.88034188034194
"卫生","罗湖区",2019.0,50.14583333333334
"卫生","龙华区",2016.0,58.37174721189593
"卫生","龙华区",2017.0,92.19277108433735
"卫生","龙华区",2018.0,103.51203501094096
"卫生","龙华区",2019.0,70.14457831325298
"卫生","龙岗区",2016.0,139.9800995024876
"卫生","龙岗区",2017.0,152.58851674641141
"卫生","龙岗区",2018.0,88.08977556109713
"卫生","龙岗区",2019.0,61.44303797468353
"司法",,2017.0,51.0
"司法",,2018.0,100.14285714285714
"司法",,2019.0,70.0
"城管",,2018.0,53.099999999999994
"城管",,2019.0,30.938239159001476
"城管","南山区",2018.0,151.30769230769232
"城管","南山区",2019.0,21.083769633507842
"城管","坪山区",2017.0,798.0
"城管","坪山区",2018.0,123.73684210526315
"城管","坪山区",2019.0,27.780701754385962
"城管","宝安区",2018.0,113.50454545454544
"城管","宝安区",2019.0,21.568095238095285
"城管","盐田区",2019.0,0.0
"城管","福田区",2018.0,17.63636363636364
"城管","福田区",2019.0,5.2411732753938
"城管","罗湖区",2018.0,37.34999999999998
"城管","罗湖区",2019.0,16.7915057915058
"城管","龙华区",2018.0,20.533333333333335
"城管","龙华区",2019.0,11.338315217391298
"城管","龙岗区",2017.0,387.0
"城管","龙岗区",2018.0,137.19607843137254
"城管","龙岗区",2019.0,17.6026837806301
"工信","龙岗区",2018.0,7.833333333333333
"市监",,2016.0,100.61788617886182
"市监",,2017.0,66.45707070707073
