"YEAR","PUNISH_HANGYE","PUNISH_QUYU","SUM(*)"
2016.0,"卫生","光明区",10
2016.0,"卫生","南山区",1
2016.0,"卫生","坪山区",9
2016.0,"卫生","大鹏新区",5
2016.0,"卫生","宝安区",30
2016.0,"卫生","盐田区",4
2016.0,"卫生","福田区",10
2016.0,"卫生","罗湖区",9
2016.0,"卫生","龙华区",16
2016.0,"卫生","龙岗区",34
2016.0,"市监","光明区",1
2016.0,"市监","南山区",1
2016.0,"市监","坪山区",1
2016.0,"市监","大鹏新区",1
2016.0,"市监","宝安区",1
2016.0,"市监","盐田区",1
2016.0,"市监","福田区",1
2016.0,"市监","罗湖区",1
2016.0,"市监","龙华区",1
2016.0,"市监","龙岗区",1
2016.0,"应急","龙岗区",2
2016.0,"规自","龙华区",2
2017.0,"人社","光明区",2
2017.0,"人社","南山区",5
2017.0,"人社","福田区",2
2017.0,"人社","罗湖区",8
2017.0,"住建","光明区",2
2017.0,"住建","南山区",2
2017.0,"住建","大鹏新区",2
2017.0,"住建","宝安区",14
2017.0,"住建","罗湖区",2
2017.0,"住建","龙岗区",8
2017.0,"卫生","光明区",14
2017.0,"卫生","南山区",1
2017.0,"卫生","坪山区",9
2017.0,"卫生","大鹏新区",6
2017.0,"卫生","宝安区",35
2017.0,"卫生","盐田区",4
2017.0,"卫生","福田区",10
2017.0,"卫生","罗湖区",11
2017.0,"卫生","龙华区",15
2017.0,"卫生","龙岗区",38
2017.0,"城管","坪山区",1
2017.0,"城管","龙岗区",2
2017.0,"市监","光明区",1
2017.0,"市监","南山区",1
2017.0,"市监","坪山区",1
2017.0,"市监","大鹏新区",1
2017.0,"市监","宝安区",1
2017.0,"市监","盐田区",1
2017.0,"市监","福田区",1
2017.0,"市监","罗湖区",1
2017.0,"市监","龙华区",1
2017.0,"市监","龙岗区",1
2017.0,"应急","光明区",25
2017.0,"应急","南山区",32
2017.0,"应急","坪山区",29
2017.0,"应急","大鹏新区",19
2017.0,"应急","宝安区",85
2017.0,"应急","盐田区",18
2017.0,"应急","福田区",23
2017.0,"应急","罗湖区",26
2017.0,"应急","龙华区",51
2017.0,"应急","龙岗区",88
2017.0,"教育","龙华区",2
2017.0,"文体","龙华区",2
2017.0,"民政","龙岗区",2
2017.0,"水务","南山区",2
2017.0,"水务","坪山区",5
2017.0,"水务","罗湖区",8
2017.0,"水务","龙华区",10
2017.0,"水务","龙岗区",3
2017.0,"生态","大鹏新区",2
2017.0,"生态","福田区",5
2017.0,"生态","龙华区",4
2017.0,"规自","宝安区",2
2017.0,"规自","福田区",2
2017.0,"规自","龙华区",3
2017.0,"财政","宝安区",2
2017.0,"财政","福田区",2
2017.0,"财政","龙岗区",2
2018.0,"人社","光明区",8
2018.0,"人社","南山区",11
2018.0,"人社","坪山区",6
2018.0,"人社","宝安区",3
2018.0,"人社","盐田区",6
2018.0,"人社","福田区",10
2018.0,"人社","罗湖区",10
2018.0,"人社","龙华区",8
2018.0,"人社","龙岗区",15
2018.0,"住建","光明区",15
2018.0,"住建","南山区",17
2018.0,"住建","坪山区",11
2018.0,"住建","大鹏新区",5
2018.0,"住建","宝安区",19
2018.0,"住建","盐田区",9
2018.0,"住建","福田区",10
2018.0,"住建","罗湖区",16
2018.0,"住建","龙华区",25
2018.0,"住建","龙岗区",4
2018.0,"卫生","光明区",13
2018.0,"卫生","南山区",3
2018.0,"卫生","坪山区",10
2018.0,"卫生","大鹏新区",6
2018.0,"卫生","宝安区",43
2018.0,"卫生","盐田区",3
2018.0,"卫生","福田区",13
2018.0,"卫生","罗湖区",9
2018.0,"卫生","龙华区",19
2018.0,"卫生","龙岗区",40
2018.0,"城管","南山区",1
2018.0,"城管","坪山区",11
2018.0,"城管","宝安区",2
2018.0,"城管","福田区",1
2018.0,"城管","罗湖区",1
2018.0,"城管","龙华区",4
2018.0,"城管","龙岗区",7
2018.0,"工信","龙岗区",5
2018.0,"市监","光明区",1
2018.0,"市监","南山区",1
2018.0,"市监","坪山区",1
2018.0,"市监","大鹏新区",1
2018.0,"市监","宝安区",1
2018.0,"市监","盐田区",1
2018.0,"市监","福田区",1
2018.0,"市监","罗湖区",1
2018.0,"市监","龙华区",1
2018.0,"市监","龙岗区",1
2018.0,"应急","光明区",38
2018.0,"应急","南山区",108
2018.0,"应急","坪山区",50
2018.0,"应急","大鹏新区",37
2018.0,"应急","宝安区",144
2018.0,"应急","盐田区",37
2018.0,"应急","福田区",23
2018.0,"应急","罗湖区",92
2018.0,"应急","龙华区",119
2018.0,"应急","龙岗区",127
2018.0,"教育","龙华区",2
2018.0,"文体","光明区",8
2018.0,"文体","南山区",12
2018.0,"文体","坪山区",2
2018.0,"文体","宝安区",10
2018.0,"文体","福田区",13
2018.0,"文体","罗湖区",15
2018.0,"文体","龙华区",2
2018.0,"文体","龙岗区",25
2018.0,"民政","南山区",2
2018.0,"民政","坪山区",3
2018.0,"民政","宝安区",3
2018.0,"水务","光明区",7
2018.0,"水务","南山区",3
2018.0,"水务","坪山区",5
2018.0,"水务","大鹏新区",4
