"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_HANGYE","PUNISH_QUYU"
0.0,,62.0,45.0,0.0,2018.0,,"南山区"
2.5,39.0,17.25,48.5,24.25,2018.0,,"大鹏新区"
16578.550000000003,,8.149999999999997,4.824999999999998,21.775,2016.0,,"市级"
0.4,,14.171428571428574,4.228571428571427,34.142857142857146,2017.0,,"市级"
0.0,,10.705882352941176,4.588235294117646,13.764705882352942,2018.0,,"市级"
0.6666666666666665,21.33333333333333,16866.538461538465,7.820512820512821,15.512820512820515,2019.0,,"市级"
1.0,,66.0,83.0,0.0,2018.0,,"福田区"
0.0,,43.0,,,2016.0,"交通","市级"
3.421568627450979,,29.754901960784313,,,2018.0,"交通","市级"
2.5121951219512186,,16.414634146341474,,,2019.0,"交通","市级"
6.0,,8.0,11.0,8.0,2017.0,"人社","光明区"
3.5,,10.9,20.2,9.299999999999997,2018.0,"人社","光明区"
6.200000000000001,,17.0,19.6,16.4,2019.0,"人社","光明区"
3.2222222222222223,,34.33333333333333,15.0,1.0,2017.0,"人社","南山区"
-0.30327868852459017,,34.696721311475386,38.93939393939393,9.333333333333337,2018.0,"人社","南山区"
11.166666666666668,,45.027777777777786,36.800000000000004,1.0,2019.0,"人社","南山区"
0.0,0.0,29.0,167.25,2.75,2018.0,"人社","坪山区"
0.0,0.0,11.0,25.5,4.0,2019.0,"人社","坪山区"
5.333333333333333,0.0,26.0,87.0,1.0,2018.0,"人社","宝安区"
2.1818181818181817,0.0,22.272727272727273,21.272727272727273,2.727272727272727,2019.0,"人社","宝安区"
11.66666666666667,27.833333333333336,23.000000000000004,2.2,2.8000000000000003,2018.0,"人社","市级"
12.749999999999998,23.666666666666664,23.25,0.25,3.25,2019.0,"人社","市级"
2.166666666666667,,2.1666666666666674,61.833333333333336,-61.66666666666667,2018.0,"人社","盐田区"
3.0,,0.4,5.2,0.0,2019.0,"人社","盐田区"
7.0,20.0,0.0,,,2017.0,"人社","福田区"
-1.5000000000000002,8.647058823529413,20.44444444444445,9.399999999999999,0.0,2018.0,"人社","福田区"
41093.437499999985,17.687499999999996,3.125,13.666666666666666,0.0,2019.0,"人社","福田区"
1.3571428571428572,,0.5,85.28571428571428,-85.78571428571429,2017.0,"人社","罗湖区"
-8.08,82.0,10.719999999999999,84.82857142857144,-86.2,2018.0,"人社","罗湖区"
11.257142857142856,79.5,2.057142857142858,91.12121212121212,-92.93939393939394,2019.0,"人社","罗湖区"
0.75,62.0,30.75,7.0,20.5,2018.0,"人社","龙华区"
0.0,,15.0,1.0,1.0,2019.0,"人社","龙华区"
1.5454545454545456,,12.545454545454547,71.22222222222223,-25.0,2018.0,"人社","龙岗区"
10.0,,9.0,3.0,0.0,2019.0,"人社","龙岗区"
26.0,,54.0,19.0,198.0,2017.0,"住建","光明区"
30.448979591836736,,43.877551020408134,36.81632653061222,164.04081632653057,2018.0,"住建","光明区"
48.285714285714285,96.0,103.71428571428571,22.214285714285715,21.785714285714295,2019.0,"住建","光明区"
4.0,36.0,8.0,2.0,18.0,2017.0,"住建","南山区"
10.203703703703708,22.870370370370374,23.77777777777777,33.74074074074074,0.7592592592592585,2018.0,"住建","南山区"
4.947368421052631,9.631578947368421,12.26315789473684,9.473684210526315,11.421052631578949,2019.0,"住建","南山区"
53.03999999999998,57.346938775510196,33.260000000000005,29.229166666666647,-1.5624999999999987,2018.0,"住建","坪山区"
49.42592592592591,42.27777777777777,40.074074074074076,18.425925925925917,3.6111111111111094,2019.0,"住建","坪山区"
10.0,,-102.5,-76.0,108.0,2017.0,"住建","大鹏新区"
4.764705882352942,-0.5,103.41176470588235,32.8235294117647,29.29411764705882,2018.0,"住建","大鹏新区"
30.5,0.0,69.0,3.0,5.5,2019.0,"住建","大鹏新区"
6.280000000000001,94.17391304347824,239.60000000000005,33.599999999999994,-7.479999999999997,2017.0,"住建","宝安区"
6.403508771929818,51.78048780487806,158.47368421052633,24.66666666666666,1.2456140350877167,2018.0,"住建","宝安区"
95.27272727272728,74.29999999999998,98.63636363636363,10.818181818181817,0.0,2019.0,"住建","宝安区"
-0.7733333333333337,,143.10222222222225,19.62666666666667,0.0,2017.0,"住建","市级"
5.370967741935484,24.166666666666664,61.301075268817186,22.827956989247326,1.9623655913978486,2018.0,"住建","市级"
15.682926829268293,18.821428571428562,40.46913580246912,17.691358024691354,-0.23170731707317077,2019.0,"住建","市级"
0.5833333333333321,0.0,98.66666666666666,45.666666666666664,20.666666666666664,2018.0,"住建","盐田区"
30.0,0.0,29.0,13.0,6.999999999999999,2019.0,"住建","盐田区"
11.7,4.222222222222222,141.99999999999997,5.2,44.5,2018.0,"住建","福田区"
38.99999999999999,35.666666666666664,30.666666666666664,4.666666666666666,30.666666666666664,2019.0,"住建","福田区"
1.0,17.0,73.0,2.0,0.0,2017.0,"住建","罗湖区"
28.30232558139535,32.68965517241379,31.409090909090907,32.05000000000001,23.649999999999995,2018.0,"住建","罗湖区"
24.999999999999996,56.125,30.9,6.2,18.0,2019.0,"住建","罗湖区"
1.556962025316456,-165268.0,8387.012658227844,17.468354430379744,15.556962025316448,2018.0,"住建","龙华区"
13.862068965517238,0.0,-9.206896551724139,21.571428571428573,20.749999999999996,2019.0,"住建","龙华区"
-3.1538461538461533,11.807692307692307,52.11538461538462,60.12499999999998,-21.91666666666666,2017.0,"住建","龙岗区"
