"PUNISH_HANGYE","PUNISH_QUYU","ENFORCE_TYPE","YEAR","SUM(*)"
,,"01",2016,40
,,"01",2017,34
,,"01",2018,35
,,"01",2019,39
,"南山区","01",2018,1
,"大鹏新区","01",2018,3
,"大鹏新区","01",2019,1
,"福田区","01",2018,1
"交通",,"01",2016,1
"交通",,"01",2018,48
"交通",,"01",2019,136
"人社",,"01",2018,3
"人社",,"01",2019,7
"人社","光明区","01",2018,11
"人社","光明区","01",2019,5
"人社","南山区","01",2018,96
"人社","南山区","01",2019,69
"人社","南山区","02",2018,1
"人社","南山区","02",2019,1
"人社","坪山区","01",2018,4
"人社","坪山区","01",2019,2
"人社","宝安区","01",2018,1
"人社","宝安区","01",2019,13
"人社","盐田区","01",2018,4
"人社","盐田区","01",2019,7
"人社","福田区","01",2018,18
"人社","福田区","01",2019,17
"人社","罗湖区","01",2018,70
"人社","罗湖区","01",2019,54
"人社","龙华区","01",2018,6
"人社","龙华区","01",2019,1
"人社","龙华区","02",2018,2
"人社","龙岗区","01",2018,9
"人社","龙岗区","01",2019,1
"人社","龙岗区","02",2018,2
"住建",,"01",2018,367
"住建",,"01",2019,124
"住建",,"02",2018,1
"住建","光明区","01",2018,44
"住建","光明区","01",2019,20
"住建","南山区","01",2018,57
"住建","南山区","01",2019,19
"住建","坪山区","01",2018,37
"住建","坪山区","01",2019,66
"住建","坪山区","02",2018,1
"住建","大鹏新区","01",2018,15
"住建","大鹏新区","01",2019,5
"住建","大鹏新区","02",2018,1
"住建","宝安区","01",2018,46
"住建","宝安区","01",2019,47
"住建","盐田区","01",2018,7
"住建","盐田区","01",2019,9
"住建","福田区","01",2018,3
"住建","福田区","01",2019,10
"住建","罗湖区","01",2018,18
"住建","罗湖区","01",2019,13
"住建","罗湖区","02",2018,1
"住建","罗湖区","03",2018,10
"住建","罗湖区","03",2019,11
"住建","龙华区","01",2018,70
"住建","龙华区","01",2019,38
"住建","龙岗区","01",2018,39
"卫生",,"01",2016,37
"卫生",,"01",2017,67
"卫生",,"01",2018,167
"卫生",,"01",2019,103
"卫生",,"02",2019,1
"卫生","光明区","01",2016,102
"卫生","光明区","01",2017,118
"卫生","光明区","01",2018,145
"卫生","光明区","01",2019,117
"卫生","光明区","02",2019,1
"卫生","南山区","01",2016,63
"卫生","南山区","01",2017,93
"卫生","南山区","01",2018,173
"卫生","南山区","01",2019,84
"卫生","坪山区","01",2016,68
"卫生","坪山区","01",2017,83
"卫生","坪山区","01",2018,110
"卫生","坪山区","01",2019,91
"卫生","大鹏新区","01",2016,15
"卫生","大鹏新区","01",2017,18
"卫生","大鹏新区","01",2018,35
"卫生","大鹏新区","01",2019,23
"卫生","宝安区","01",2016,320
"卫生","宝安区","01",2017,400
"卫生","宝安区","01",2018,535
"卫生","宝安区","01",2019,400
"卫生","宝安区","02",2017,1
"卫生","盐田区","01",2016,16
"卫生","盐田区","01",2017,24
"卫生","盐田区","01",2018,17
"卫生","盐田区","01",2019,19
"卫生","盐田区","02",2019,1
"卫生","福田区","01",2016,73
"卫生","福田区","01",2017,102
"卫生","福田区","01",2018,117
"卫生","福田区","01",2019,146
"卫生","罗湖区","01",2016,91
"卫生","罗湖区","01",2017,114
"卫生","罗湖区","01",2018,116
"卫生","罗湖区","01",2019,72
"卫生","罗湖区","02",2018,1
"卫生","龙华区","01",2016,267
"卫生","龙华区","01",2017,347
"卫生","龙华区","01",2018,437
"卫生","龙华区","01",2019,182
"卫生","龙岗区","01",2016,183
"卫生","龙岗区","01",2017,208
"卫生","龙岗区","01",2018,416
"卫生","龙岗区","01",2019,239
"卫生","龙岗区","02",2017,1
"司法",,"01",2018,7
"司法",,"01",2019,3
"城管",,"01",2018,40
"城管",,"01",2019,743
"城管",,"02",2019,28
"城管","南山区","01",2018,3
"城管","南山区","01",2019,200
"城管","南山区","02",2019,1
"城管","坪山区","01",2018,4
"城管","坪山区","01",2019,700
"城管","宝安区","01",2018,63
"城管","宝安区","01",2019,6165
"城管","宝安区","02",2018,1
"城管","宝安区","02",2019,291
"城管","盐田区","01",2019,5
"城管","福田区","01",2018,5
"城管","福田区","01",2019,1843
"城管","福田区","02",2019,4
"城管","罗湖区","01",2019,537
"城管","罗湖区","02",2019,1
"城管","龙华区","01",2018,4
"城管","龙华区","01",2019,715
"城管","龙华区","02",2019,32
"城管","龙岗区","01",2018,37
"城管","龙岗区","01",2019,1717
"城管","龙岗区","02",2019,12
"工信","龙岗区","01",2018,12
"市监",,"01",2016,125
"市监",,"01",2017,1165
"市监",,"01",2018,2947
"市监",,"01",2019,1106
"市监",,"02",2016,14
"市监",,"02",2017,57
"市监",,"02",2018,81
"市监",,"02",2019,68
"市监","光明区","01",2016,5
"市监","光明区","01",2017,430
"市监","光明区","01",2018,484
"市监","光明区","01",2019,255
"市监","光明区","02",2016,1
"市监","光明区","02",2017,51
"市监","光明区","02",2018,27
"市监","光明区","02",2019,6
"市监","南山区","01",2016,41
"市监","南山区","01",2017,1700
"市监","南山区","01",2018,2064
"市监","南山区","01",2019,919
"市监","南山区","02",2016,3
"市监","南山区","02",2017,285
"市监","南山区","02",2018,301
"市监","南山区","02",2019,166
"市监","坪山区","01",2016,16
"市监","坪山区","01",2017,424
"市监","坪山区","01",2018,342
"市监","坪山区","01",2019,172
"市监","坪山区","02",2016,3
"市监","坪山区","02",2017,12
"市监","坪山区","02",2018,12
"市监","坪山区","02",2019,2
"市监","大鹏新区","01",2016,1
"市监","大鹏新区","01",2017,174
"市监","大鹏新区","01",2018,146
"市监","大鹏新区","01",2019,76
"市监","大鹏新区","02",2017,14
"市监","大鹏新区","02",2018,10
"市监","大鹏新区","02",2019,2
"市监","宝安区","01",2016,155
"市监","宝安区","01",2017,5343
"市监","宝安区","01",2018,5024
"市监","宝安区","01",2019,2015
"市监","宝安区","02",2017,120
"市监","宝安区","02",2018,89
"市监","宝安区","02",2019,98
"市监","盐田区","01",2016,5
"市监","盐田区","01",2017,113
"市监","盐田区","01",2018,171
"市监","盐田区","01",2019,86
"市监","盐田区","02",2018,6
"市监","盐田区","02",2019,3
"市监","福田区","01",2016,450
"市监","福田区","01",2017,1193
"市监","福田区","01",2018,1467
"市监","福田区","01",2019,694
"市监","福田区","02",2016,17
"市监","福田区","02",2017,141
"市监","福田区","02",2018,134
"市监","福田区","02",2019,61
"市监","罗湖区","01",2016,36
"市监","罗湖区","01",2017,1810
"市监","罗湖区","01",2018,1938
"市监","罗湖区","01",2019,770
"市监","罗湖区","02",2016,1
"市监","罗湖区","02",2017,80
"市监","罗湖区","02",2018,89
"市监","罗湖区","02",2019,31
"市监","龙华区","01",2016,15
"市监","龙华区","01",2017,1268
"市监","龙华区","01",2018,836
"市监","龙华区","01",2019,603
"市监","龙华区","02",2017,269
"市监","龙华区","02",2018,149
"市监","龙华区","02",2019,39
