"YEAR","PUNISH_HANGYE","PUNISH_QUYU","SUM(*)"
2016.0,,,123700.0
2016.0,"交通",,1000.0
2016.0,"卫生",,272079.04000000004
2016.0,"卫生","光明区",660630.0
2016.0,"卫生","南山区",361900.0
2016.0,"卫生","坪山区",299746.0
2016.0,"卫生","大鹏新区",83400.0
2016.0,"卫生","宝安区",1298060.0
2016.0,"卫生","盐田区",40500.0
2016.0,"卫生","福田区",631190.0
2016.0,"卫生","罗湖区",1629600.0
2016.0,"卫生","龙华区",1437091.0
2016.0,"卫生","龙岗区",2545579.0
2016.0,"市监",,1.127794955E7
2016.0,"市监","光明区",819418.7
2016.0,"市监","南山区",1056497.6199999999
2016.0,"市监","坪山区",157231.4
2016.0,"市监","大鹏新区",206463.0
2016.0,"市监","宝安区",2496526.65
2016.0,"市监","盐田区",174017.0
2016.0,"市监","福田区",5117887.62
2016.0,"市监","罗湖区",650906.07
2016.0,"市监","龙华区",722570.5700000002
2016.0,"市监","龙岗区",7456902.1899999995
2016.0,"应急","龙岗区",
2016.0,"生态",,1722.48
2016.0,"规自",,1533000.0
2016.0,"规自","龙华区",
2017.0,,,112500.0
2017.0,"人社","光明区",44000.0
2017.0,"人社","南山区",212300.0
2017.0,"人社","福田区",30000.0
2017.0,"人社","罗湖区",105500.0
2017.0,"住建",,1.2699123E7
2017.0,"住建","光明区",5000.0
2017.0,"住建","南山区",2581430.2199999997
2017.0,"住建","大鹏新区",13000.0
2017.0,"住建","宝安区",1845445.4000000001
2017.0,"住建","罗湖区",30000.0
2017.0,"住建","龙岗区",133686.97
2017.0,"卫生",,912125.0
2017.0,"卫生","光明区",2067976.0
2017.0,"卫生","南山区",1189300.0
2017.0,"卫生","坪山区",481500.0
2017.0,"卫生","大鹏新区",33500.0
2017.0,"卫生","宝安区",3344007.0
2017.0,"卫生","盐田区",132500.0
2017.0,"卫生","福田区",1064850.0
2017.0,"卫生","罗湖区",1871899.0
2017.0,"卫生","龙华区",3907301.4
2017.0,"卫生","龙岗区",3995500.0
2017.0,"司法",,
2017.0,"城管","坪山区",5000.0
2017.0,"城管","龙岗区",500.0
2017.0,"市监",,3.0288429650000002E7
2017.0,"市监","光明区",3579102.09
2017.0,"市监","南山区",1.0582791220000003E7
2017.0,"市监","坪山区",2669943.8
2017.0,"市监","大鹏新区",1190738.1
2017.0,"市监","宝安区",1.6693011760000002E7
2017.0,"市监","盐田区",1147851.9500000002
2017.0,"市监","福田区",9357837.209999999
2017.0,"市监","罗湖区",5059725.750000001
2017.0,"市监","龙华区",4959549.920000001
2017.0,"市监","龙岗区",2.434588216999999E7
2017.0,"应急","光明区",
2017.0,"应急","南山区",
2017.0,"应急","坪山区",
2017.0,"应急","大鹏新区",
2017.0,"应急","宝安区",
2017.0,"应急","盐田区",
2017.0,"应急","福田区",
2017.0,"应急","罗湖区",
2017.0,"应急","龙华区",
2017.0,"应急","龙岗区",
2017.0,"教育","龙华区",
2017.0,"文体",,15000.0
2017.0,"文体","龙华区",
2017.0,"民政",,
2017.0,"民政","龙岗区",
2017.0,"水务","南山区",140000.0
