"YEAR","PUNISH_HANGYE","PUNISH_QUYU","Sum(SUM(*))","SUM(*)","CASE_PER_PEO"
2019.0,"人社","光明区",5,37.0,0.13513513513513514
2019.0,"人社","南山区",36,128.0,0.28125
2019.0,"人社","坪山区",2,38.0,0.05263157894736842
2019.0,"人社","宝安区",11,201.0,0.05472636815920398
2019.0,"人社","盐田区",5,51.0,0.09803921568627451
2019.0,"人社","福田区",16,135.0,0.11851851851851852
2019.0,"人社","罗湖区",35,79.0,0.4430379746835443
2019.0,"人社","龙华区",1,60.0,0.016666666666666666
2019.0,"人社","龙岗区",1,153.0,0.006535947712418301
2019.0,"住建","光明区",14,34.0,0.4117647058823529
2019.0,"住建","南山区",19,40.0,0.475
2019.0,"住建","坪山区",54,45.0,1.2
2019.0,"住建","大鹏新区",2,30.0,0.06666666666666667
2019.0,"住建","宝安区",11,80.0,0.1375
2019.0,"住建","盐田区",4,25.0,0.16
2019.0,"住建","福田区",3,40.0,0.075
2019.0,"住建","罗湖区",21,55.0,0.38181818181818183
2019.0,"住建","龙华区",29,42.0,0.6904761904761905
2019.0,"卫生","光明区",227,19.0,11.947368421052632
2019.0,"卫生","南山区",171,31.0,5.516129032258065
2019.0,"卫生","坪山区",162,95.0,1.7052631578947368
2019.0,"卫生","大鹏新区",68,25.0,2.72
2019.0,"卫生","宝安区",726,112.0,6.482142857142857
2019.0,"卫生","盐田区",56,20.0,2.8
2019.0,"卫生","福田区",233,27.0,8.62962962962963
2019.0,"卫生","罗湖区",138,35.0,3.942857142857143
2019.0,"卫生","龙华区",262,24.0,10.916666666666666
2019.0,"卫生","龙岗区",428,41.0,10.439024390243903
2019.0,"城管","南山区",191,202.0,0.9455445544554455
2019.0,"城管","坪山区",684,42.0,16.285714285714285
2019.0,"城管","宝安区",6300,216.0,29.166666666666668
2019.0,"城管","盐田区",5,19.0,0.2631578947368421
2019.0,"城管","福田区",1841,28.0,65.75
2019.0,"城管","罗湖区",518,47.0,11.02127659574468
2019.0,"城管","龙华区",736,34.0,21.647058823529413
2019.0,"城管","龙岗区",1714,54.0,31.74074074074074
2019.0,"市监","光明区",172,180.0,0.9555555555555556
2019.0,"市监","南山区",607,118.0,5.1440677966101696
2019.0,"市监","坪山区",114,160.0,0.7125
2019.0,"市监","大鹏新区",68,101.0,0.6732673267326733
2019.0,"市监","宝安区",1677,436.0,3.846330275229358
2019.0,"市监","盐田区",69,116.0,0.5948275862068966
2019.0,"市监","福田区",462,369.0,1.2520325203252032
2019.0,"市监","罗湖区",540,336.0,1.6071428571428572
2019.0,"市监","龙华区",437,247.0,1.7692307692307692
2019.0,"市监","龙岗区",627,432.0,1.4513888888888888
2019.0,"应急","光明区",379,38.0,9.973684210526315
2019.0,"应急","南山区",140,60.0,2.3333333333333335
2019.0,"应急","坪山区",216,26.0,8.307692307692308
2019.0,"应急","大鹏新区",16,50.0,0.32
2019.0,"应急","宝安区",182,195.0,0.9333333333333333
2019.0,"应急","盐田区",21,24.0,0.875
2019.0,"应急","福田区",165,26.0,6.346153846153846
2019.0,"应急","罗湖区",342,72.0,4.75
2019.0,"应急","龙华区",753,57.0,13.210526315789474
2019.0,"应急","龙岗区",803,56.0,14.339285714285714
2019.0,"文体","光明区",6,18.0,0.3333333333333333
2019.0,"文体","南山区",11,25.0,0.44
2019.0,"文体","坪山区",2,10.0,0.2
2019.0,"文体","大鹏新区",4,21.0,0.19047619047619047
2019.0,"文体","宝安区",60,63.0,0.9523809523809523
2019.0,"文体","福田区",32,51.0,0.6274509803921569
2019.0,"文体","罗湖区",35,48.0,0.7291666666666666
2019.0,"文体","龙华区",1,38.0,0.02631578947368421
2019.0,"文体","龙岗区",1,63.0,0.015873015873015872
2019.0,"水务","光明区",10,37.0,0.2702702702702703
2019.0,"水务","南山区",9,14.0,0.6428571428571429
2019.0,"水务","坪山区",6,45.0,0.13333333333333333
2019.0,"水务","大鹏新区",2,17.0,0.11764705882352941
2019.0,"水务","宝安区",17,67.0,0.2537313432835821
2019.0,"水务","盐田区",8,13.0,0.6153846153846154
2019.0,"水务","福田区",7,18.0,0.3888888888888889
2019.0,"水务","罗湖区",14,20.0,0.7
2019.0,"水务","龙岗区",14,50.0,0.28
2019.0,"生态","福田区",1,20.0,0.05
2019.0,"生态","龙岗区",3,64.0,0.046875
2019.0,"统计","南山区",83,32.0,2.59375
2019.0,"统计","坪山区",15,19.0,0.7894736842105263
2019.0,"统计","龙华区",42,19.0,2.210526315789474
2019.0,"规自","光明区",1,58.0,0.017241379310344827
2019.0,"规自","南山区",11,149.0,0.0738255033557047
2019.0,"规自","坪山区",16,115.0,0.1391304347826087
2019.0,"规自","宝安区",15,170.0,0.08823529411764706
2019.0,"规自","盐田区",2,64.0,0.03125
2019.0,"规自","福田区",32,78.0,0.41025641025641024
2019.0,"规自","罗湖区",1,140.0,0.007142857142857143
2019.0,"规自","龙华区",7,91.0,0.07692307692307693
2019.0,"规自","龙岗区",22,126.0,0.1746031746031746
2019.0,"财政","龙华区",2,23.0,0.08695652173913043
2019.0,"财政","龙岗区",1,54.0,0.018518518518518517
