"YEAR","PUNISH_HANGYE","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO","SLEEP"
2016.0,"卫生","光明区",1,"行政处罚",251.0,0.00398406374501992,250.0
2016.0,"卫生","南山区",1,"行政处罚",228.0,0.0043859649122807015,227.0
2016.0,"卫生","坪山区",1,"行政处罚",272.0,0.003676470588235294,271.0
2016.0,"卫生","大鹏新区",1,"行政处罚",162.0,0.006172839506172839,161.0
2016.0,"卫生","宝安区",1,"行政处罚",441.0,0.0022675736961451248,440.0
2016.0,"卫生","盐田区",1,"行政处罚",498.0,0.002008032128514056,497.0
2016.0,"卫生","福田区",1,"行政处罚",235.0,0.00425531914893617,234.0
2016.0,"卫生","罗湖区",1,"行政处罚",519.0,0.0019267822736030828,518.0
2016.0,"卫生","龙华区",1,"行政处罚",222.0,0.0045045045045045045,221.0
2016.0,"卫生","龙岗区",1,"行政处罚",236.0,0.00423728813559322,235.0
2016.0,"市监","南山区",1,"行政处罚",0.0,,-1.0
2016.0,"应急","龙岗区",1,"行政处罚",166.0,0.006024096385542169,165.0
2016.0,"规自","龙华区",1,"行政处罚",310.0,0.0032258064516129032,309.0
2017.0,"人社","光明区",2,"行政处罚",1.0,2.0,-1.0
2017.0,"人社","南山区",3,"行政处罚",102.0,0.029411764705882353,99.0
2017.0,"人社","福田区",1,"行政处罚",117.0,0.008547008547008548,116.0
2017.0,"人社","罗湖区",5,"行政处罚",122.0,0.040983606557377046,117.0
2017.0,"住建","光明区",1,"行政处罚",474.0,0.002109704641350211,473.0
2017.0,"住建","南山区",3,"行政处罚",281.0,0.010676156583629894,278.0
2017.0,"住建","大鹏新区",2,"行政处罚",410.0,0.004878048780487805,408.0
2017.0,"住建","宝安区",10,"行政处罚",227.0,0.04405286343612335,217.0
2017.0,"住建","罗湖区",2,"行政处罚",393.0,0.005089058524173028,391.0
2017.0,"住建","龙岗区",4,"行政处罚",362.0,0.011049723756906077,358.0
2017.0,"卫生","光明区",1,"行政处罚",305.0,0.003278688524590164,304.0
2017.0,"卫生","南山区",1,"行政处罚",292.0,0.003424657534246575,291.0
2017.0,"卫生","坪山区",1,"行政处罚",326.0,0.003067484662576687,325.0
2017.0,"卫生","大鹏新区",1,"行政处罚",202.0,0.0049504950495049506,201.0
2017.0,"卫生","宝安区",1,"行政处罚",545.0,0.001834862385321101,544.0
2017.0,"卫生","盐田区",1,"行政处罚",590.0,0.001694915254237288,589.0
2017.0,"卫生","福田区",1,"行政处罚",299.0,0.0033444816053511705,298.0
2017.0,"卫生","罗湖区",1,"行政处罚",613.0,0.0016313213703099511,612.0
2017.0,"卫生","龙华区",1,"行政处罚",273.0,0.003663003663003663,272.0
2017.0,"卫生","龙岗区",1,"行政处罚",300.0,0.0033333333333333335,299.0
2017.0,"城管","坪山区",1,"行政处罚",115.0,0.008695652173913044,114.0
2017.0,"城管","龙岗区",1,"行政处罚",133.0,0.007518796992481203,132.0
2017.0,"市监","南山区",1,"行政处罚",0.0,,-1.0
2017.0,"应急","光明区",1,"行政处罚",166.0,0.006024096385542169,165.0
2017.0,"应急","南山区",1,"行政处罚",166.0,0.006024096385542169,165.0
2017.0,"应急","坪山区",1,"行政处罚",169.0,0.005917159763313609,168.0
2017.0,"应急","大鹏新区",1,"行政处罚",225.0,0.0044444444444444444,224.0
2017.0,"应急","宝安区",1,"行政处罚",291.0,0.003436426116838488,290.0
2017.0,"应急","盐田区",1,"行政处罚",299.0,0.0033444816053511705,298.0
2017.0,"应急","福田区",1,"行政处罚",166.0,0.006024096385542169,165.0
2017.0,"应急","罗湖区",1,"行政处罚",405.0,0.0024691358024691358,404.0
2017.0,"应急","龙华区",1,"行政处罚",388.0,0.002577319587628866,387.0
2017.0,"应急","龙岗区",1,"行政处罚",169.0,0.005917159763313609,168.0
2017.0,"教育","龙华区",1,"行政处罚",42.0,0.023809523809523808,41.0
2017.0,"文体","龙华区",1,"行政处罚",1.0,1.0,0.0
2017.0,"民政","龙岗区",1,"行政处罚",40.0,0.025,39.0
2017.0,"水务","南山区",3,"行政处罚",744.0,0.004032258064516129,741.0
2017.0,"水务","坪山区",4,"行政处罚",442.0,0.00904977375565611,438.0
2017.0,"水务","罗湖区",4,"行政处罚",870.0,0.004597701149425287,866.0
2017.0,"水务","龙华区",7,"行政处罚",598.0,0.011705685618729096,591.0
2017.0,"水务","龙岗区",3,"行政处罚",894.0,0.003355704697986577,891.0
2017.0,"生态","大鹏新区",1,"行政处罚",53.0,0.018867924528301886,52.0
2017.0,"生态","福田区",8,"行政处罚",170.0,0.047058823529411764,162.0
2017.0,"生态","龙华区",2,"行政处罚",170.0,0.011764705882352941,168.0
2017.0,"规自","宝安区",1,"行政处罚",335.0,0.0029850746268656717,334.0
2017.0,"规自","福田区",1,"行政处罚",285.0,0.0035087719298245615,284.0
2017.0,"规自","龙华区",1,"行政处罚",325.0,0.003076923076923077,324.0
2017.0,"财政","宝安区",1,"行政处罚",0.0,,-1.0
2017.0,"财政","福田区",1,"行政处罚",24.0,0.041666666666666664,23.0
2017.0,"财政","龙岗区",1,"行政处罚",0.0,,-1.0
2018.0,"人社","光明区",2,"行政处罚",1.0,2.0,-1.0
2018.0,"人社","南山区",6,"行政处罚",102.0,0.058823529411764705,96.0
2018.0,"人社","坪山区",2,"行政处罚",1.0,2.0,-1.0
2018.0,"人社","宝安区",3,"行政处罚",125.0,0.024,122.0
2018.0,"人社","盐田区",2,"行政处罚",127.0,0.015748031496062992,125.0
2018.0,"人社","福田区",4,"行政处罚",118.0,0.03389830508474576,114.0
2018.0,"人社","罗湖区",12,"行政处罚",122.0,0.09836065573770492,110.0
2018.0,"人社","龙华区",5,"行政处罚",1.0,5.0,-4.0
2018.0,"人社","龙岗区",5,"行政处罚",118.0,0.0423728813559322,113.0
2018.0,"住建","光明区",13,"行政处罚",489.0,0.026584867075664622,476.0
2018.0,"住建","南山区",345,"行政处罚",308.0,1.12012987012987,-37.0
2018.0,"住建","坪山区",14,"行政处罚",384.0,0.036458333333333336,370.0
2018.0,"住建","大鹏新区",7,"行政处罚",424.0,0.01650943396226415,417.0
2018.0,"住建","宝安区",22,"行政处罚",236.0,0.09322033898305085,214.0
2018.0,"住建","盐田区",6,"行政处罚",212.0,0.02830188679245283,206.0
2018.0,"住建","福田区",6,"行政处罚",100.0,0.06,94.0
2018.0,"住建","罗湖区",14,"行政处罚",401.0,0.034912718204488775,387.0
2018.0,"住建","龙华区",25,"行政处罚",413.0,0.06053268765133172,388.0
2018.0,"住建","龙岗区",4,"行政处罚",400.0,0.01,396.0
2018.0,"卫生","光明区",1,"行政处罚",325.0,0.003076923076923077,324.0
2018.0,"卫生","南山区",1,"行政处罚",312.0,0.003205128205128205,311.0
2018.0,"卫生","坪山区",1,"行政处罚",347.0,0.002881844380403458,346.0
2018.0,"卫生","大鹏新区",1,"行政处罚",233.0,0.004291845493562232,232.0
2018.0,"卫生","宝安区",1,"行政处罚",573.0,0.0017452006980802793,572.0
2018.0,"卫生","盐田区",1,"行政处罚",626.0,0.001597444089456869,625.0
2018.0,"卫生","福田区",1,"行政处罚",319.0,0.003134796238244514,318.0
2018.0,"卫生","罗湖区",1,"行政处罚",652.0,0.0015337423312883436,651.0
2018.0,"卫生","龙华区",1,"行政处罚",293.0,0.0034129692832764505,292.0
2018.0,"卫生","龙岗区",1,"行政处罚",320.0,0.003125,319.0
2018.0,"城管","南山区",1,"行政处罚",573.0,0.0017452006980802793,572.0
2018.0,"城管","坪山区",1,"行政处罚",213.0,0.004694835680751174,212.0
2018.0,"城管","宝安区",1,"行政处罚",441.0,0.0022675736961451248,440.0
2018.0,"城管","福田区",1,"行政处罚",597.0,0.0016750418760469012,596.0
2018.0,"城管","罗湖区",1,"行政处罚",231.0,0.004329004329004329,230.0
2018.0,"城管","龙华区",1,"行政处罚",464.0,0.0021551724137931034,463.0
2018.0,"城管","龙岗区",1,"行政处罚",231.0,0.004329004329004329,230.0
2018.0,"工信","龙岗区",4,"行政处罚",4.0,1.0,0.0
2018.0,"市监","南山区",1,"行政处罚",0.0,,-1.0
2018.0,"应急","光明区",1,"行政处罚",178.0,0.0056179775280898875,177.0
2018.0,"应急","南山区",1,"行政处罚",178.0,0.0056179775280898875,177.0
2018.0,"应急","坪山区",1,"行政处罚",181.0,0.0055248618784530384,180.0
2018.0,"应急","大鹏新区",1,"行政处罚",247.0,0.004048582995951417,246.0
2018.0,"应急","宝安区",1,"行政处罚",382.0,0.002617801047120419,381.0
2018.0,"应急","盐田区",1,"行政处罚",336.0,0.002976190476190476,335.0
2018.0,"应急","福田区",1,"行政处罚",178.0,0.0056179775280898875,177.0
2018.0,"应急","罗湖区",1,"行政处罚",445.0,0.0022471910112359553,444.0
2018.0,"应急","龙华区",1,"行政处罚",431.0,0.002320185614849188,430.0
2018.0,"应急","龙岗区",1,"行政处罚",181.0,0.0055248618784530384,180.0
2018.0,"教育","龙华区",1,"行政处罚",42.0,0.023809523809523808,41.0
2018.0,"文体","光明区",5,"行政处罚",223.0,0.02242152466367713,218.0
2018.0,"文体","南山区",18,"行政处罚",205.0,0.08780487804878048,187.0
2018.0,"文体","坪山区",3,"行政处罚",1.0,3.0,-2.0
2018.0,"文体","宝安区",27,"行政处罚",3.0,9.0,-24.0
2018.0,"文体","福田区",30,"行政处罚",1.0,30.0,-29.0
2018.0,"文体","罗湖区",22,"行政处罚",222.0,0.0990990990990991,200.0
2018.0,"文体","龙华区",12,"行政处罚",1.0,12.0,-11.0
2018.0,"文体","龙岗区",33,"行政处罚",210.0,0.15714285714285714,177.0
2018.0,"民政","南山区",1,"行政处罚",22.0,0.045454545454545456,21.0
2018.0,"民政","坪山区",1,"行政处罚",42.0,0.023809523809523808,41.0
2018.0,"民政","宝安区",2,"行政处罚",40.0,0.05,38.0
2018.0,"水务","光明区",9,"行政处罚",442.0,0.020361990950226245,433.0
2018.0,"水务","南山区",9,"行政处罚",759.0,0.011857707509881422,750.0
2018.0,"水务","坪山区",12,"行政处罚",442.0,0.027149321266968326,430.0
2018.0,"水务","大鹏新区",12,"行政处罚",800.0,0.015,788.0
2018.0,"水务","宝安区",6,"行政处罚",446.0,0.013452914798206279,440.0
2018.0,"水务","盐田区",8,"行政处罚",771.0,0.010376134889753566,763.0
2018.0,"水务","福田区",10,"行政处罚",446.0,0.02242152466367713,436.0
2018.0,"水务","罗湖区",10,"行政处罚",877.0,0.011402508551881414,867.0
2018.0,"水务","龙华区",14,"行政处罚",627.0,0.022328548644338118,613.0
2018.0,"水务","龙岗区",14,"行政处罚",895.0,0.01564245810055866,881.0
2018.0,"生态","大鹏新区",4,"行政处罚",59.0,0.06779661016949153,55.0
2018.0,"生态","福田区",4,"行政处罚",270.0,0.014814814814814815,266.0
2018.0,"生态","龙岗区",1,"行政处罚",270.0,0.003703703703703704,269.0
2018.0,"统计","光明区",1,"行政处罚",15.0,0.06666666666666667,14.0
2018.0,"统计","南山区",1,"行政处罚",15.0,0.06666666666666667,14.0
2018.0,"统计","坪山区",1,"行政处罚",15.0,0.06666666666666667,14.0
2018.0,"统计","大鹏新区",1,"行政处罚",5.0,0.2,4.0
2018.0,"统计","福田区",1,"行政处罚",0.0,,-1.0
2018.0,"统计","龙华区",1,"行政处罚",0.0,,-1.0
2018.0,"规自","光明区",1,"行政处罚",277.0,0.0036101083032490976,276.0
2018.0,"规自","南山区",5,"行政处罚",355.0,0.014084507042253521,350.0
2018.0,"规自","坪山区",3,"行政处罚",324.0,0.009259259259259259,321.0
2018.0,"规自","大鹏新区",1,"行政处罚",333.0,0.003003003003003003,332.0
2018.0,"规自","宝安区",2,"行政处罚",338.0,0.005917159763313609,336.0
2018.0,"规自","盐田区",2,"行政处罚",315.0,0.006349206349206349,313.0
2018.0,"规自","福田区",3,"行政处罚",288.0,0.010416666666666666,285.0
2018.0,"规自","罗湖区",3,"行政处罚",341.0,0.008797653958944282,338.0
2018.0,"规自","龙华区",4,"行政处罚",328.0,0.012195121951219513,324.0
2018.0,"规自","龙岗区",65,"行政处罚",320.0,0.203125,255.0
2018.0,"财政","坪山区",1,"行政处罚",26.0,0.038461538461538464,25.0
2018.0,"财政","宝安区",1,"行政处罚",0.0,,-1.0
2018.0,"财政","福田区",1,"行政处罚",26.0,0.038461538461538464,25.0
2018.0,"财政","罗湖区",4,"行政处罚",22.0,0.18181818181818182,18.0
2018.0,"财政","龙华区",2,"行政处罚",4.0,0.5,2.0
2018.0,"财政","龙岗区",1,"行政处罚",0.0,,-1.0
2019.0,"人社","光明区",2,"行政处罚",7.0,0.2857142857142857,5.0
2019.0,"人社","南山区",3,"行政处罚",105.0,0.02857142857142857,102.0
2019.0,"人社","坪山区",2,"行政处罚",122.0,0.01639344262295082,120.0
2019.0,"人社","宝安区",4,"行政处罚",128.0,0.03125,124.0
2019.0,"人社","盐田区",5,"行政处罚",130.0,0.038461538461538464,125.0
2019.0,"人社","福田区",5,"行政处罚",123.0,0.04065040650406504,118.0
2019.0,"人社","罗湖区",9,"行政处罚",129.0,0.06976744186046512,120.0
2019.0,"人社","龙华区",1,"行政处罚",120.0,0.008333333333333333,119.0
2019.0,"人社","龙岗区",1,"行政处罚",123.0,0.008130081300813009,122.0
2019.0,"住建","光明区",4,"行政处罚",506.0,0.007905138339920948,502.0
2019.0,"住建","南山区",8,"行政处罚",345.0,0.02318840579710145,337.0
2019.0,"住建","坪山区",16,"行政处罚",386.0,0.04145077720207254,370.0
2019.0,"住建","大鹏新区",2,"行政处罚",426.0,0.004694835680751174,424.0
2019.0,"住建","宝安区",5,"行政处罚",255.0,0.0196078431372549,250.0
2019.0,"住建","盐田区",2,"行政处罚",212.0,0.009433962264150943,210.0
2019.0,"住建","福田区",1,"行政处罚",125.0,0.008,124.0
2019.0,"住建","罗湖区",8,"行政处罚",428.0,0.018691588785046728,420.0
2019.0,"住建","龙华区",12,"行政处罚",413.0,0.029055690072639227,401.0
2019.0,"卫生","光明区",1,"行政处罚",325.0,0.003076923076923077,324.0
2019.0,"卫生","南山区",1,"行政处罚",312.0,0.003205128205128205,311.0
2019.0,"卫生","坪山区",1,"行政处罚",348.0,0.0028735632183908046,347.0
2019.0,"卫生","大鹏新区",1,"行政处罚",233.0,0.004291845493562232,232.0
2019.0,"卫生","宝安区",1,"行政处罚",575.0,0.0017391304347826088,574.0
2019.0,"卫生","盐田区",1,"行政处罚",627.0,0.001594896331738437,626.0
2019.0,"卫生","福田区",1,"行政处罚",319.0,0.003134796238244514,318.0
2019.0,"卫生","罗湖区",1,"行政处罚",652.0,0.0015337423312883436,651.0
2019.0,"卫生","龙华区",1,"行政处罚",605.0,0.001652892561983471,604.0
2019.0,"卫生","龙岗区",1,"行政处罚",320.0,0.003125,319.0
2019.0,"城管","南山区",1,"行政处罚",573.0,0.0017452006980802793,572.0
2019.0,"城管","坪山区",1,"行政处罚",439.0,0.002277904328018223,438.0
2019.0,"城管","宝安区",1,"行政处罚",441.0,0.0022675736961451248,440.0
