"YEAR","PUNISH_HANGYE","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO_BALANCE"
2016.0,"卫生","光明区",1.0,"行政处罚",251.0,0.00398406374501992
2016.0,"卫生","南山区",1.0,"行政处罚",228.0,0.0043859649122807015
2016.0,"卫生","坪山区",1.0,"行政处罚",272.0,0.003676470588235294
2016.0,"卫生","大鹏新区",1.0,"行政处罚",162.0,0.006172839506172839
2016.0,"卫生","宝安区",1.0,"行政处罚",441.0,0.0022675736961451248
2016.0,"卫生","盐田区",1.0,"行政处罚",498.0,0.002008032128514056
2016.0,"卫生","福田区",1.0,"行政处罚",235.0,0.00425531914893617
2016.0,"卫生","罗湖区",1.0,"行政处罚",519.0,0.0019267822736030828
2016.0,"卫生","龙华区",1.0,"行政处罚",222.0,0.0045045045045045045
2016.0,"卫生","龙岗区",1.0,"行政处罚",236.0,0.00423728813559322
2016.0,"市监","南山区",1.0,"行政处罚",0.0,
2016.0,"应急","龙岗区",0.0,"行政处罚",166.0,0.0
2016.0,"规自","龙华区",0.0,"行政处罚",310.0,0.0
2017.0,"人社","光明区",0.0,"行政处罚",1.0,0.0
2017.0,"人社","南山区",1.0,"行政处罚",102.0,0.00980392156862745
2017.0,"人社","福田区",0.0,"行政处罚",117.0,0.0
2017.0,"人社","罗湖区",1.0,"行政处罚",122.0,0.00819672131147541
2017.0,"住建","光明区",0.0,"行政处罚",474.0,0.0
2017.0,"住建","南山区",0.0,"行政处罚",281.0,0.0
2017.0,"住建","大鹏新区",0.0,"行政处罚",410.0,0.0
2017.0,"住建","宝安区",3.0,"行政处罚",227.0,0.013215859030837005
2017.0,"住建","罗湖区",0.0,"行政处罚",393.0,0.0
2017.0,"住建","龙岗区",2.0,"行政处罚",362.0,0.0055248618784530384
2017.0,"卫生","光明区",1.0,"行政处罚",305.0,0.003278688524590164
2017.0,"卫生","南山区",1.0,"行政处罚",292.0,0.003424657534246575
2017.0,"卫生","坪山区",1.0,"行政处罚",326.0,0.003067484662576687
2017.0,"卫生","大鹏新区",1.0,"行政处罚",202.0,0.0049504950495049506
2017.0,"卫生","宝安区",1.0,"行政处罚",545.0,0.001834862385321101
2017.0,"卫生","盐田区",1.0,"行政处罚",590.0,0.001694915254237288
2017.0,"卫生","福田区",1.0,"行政处罚",299.0,0.0033444816053511705
2017.0,"卫生","罗湖区",1.0,"行政处罚",613.0,0.0016313213703099511
2017.0,"卫生","龙华区",1.0,"行政处罚",273.0,0.003663003663003663
2017.0,"卫生","龙岗区",1.0,"行政处罚",300.0,0.0033333333333333335
2017.0,"城管","坪山区",0.0,"行政处罚",115.0,0.0
2017.0,"城管","龙岗区",0.0,"行政处罚",133.0,0.0
2017.0,"市监","南山区",1.0,"行政处罚",0.0,
2017.0,"应急","光明区",1.0,"行政处罚",166.0,0.006024096385542169
2017.0,"应急","南山区",1.0,"行政处罚",166.0,0.006024096385542169
2017.0,"应急","坪山区",1.0,"行政处罚",169.0,0.005917159763313609
2017.0,"应急","大鹏新区",1.0,"行政处罚",225.0,0.0044444444444444444
2017.0,"应急","宝安区",1.0,"行政处罚",291.0,0.003436426116838488
2017.0,"应急","盐田区",1.0,"行政处罚",299.0,0.0033444816053511705
2017.0,"应急","福田区",1.0,"行政处罚",166.0,0.006024096385542169
2017.0,"应急","罗湖区",1.0,"行政处罚",405.0,0.0024691358024691358
2017.0,"应急","龙华区",1.0,"行政处罚",388.0,0.002577319587628866
2017.0,"应急","龙岗区",1.0,"行政处罚",169.0,0.005917159763313609
2017.0,"教育","龙华区",0.0,"行政处罚",42.0,0.0
2017.0,"文体","龙华区",0.0,"行政处罚",1.0,0.0
2017.0,"民政","龙岗区",0.0,"行政处罚",40.0,0.0
2017.0,"水务","南山区",1.0,"行政处罚",744.0,0.0013440860215053765
2017.0,"水务","坪山区",1.0,"行政处罚",442.0,0.0022624434389140274
2017.0,"水务","罗湖区",0.0,"行政处罚",870.0,0.0
2017.0,"水务","龙华区",2.0,"行政处罚",598.0,0.0033444816053511705
2017.0,"水务","龙岗区",0.0,"行政处罚",894.0,0.0
2017.0,"生态","大鹏新区",0.0,"行政处罚",53.0,0.0
2017.0,"生态","福田区",2.0,"行政处罚",170.0,0.011764705882352941
2017.0,"生态","龙华区",0.0,"行政处罚",170.0,0.0
2017.0,"规自","宝安区",0.0,"行政处罚",335.0,0.0
2017.0,"规自","福田区",0.0,"行政处罚",285.0,0.0
2017.0,"规自","龙华区",0.0,"行政处罚",325.0,0.0
2017.0,"财政","宝安区",0.0,"行政处罚",0.0,
2017.0,"财政","福田区",0.0,"行政处罚",24.0,0.0
2017.0,"财政","龙岗区",1.0,"行政处罚",0.0,
2018.0,"人社","光明区",1.0,"行政处罚",1.0,1.0
2018.0,"人社","南山区",3.0,"行政处罚",102.0,0.029411764705882353
2018.0,"人社","坪山区",1.0,"行政处罚",1.0,1.0
2018.0,"人社","宝安区",0.0,"行政处罚",125.0,0.0
2018.0,"人社","盐田区",1.0,"行政处罚",127.0,0.007874015748031496
2018.0,"人社","福田区",3.0,"行政处罚",118.0,0.025423728813559324
2018.0,"人社","罗湖区",6.0,"行政处罚",122.0,0.04918032786885246
2018.0,"人社","龙华区",1.0,"行政处罚",1.0,1.0
2018.0,"人社","龙岗区",2.0,"行政处罚",118.0,0.01694915254237288
2018.0,"住建","光明区",5.0,"行政处罚",489.0,0.010224948875255624
2018.0,"住建","南山区",11.0,"行政处罚",308.0,0.03571428571428571
2018.0,"住建","坪山区",3.0,"行政处罚",384.0,0.0078125
2018.0,"住建","大鹏新区",2.0,"行政处罚",424.0,0.0047169811320754715
2018.0,"住建","宝安区",9.0,"行政处罚",236.0,0.038135593220338986
2018.0,"住建","盐田区",2.0,"行政处罚",212.0,0.009433962264150943
2018.0,"住建","福田区",1.0,"行政处罚",100.0,0.01
2018.0,"住建","罗湖区",3.0,"行政处罚",401.0,0.007481296758104738
2018.0,"住建","龙华区",12.0,"行政处罚",413.0,0.029055690072639227
2018.0,"住建","龙岗区",1.0,"行政处罚",400.0,0.0025
2018.0,"卫生","光明区",1.0,"行政处罚",325.0,0.003076923076923077
2018.0,"卫生","南山区",1.0,"行政处罚",312.0,0.003205128205128205
2018.0,"卫生","坪山区",1.0,"行政处罚",347.0,0.002881844380403458
2018.0,"卫生","大鹏新区",1.0,"行政处罚",233.0,0.004291845493562232
2018.0,"卫生","宝安区",1.0,"行政处罚",573.0,0.0017452006980802793
2018.0,"卫生","盐田区",1.0,"行政处罚",626.0,0.001597444089456869
2018.0,"卫生","福田区",1.0,"行政处罚",319.0,0.003134796238244514
2018.0,"卫生","罗湖区",1.0,"行政处罚",652.0,0.0015337423312883436
2018.0,"卫生","龙华区",1.0,"行政处罚",293.0,0.0034129692832764505
2018.0,"卫生","龙岗区",1.0,"行政处罚",320.0,0.003125
2018.0,"城管","南山区",1.0,"行政处罚",573.0,0.0017452006980802793
2018.0,"城管","坪山区",1.0,"行政处罚",213.0,0.004694835680751174
2018.0,"城管","宝安区",1.0,"行政处罚",441.0,0.0022675736961451248
2018.0,"城管","福田区",1.0,"行政处罚",597.0,0.0016750418760469012
2018.0,"城管","罗湖区",1.0,"行政处罚",231.0,0.004329004329004329
2018.0,"城管","龙华区",1.0,"行政处罚",464.0,0.0021551724137931034
2018.0,"城管","龙岗区",1.0,"行政处罚",231.0,0.004329004329004329
2018.0,"工信","龙岗区",2.0,"行政处罚",4.0,0.5
2018.0,"市监","南山区",1.0,"行政处罚",0.0,
2018.0,"应急","光明区",1.0,"行政处罚",178.0,0.0056179775280898875
2018.0,"应急","南山区",1.0,"行政处罚",178.0,0.0056179775280898875
2018.0,"应急","坪山区",1.0,"行政处罚",181.0,0.0055248618784530384
2018.0,"应急","大鹏新区",1.0,"行政处罚",247.0,0.004048582995951417
2018.0,"应急","宝安区",1.0,"行政处罚",382.0,0.002617801047120419
2018.0,"应急","盐田区",1.0,"行政处罚",336.0,0.002976190476190476
2018.0,"应急","福田区",1.0,"行政处罚",178.0,0.0056179775280898875
2018.0,"应急","罗湖区",1.0,"行政处罚",445.0,0.0022471910112359553
2018.0,"应急","龙华区",1.0,"行政处罚",431.0,0.002320185614849188
2018.0,"应急","龙岗区",1.0,"行政处罚",181.0,0.0055248618784530384
2018.0,"教育","龙华区",0.0,"行政处罚",42.0,0.0
2018.0,"文体","光明区",2.0,"行政处罚",223.0,0.008968609865470852
2018.0,"文体","南山区",5.0,"行政处罚",205.0,0.024390243902439025
2018.0,"文体","坪山区",1.0,"行政处罚",1.0,1.0
2018.0,"文体","宝安区",12.0,"行政处罚",3.0,4.0
2018.0,"文体","福田区",8.0,"行政处罚",1.0,8.0
2018.0,"文体","罗湖区",10.0,"行政处罚",222.0,0.04504504504504504
2018.0,"文体","龙华区",3.0,"行政处罚",1.0,3.0
2018.0,"文体","龙岗区",15.0,"行政处罚",210.0,0.07142857142857142
2018.0,"民政","南山区",1.0,"行政处罚",22.0,0.045454545454545456
2018.0,"民政","坪山区",0.0,"行政处罚",42.0,0.0
2018.0,"民政","宝安区",2.0,"行政处罚",40.0,0.05
2018.0,"水务","光明区",6.0,"行政处罚",442.0,0.013574660633484163
2018.0,"水务","南山区",3.0,"行政处罚",759.0,0.003952569169960474
2018.0,"水务","坪山区",3.0,"行政处罚",442.0,0.006787330316742082
2018.0,"水务","大鹏新区",3.0,"行政处罚",800.0,0.00375
2018.0,"水务","宝安区",3.0,"行政处罚",446.0,0.006726457399103139
2018.0,"水务","盐田区",3.0,"行政处罚",771.0,0.0038910505836575876
2018.0,"水务","福田区",4.0,"行政处罚",446.0,0.008968609865470852
2018.0,"水务","罗湖区",3.0,"行政处罚",877.0,0.0034207525655644243
2018.0,"水务","龙华区",3.0,"行政处罚",627.0,0.004784688995215311
2018.0,"水务","龙岗区",2.0,"行政处罚",895.0,0.0022346368715083797
2018.0,"生态","大鹏新区",0.0,"行政处罚",59.0,0.0
2018.0,"生态","福田区",1.0,"行政处罚",270.0,0.003703703703703704
2018.0,"生态","龙岗区",0.0,"行政处罚",270.0,0.0
2018.0,"统计","光明区",0.0,"行政处罚",15.0,0.0
2018.0,"统计","南山区",1.0,"行政处罚",15.0,0.06666666666666667
2018.0,"统计","坪山区",1.0,"行政处罚",15.0,0.06666666666666667
2018.0,"统计","大鹏新区",0.0,"行政处罚",5.0,0.0
2018.0,"统计","福田区",0.0,"行政处罚",0.0,
2018.0,"统计","龙华区",0.0,"行政处罚",0.0,
2018.0,"规自","光明区",0.0,"行政处罚",277.0,0.0
2018.0,"规自","南山区",3.0,"行政处罚",355.0,0.008450704225352112
