"PUNISH_HANGYE","PUNISH_QUYU","YEAR","SUM(*)"
,,2016.0,4
,,2017.0,1
,,2019.0,1
,"大鹏新区",2018.0,1
"人社",,2018.0,5
"人社",,2019.0,3
"人社","南山区",2017.0,6
"人社","南山区",2018.0,73
"人社","南山区",2019.0,23
"人社","宝安区",2018.0,1
"人社","宝安区",2019.0,6
"人社","盐田区",2018.0,2
"人社","盐田区",2019.0,3
"人社","福田区",2017.0,1
"人社","福田区",2018.0,12
"人社","福田区",2019.0,13
"人社","罗湖区",2017.0,3
"人社","罗湖区",2018.0,21
"人社","罗湖区",2019.0,23
"人社","龙华区",2018.0,4
"人社","龙岗区",2018.0,3
"人社","龙岗区",2019.0,1
"住建",,2017.0,3
"住建",,2018.0,7
"住建",,2019.0,3
"住建","坪山区",2019.0,1
"住建","大鹏新区",2018.0,2
"住建","宝安区",2017.0,1
"住建","宝安区",2018.0,1
"住建","罗湖区",2018.0,6
"住建","龙华区",2018.0,3
"住建","龙华区",2019.0,7
"卫生",,2016.0,11
"卫生",,2017.0,41
"卫生",,2018.0,94
"卫生",,2019.0,70
"卫生","光明区",2016.0,24
"卫生","光明区",2017.0,9
"卫生","光明区",2018.0,13
"卫生","光明区",2019.0,10
"卫生","南山区",2016.0,10
"卫生","南山区",2017.0,18
"卫生","南山区",2018.0,18
"卫生","南山区",2019.0,28
"卫生","坪山区",2016.0,2
"卫生","坪山区",2017.0,1
"卫生","坪山区",2018.0,5
"卫生","坪山区",2019.0,1
"卫生","大鹏新区",2016.0,2
"卫生","大鹏新区",2018.0,2
"卫生","大鹏新区",2019.0,3
"卫生","宝安区",2016.0,43
"卫生","宝安区",2017.0,31
"卫生","宝安区",2018.0,39
"卫生","宝安区",2019.0,55
"卫生","盐田区",2016.0,1
"卫生","盐田区",2017.0,1
"卫生","盐田区",2019.0,1
"卫生","福田区",2016.0,23
"卫生","福田区",2017.0,37
"卫生","福田区",2018.0,22
"卫生","福田区",2019.0,24
"卫生","罗湖区",2016.0,55
"卫生","罗湖区",2017.0,48
"卫生","罗湖区",2018.0,63
"卫生","罗湖区",2019.0,52
"卫生","龙华区",2016.0,6
"卫生","龙华区",2017.0,17
"卫生","龙华区",2018.0,14
"卫生","龙华区",2019.0,38
"卫生","龙岗区",2016.0,29
"卫生","龙岗区",2017.0,51
"卫生","龙岗区",2018.0,65
"卫生","龙岗区",2019.0,51
"司法",,2017.0,1
"司法",,2018.0,4
"司法",,2019.0,2
"工信","龙岗区",2018.0,4
"市监",,2016.0,70
"市监",,2017.0,448
"市监",,2018.0,473
"市监",,2019.0,181
"市监","光明区",2016.0,84
"市监","光明区",2017.0,271
"市监","光明区",2018.0,159
"市监","光明区",2019.0,36
"市监","南山区",2016.0,191
"市监","南山区",2017.0,1237
"市监","南山区",2018.0,1209
"市监","南山区",2019.0,317
"市监","坪山区",2016.0,40
"市监","坪山区",2017.0,149
"市监","坪山区",2018.0,60
"市监","坪山区",2019.0,21
"市监","大鹏新区",2016.0,12
"市监","大鹏新区",2017.0,58
"市监","大鹏新区",2018.0,22
"市监","大鹏新区",2019.0,7
"市监","宝安区",2016.0,190
"市监","宝安区",2017.0,2107
"市监","宝安区",2018.0,1120
"市监","宝安区",2019.0,269
"市监","盐田区",2016.0,7
"市监","盐田区",2017.0,42
"市监","盐田区",2018.0,18
"市监","盐田区",2019.0,11
"市监","福田区",2016.0,651
"市监","福田区",2017.0,617
"市监","福田区",2018.0,574
"市监","福田区",2019.0,146
"市监","罗湖区",2016.0,172
"市监","罗湖区",2017.0,1628
"市监","罗湖区",2018.0,1075
"市监","罗湖区",2019.0,145
"市监","龙华区",2016.0,180
"市监","龙华区",2017.0,1135
"市监","龙华区",2018.0,594
"市监","龙华区",2019.0,140
"市监","龙岗区",2016.0,445
"市监","龙岗区",2017.0,1816
"市监","龙岗区",2018.0,1037
"市监","龙岗区",2019.0,172
"应急","光明区",2017.0,8
"应急","光明区",2018.0,8
"应急","光明区",2019.0,1
"应急","南山区",2017.0,1
"应急","南山区",2018.0,2
"应急","南山区",2019.0,1
"应急","坪山区",2017.0,3
"应急","坪山区",2018.0,4
"应急","坪山区",2019.0,4
"应急","宝安区",2017.0,6
"应急","宝安区",2018.0,16
"应急","福田区",2017.0,1
"应急","龙华区",2017.0,5
"应急","龙华区",2018.0,5
"应急","龙华区",2019.0,1
"应急","龙岗区",2017.0,2
"应急","龙岗区",2018.0,7
"应急","龙岗区",2019.0,2
"教育",,2018.0,1
"文体","光明区",2018.0,1
"文体","南山区",2018.0,6
"文体","南山区",2019.0,2
"文体","罗湖区",2018.0,1
"文体","罗湖区",2019.0,3
"文体","龙华区",2018.0,3
"文体","龙岗区",2018.0,4
"民政",,2017.0,3
"水务","大鹏新区",2018.0,1
"水务","福田区",2018.0,5
"水务","福田区",2019.0,5
"水务","龙华区",2017.0,3
"水务","龙华区",2018.0,5
"水务","龙岗区",2018.0,1
"水务","龙岗区",2019.0,1
"生态",,2016.0,184
"生态",,2017.0,208
"生态",,2018.0,129
"生态",,2019.0,9
"生态","福田区",2017.0,19
"生态","福田区",2018.0,31
"生态","福田区",2019.0,1
"生态","龙华区",2017.0,1
"生态","龙岗区",2019.0,2
"规自","南山区",2018.0,2
"规自","南山区",2019.0,2
"规自","坪山区",2018.0,1
"规自","盐田区",2018.0,1
"规自","盐田区",2019.0,2
"规自","福田区",2017.0,1
"规自","福田区",2018.0,14
"规自","福田区",2019.0,15
"规自","龙华区",2018.0,1
"规自","龙华区",2019.0,1
"规自","龙岗区",2018.0,2
"财政",,2017.0,5
"财政",,2018.0,15
"财政",,2019.0,1
"财政","福田区",2017.0,1
"财政","福田区",2018.0,4
"财政","罗湖区",2018.0,8
"财政","龙华区",2018.0,2
"财政","龙岗区",2017.0,15
"财政","龙岗区",2018.0,9
"财政","龙岗区",2019.0,1
