"PUNISH_HANGYE","PUNISH_QUYU","YEAR","PUNISH_TYPE","SUM(*)"
,"南山区",2018.0,1.0,
,"南山区",2019.0,2.0,17150.0
,"坪山区",2019.0,2.0,150.0
,"大鹏新区",2018.0,1.0,297300.0
,"大鹏新区",2019.0,2.0,50.0
,"市级",2016.0,1.0,123700.0
,"市级",2017.0,1.0,112500.0
,"市级",2018.0,1.0,95100.0
,"市级",2019.0,1.0,230650.0
,"市级",2019.0,2.0,
,"福田区",2018.0,1.0,50000.0
,"福田区",2019.0,2.0,47800.0
,"罗湖区",2019.0,2.0,5350.0
,"龙华区",2019.0,2.0,1450.0
,"龙岗区",2019.0,2.0,75459.0
"交通","市级",2016.0,1.0,1000.0
"交通","市级",2018.0,1.0,299100.0
"交通","市级",2019.0,1.0,1948697.0
"人社","光明区",2017.0,1.0,44000.0
"人社","光明区",2018.0,1.0,401600.0
"人社","光明区",2019.0,1.0,191600.0
"人社","南山区",2017.0,1.0,212300.0
"人社","南山区",2018.0,1.0,2651700.0
"人社","南山区",2019.0,1.0,1117200.0
"人社","坪山区",2018.0,1.0,108400.0
"人社","坪山区",2019.0,1.0,17000.0
"人社","宝安区",2018.0,1.0,102500.0
"人社","宝安区",2019.0,1.0,161800.0
"人社","市级",2018.0,1.0,35000.0
"人社","市级",2019.0,1.0,18000.0
"人社","盐田区",2018.0,1.0,47900.0
"人社","盐田区",2019.0,1.0,44500.0
"人社","福田区",2017.0,1.0,30000.0
"人社","福田区",2018.0,1.0,508200.0
"人社","福田区",2019.0,1.0,210000.0
"人社","罗湖区",2017.0,1.0,105500.0
"人社","罗湖区",2018.0,1.0,1124500.0
"人社","罗湖区",2019.0,1.0,497600.0
"人社","龙华区",2018.0,1.0,85700.0
"人社","龙华区",2019.0,1.0,
"人社","龙岗区",2018.0,1.0,133500.0
"人社","龙岗区",2019.0,1.0,900.0
"住建","光明区",2017.0,1.0,5000.0
"住建","光明区",2018.0,1.0,6800421.12
"住建","光明区",2019.0,1.0,132805.6
"住建","南山区",2017.0,1.0,2581430.2199999997
"住建","南山区",2018.0,1.0,5833467.990000001
"住建","南山区",2019.0,1.0,1565721.6400000001
