"YEAR","PUNISH_HANGYE","PUNISH_QUYU","PUNISH_TYPE","SUM(*)"
2016.0,"卫生","光明区",1.0,103
2016.0,"卫生","光明区",2.0,52
2016.0,"卫生","南山区",1.0,67
2016.0,"卫生","南山区",2.0,95
2016.0,"卫生","坪山区",1.0,68
2016.0,"卫生","坪山区",2.0,50
2016.0,"卫生","大鹏新区",1.0,16
2016.0,"卫生","大鹏新区",2.0,9
2016.0,"卫生","宝安区",1.0,338
2016.0,"卫生","宝安区",2.0,292
2016.0,"卫生","盐田区",1.0,16
2016.0,"卫生","盐田区",2.0,6
2016.0,"卫生","福田区",1.0,95
2016.0,"卫生","福田区",2.0,50
2016.0,"卫生","罗湖区",1.0,101
2016.0,"卫生","罗湖区",2.0,35
2016.0,"卫生","龙华区",1.0,284
2016.0,"卫生","龙华区",2.0,180
2016.0,"卫生","龙岗区",1.0,209
2016.0,"卫生","龙岗区",2.0,134
2016.0,"市监","光明区",1.0,119
2016.0,"市监","南山区",1.0,259
2016.0,"市监","坪山区",1.0,78
2016.0,"市监","大鹏新区",1.0,30
2016.0,"市监","宝安区",1.0,662
2016.0,"市监","盐田区",1.0,12
2016.0,"市监","福田区",1.0,867
2016.0,"市监","罗湖区",1.0,290
2016.0,"市监","龙华区",1.0,222
2016.0,"市监","龙岗区",1.0,646
2016.0,"应急","龙岗区",1.0,1
2016.0,"规自","龙华区",1.0,1
2017.0,"人社","光明区",1.0,1
2017.0,"人社","南山区",1.0,9
2017.0,"人社","福田区",1.0,1
2017.0,"人社","罗湖区",1.0,14
2017.0,"住建","光明区",1.0,1
2017.0,"住建","南山区",1.0,3
2017.0,"住建","大鹏新区",1.0,2
2017.0,"住建","宝安区",1.0,25
2017.0,"住建","罗湖区",1.0,2
2017.0,"住建","龙岗区",1.0,26
2017.0,"卫生","光明区",1.0,133
2017.0,"卫生","光明区",2.0,26
2017.0,"卫生","南山区",1.0,101
2017.0,"卫生","南山区",2.0,59
2017.0,"卫生","坪山区",1.0,87
2017.0,"卫生","坪山区",2.0,38
2017.0,"卫生","大鹏新区",1.0,18
2017.0,"卫生","大鹏新区",2.0,18
2017.0,"卫生","宝安区",1.0,410
2017.0,"卫生","宝安区",2.0,234
2017.0,"卫生","盐田区",1.0,26
2017.0,"卫生","盐田区",2.0,21
2017.0,"卫生","福田区",1.0,103
2017.0,"卫生","福田区",2.0,42
2017.0,"卫生","罗湖区",1.0,125
2017.0,"卫生","罗湖区",2.0,8
2017.0,"卫生","龙华区",1.0,369
2017.0,"卫生","龙华区",2.0,175
2017.0,"卫生","龙岗区",1.0,221
2017.0,"卫生","龙岗区",2.0,30
2017.0,"城管","坪山区",1.0,1
2017.0,"城管","龙岗区",1.0,1
2017.0,"市监","光明区",1.0,453
2017.0,"市监","南山区",1.0,2071
2017.0,"市监","坪山区",1.0,441
2017.0,"市监","大鹏新区",1.0,183
2017.0,"市监","宝安区",1.0,5494
2017.0,"市监","盐田区",1.0,127
2017.0,"市监","福田区",1.0,1285
2017.0,"市监","罗湖区",1.0,2264
2017.0,"市监","龙华区",1.0,1577
2017.0,"市监","龙岗区",1.0,3439
2017.0,"应急","光明区",1.0,329
2017.0,"应急","南山区",1.0,128
2017.0,"应急","坪山区",1.0,81
2017.0,"应急","大鹏新区",1.0,38
2017.0,"应急","宝安区",1.0,271
2017.0,"应急","盐田区",1.0,21
2017.0,"应急","福田区",1.0,211
2017.0,"应急","罗湖区",1.0,104
2017.0,"应急","龙华区",1.0,406
2017.0,"应急","龙岗区",1.0,294
2017.0,"教育","龙华区",1.0,1
2017.0,"文体","龙华区",1.0,1
2017.0,"民政","龙岗区",1.0,1
2017.0,"水务","南山区",1.0,8
2017.0,"水务","坪山区",1.0,7
2017.0,"水务","罗湖区",1.0,6
2017.0,"水务","龙华区",1.0,17
2017.0,"水务","龙岗区",1.0,4
2017.0,"生态","大鹏新区",1.0,1
2017.0,"生态","福田区",1.0,22
2017.0,"生态","龙华区",1.0,2
2017.0,"规自","宝安区",1.0,1
2017.0,"规自","福田区",1.0,1
2017.0,"规自","龙华区",1.0,1
2017.0,"财政","宝安区",1.0,2
2017.0,"财政","福田区",1.0,1
2017.0,"财政","龙岗区",1.0,15
2018.0,"人社","光明区",1.0,10
2018.0,"人社","南山区",1.0,122
2018.0,"人社","坪山区",1.0,4
2018.0,"人社","宝安区",1.0,3
2018.0,"人社","盐田区",1.0,6
