"YEAR","PUNISH_HANGYE","PUNISH_QUYU","PUNISH_TYPE","SUM(*)"
2017.0,"人社","南山区",1.0,2.0
2017.0,"人社","福田区",1.0,1.0
2017.0,"人社","罗湖区",1.0,2.0
2017.0,"住建","宝安区",1.0,1.0
2017.0,"司法","市级",1.0,1.0
2017.0,"民政","市级",1.0,2.0
2017.0,"水务","龙华区",1.0,3.0
2017.0,"生态","福田区",1.0,6.0
2017.0,"生态","龙华区",1.0,1.0
2017.0,"规自","福田区",1.0,1.0
2017.0,"财政","市级",1.0,1.0
2017.0,"财政","福田区",1.0,1.0
2017.0,"财政","龙岗区",1.0,1.0
2018.0,"人社","南山区",1.0,5.0
2018.0,"人社","宝安区",1.0,1.0
2018.0,"人社","市级",1.0,2.0
2018.0,"人社","盐田区",1.0,1.0
2018.0,"人社","福田区",1.0,2.0
2018.0,"人社","罗湖区",1.0,4.0
2018.0,"人社","龙华区",1.0,2.0
2018.0,"人社","龙岗区",1.0,1.0
2018.0,"住建","大鹏新区",1.0,1.0
2018.0,"住建","宝安区",1.0,1.0
2018.0,"住建","市级",1.0,1.0
2018.0,"住建","罗湖区",1.0,4.0
2018.0,"住建","龙华区",1.0,1.0
2018.0,"司法","市级",1.0,1.0
2018.0,"工信","龙岗区",1.0,2.0
2018.0,"文体","南山区",1.0,4.0
2018.0,"文体","龙华区",1.0,2.0
2018.0,"文体","龙岗区",1.0,1.0
2018.0,"水务","大鹏新区",1.0,1.0
2018.0,"水务","龙华区",1.0,3.0
2018.0,"水务","龙岗区",1.0,1.0
2018.0,"生态","福田区",1.0,3.0
2018.0,"规自","南山区",1.0,2.0
2018.0,"规自","盐田区",1.0,1.0
2018.0,"规自","福田区",1.0,2.0
2018.0,"规自","龙岗区",1.0,2.0
2018.0,"财政","市级",1.0,1.0
2018.0,"财政","福田区",1.0,1.0
2018.0,"财政","罗湖区",1.0,2.0
2018.0,"财政","龙华区",1.0,1.0
2018.0,"财政","龙岗区",1.0,1.0
2019.0,"人社","南山区",1.0,3.0
2019.0,"人社","宝安区",1.0,1.0
2019.0,"人社","市级",1.0,2.0
2019.0,"人社","盐田区",1.0,3.0
2019.0,"人社","福田区",1.0,4.0
2019.0,"人社","罗湖区",1.0,5.0
2019.0,"人社","龙岗区",1.0,1.0
2019.0,"住建","坪山区",1.0,1.0
2019.0,"住建","市级",1.0,2.0
2019.0,"住建","龙华区",1.0,2.0
2019.0,"司法","市级",1.0,1.0
2019.0,"文体","南山区",1.0,2.0
2019.0,"文体","罗湖区",1.0,1.0
2019.0,"水务","龙岗区",1.0,1.0
2019.0,"生态","福田区",1.0,1.0
2019.0,"生态","龙岗区",1.0,1.0
2019.0,"规自","南山区",1.0,1.0
2019.0,"规自","盐田区",1.0,1.0
2019.0,"规自","福田区",1.0,1.0
2019.0,"规自","龙华区",1.0,1.0
2019.0,"财政","市级",1.0,1.0
2019.0,"财政","龙岗区",1.0,1.0
