"PUNISH_HANGYE","PUNISH_QUYU","YEAR","SUM(*)"
"住建","罗湖区",2018.0,1
"市监",,2016.0,59
"市监",,2017.0,85
"市监",,2018.0,58
"市监",,2019.0,14
"市监","光明区",2017.0,20
"市监","光明区",2018.0,13
"市监","光明区",2019.0,3
"市监","南山区",2016.0,1
"市监","南山区",2017.0,14
"市监","南山区",2018.0,30
"市监","南山区",2019.0,5
"市监","坪山区",2016.0,1
"市监","坪山区",2017.0,2
"市监","坪山区",2018.0,5
"市监","坪山区",2019.0,5
"市监","大鹏新区",2018.0,1
"市监","宝安区",2016.0,7
"市监","宝安区",2017.0,29
"市监","宝安区",2018.0,34
"市监","宝安区",2019.0,4
"市监","盐田区",2017.0,2
"市监","盐田区",2018.0,6
"市监","盐田区",2019.0,4
"市监","福田区",2016.0,49
"市监","福田区",2017.0,27
"市监","福田区",2018.0,11
"市监","福田区",2019.0,10
"市监","罗湖区",2016.0,12
"市监","罗湖区",2017.0,54
"市监","罗湖区",2018.0,37
"市监","罗湖区",2019.0,23
"市监","龙华区",2016.0,2
"市监","龙华区",2017.0,8
"市监","龙华区",2018.0,16
"市监","龙华区",2019.0,5
"市监","龙岗区",2016.0,21
"市监","龙岗区",2017.0,63
"市监","龙岗区",2018.0,33
"市监","龙岗区",2019.0,5
"应急","光明区",2018.0,2
"应急","光明区",2019.0,2
"应急","福田区",2018.0,2
"应急","福田区",2019.0,1
"应急","罗湖区",2018.0,2
"应急","龙华区",2019.0,1
"应急","龙岗区",2018.0,1
"应急","龙岗区",2019.0,3
"文体","光明区",2018.0,1
"文体","大鹏新区",2019.0,1
"水务","龙岗区",2018.0,2
"规自","龙华区",2018.0,2
