"PUNISH_HANGYE","YEAR","SUM(*)"
,2016.0,4
,2017.0,1
,2018.0,1
,2019.0,1
"人社",2017.0,10
"人社",2018.0,121
"人社",2019.0,72
"住建",2017.0,4
"住建",2018.0,19
"住建",2019.0,11
"卫生",2016.0,206
"卫生",2017.0,254
"卫生",2018.0,335
"卫生",2019.0,333
"司法",2017.0,1
"司法",2018.0,4
"司法",2019.0,2
"工信",2018.0,4
"市监",2016.0,2042
"市监",2017.0,9508
"市监",2018.0,6341
"市监",2019.0,1445
"应急",2017.0,26
"应急",2018.0,42
"应急",2019.0,9
"教育",2018.0,1
"文体",2018.0,15
"文体",2019.0,5
"民政",2017.0,3
"水务",2017.0,3
"水务",2018.0,12
"水务",2019.0,6
"生态",2016.0,184
"生态",2017.0,228
"生态",2018.0,160
"生态",2019.0,12
"规自",2017.0,1
"规自",2018.0,21
"规自",2019.0,20
"财政",2017.0,21
"财政",2018.0,38
"财政",2019.0,2
