"PUNISH_HANGYE","YEAR","PUNISH_TYPE","SUM(*)"
,2016.0,1.0,123700.0
,2017.0,1.0,112500.0
,2018.0,1.0,442400.0
,2019.0,1.0,230650.0
,2019.0,2.0,147409.0
"交通",2016.0,1.0,1000.0
"交通",2018.0,1.0,299100.0
"交通",2019.0,1.0,1948697.0
"人社",2017.0,1.0,391800.0
"人社",2018.0,1.0,5199000.0
"人社",2019.0,1.0,2258600.0
"住建",2017.0,1.0,1.730768559E7
"住建",2018.0,1.0,3.327701613E7
"住建",2019.0,1.0,6603353.890000001
"卫生",2016.0,1.0,9149525.04
"卫生",2016.0,2.0,110250.0
"卫生",2017.0,1.0,1.89028584E7
"卫生",2017.0,2.0,97600.0
"卫生",2018.0,1.0,2.884589864E7
"卫生",2018.0,2.0,118100.0
"卫生",2019.0,1.0,1.58161053E7
"卫生",2019.0,2.0,102950.0
"司法",2017.0,1.0,
"司法",2018.0,1.0,5000.0
"司法",2019.0,1.0,1000.0
"城管",2017.0,1.0,5500.0
"城管",2018.0,1.0,1022654.0
"城管",2019.0,1.0,1.02255492E7
"工信",2018.0,1.0,274492.4
"市监",2016.0,1.0,3.0136370369999994E7
"市监",2017.0,1.0,1.0987486361999996E8
"市监",2018.0,1.0,2.2847727024E8
"市监",2019.0,1.0,3.1507214020000007E7
"应急",2016.0,1.0,
"应急",2017.0,1.0,
"应急",2018.0,1.0,
"应急",2019.0,1.0,
"教育",2017.0,1.0,
"教育",2018.0,1.0,
"文体",2017.0,1.0,15000.0
"文体",2018.0,1.0,1780000.0
"文体",2018.0,2.0,
"文体",2019.0,1.0,584600.0
"文体",2019.0,2.0,
"民政",2017.0,1.0,
"民政",2018.0,1.0,
"水务",2017.0,1.0,2390000.0
"水务",2018.0,1.0,1.168666E7
"水务",2019.0,1.0,2140000.0
"生态",2016.0,1.0,1722.48
"生态",2017.0,1.0,932001.0
"生态",2018.0,1.0,1545359.87
"生态",2019.0,1.0,110031.0
"统计",2018.0,1.0,
"统计",2018.0,2.0,
"统计",2019.0,2.0,
"规自",2016.0,1.0,1533000.0
"规自",2017.0,1.0,3.11676393E7
"规自",2018.0,1.0,3.0527981255E8
"规自",2019.0,1.0,2.7565121479999997E7
"财政",2017.0,1.0,1197659.97
"财政",2018.0,1.0,2929455.3300000005
"财政",2019.0,1.0,23879.28
