"YEAR","PUNISH_HANGYE","PUNISH_TYPE","SUM(*)"
2016.0,"交通",1.0,1
2016.0,"卫生",1.0,1336
2016.0,"卫生",2.0,984
2016.0,"市监",1.0,3431
2016.0,"应急",1.0,1
2016.0,"生态",1.0,218
2016.0,"规自",1.0,13
2017.0,"人社",1.0,25
2017.0,"住建",1.0,284
2017.0,"卫生",1.0,1669
2017.0,"卫生",2.0,672
2017.0,"司法",1.0,1
2017.0,"城管",1.0,2
2017.0,"市监",1.0,18918
2017.0,"应急",1.0,1883
2017.0,"教育",1.0,1
2017.0,"文体",1.0,3
2017.0,"民政",1.0,30
2017.0,"水务",1.0,42
2017.0,"生态",1.0,253
2017.0,"规自",1.0,24
2017.0,"财政",1.0,40
2018.0,"交通",1.0,102
2018.0,"人社",1.0,263
2018.0,"住建",1.0,570
2018.0,"卫生",1.0,2461
2018.0,"卫生",2.0,935
2018.0,"司法",1.0,7
2018.0,"城管",1.0,399
2018.0,"工信",1.0,12
2018.0,"市监",1.0,18328
2018.0,"应急",1.0,7272
2018.0,"教育",1.0,4
2018.0,"文体",1.0,343
2018.0,"文体",2.0,252
2018.0,"民政",1.0,46
2018.0,"水务",1.0,336
2018.0,"生态",1.0,192
2018.0,"统计",1.0,1
2018.0,"统计",2.0,50
2018.0,"规自",1.0,204
2018.0,"财政",1.0,62
2019.0,"交通",1.0,82
2019.0,"人社",1.0,116
2019.0,"住建",1.0,239
2019.0,"卫生",1.0,1803
2019.0,"卫生",2.0,853
2019.0,"司法",1.0,2
2019.0,"城管",1.0,12750
2019.0,"市监",1.0,5540
2019.0,"应急",1.0,3017
2019.0,"文体",1.0,80
2019.0,"文体",2.0,72
2019.0,"水务",1.0,88
2019.0,"生态",1.0,15
2019.0,"统计",2.0,261
2019.0,"规自",1.0,113
2019.0,"财政",1.0,4
