"YEAR","PUNISH_HANGYE","PUNISH_TYPE","SUM(*)"
2017.0,"人社",1.0,5.0
2017.0,"住建",1.0,1.0
2017.0,"司法",1.0,1.0
2017.0,"民政",1.0,2.0
2017.0,"水务",1.0,3.0
2017.0,"生态",1.0,6.0
2017.0,"规自",1.0,1.0
2017.0,"财政",1.0,3.0
2018.0,"人社",1.0,5.0
2018.0,"住建",1.0,1.0
2018.0,"司法",1.0,1.0
2018.0,"工信",1.0,2.0
2018.0,"文体",1.0,1.0
2018.0,"水务",1.0,1.0
2018.0,"生态",1.0,3.0
2018.0,"规自",1.0,7.0
2018.0,"财政",1.0,5.0
2019.0,"人社",1.0,7.0
2019.0,"住建",1.0,2.0
2019.0,"司法",1.0,1.0
2019.0,"生态",1.0,2.0
2019.0,"规自",1.0,3.0
2019.0,"财政",1.0,2.0
