"YEAR","MONTH","SUM(*)"
2016.0,1.0,562436.0
2016.0,2.0,112231.0
2016.0,3.0,808697.0
2016.0,4.0,890042.0
2016.0,5.0,2848693.81
2016.0,6.0,3278875.16
2016.0,7.0,2385043.64
2016.0,8.0,5038493.96
2016.0,9.0,2662688.6300000004
2016.0,10.0,1837992.1600000001
2016.0,11.0,8712615.379999997
2016.0,12.0,1.1917759149999999E7
2017.0,1.0,6746303.989999998
2017.0,2.0,4110078.1199999996
2017.0,3.0,1.4908914959999997E7
2017.0,4.0,1.4464986590000002E7
2017.0,5.0,1.2033515060000004E7
2017.0,6.0,1.2297426300000004E7
2017.0,7.0,9827569.750000002
2017.0,8.0,1.3547059679999998E7
2017.0,9.0,2.008336581E7
2017.0,10.0,3.699899914E7
2017.0,11.0,2.0285114679999996E7
2017.0,12.0,1.7091773799999997E7
2018.0,1.0,5.0230185960000016E7
2018.0,2.0,9319274.98
2018.0,3.0,4.4457131839999996E7
2018.0,4.0,5.9332496589999996E7
2018.0,5.0,4.631077969E7
2018.0,6.0,3.075582604900001E8
2018.0,7.0,2.585733449E7
2018.0,8.0,2.2130728979999997E7
2018.0,9.0,1.385330101E7
2018.0,10.0,1.2696617830000002E7
2018.0,11.0,1.6219338860000001E7
2018.0,12.0,1.321676844E7
2019.0,1.0,2.4961575909999993E7
2019.0,2.0,5183925.73
2019.0,3.0,2.7349819550000004E7
2019.0,4.0,1.4953555639999997E7
2019.0,5.0,1.3719008419999998E7
2019.0,6.0,8090014.5
2019.0,7.0,3518380.14
2019.0,8.0,1488880.28
2019.0,9.0,
2019.0,11.0,
