"YEAR","MONTH","SUM(*)"
2016.0,1.0,31
2016.0,2.0,17
2016.0,3.0,47
2016.0,4.0,49
2016.0,5.0,94
2016.0,6.0,124
2016.0,7.0,104
2016.0,8.0,90
2016.0,9.0,82
2016.0,10.0,231
2016.0,11.0,737
2016.0,12.0,887
2017.0,1.0,578
2017.0,2.0,361
2017.0,3.0,1157
2017.0,4.0,970
2017.0,5.0,1157
2017.0,6.0,973
2017.0,7.0,974
2017.0,8.0,941
2017.0,9.0,681
2017.0,10.0,631
2017.0,11.0,785
2017.0,12.0,889
2018.0,1.0,1036
2018.0,2.0,502
2018.0,3.0,548
2018.0,4.0,653
2018.0,5.0,687
2018.0,6.0,575
2018.0,7.0,582
2018.0,8.0,720
2018.0,9.0,526
2018.0,10.0,437
2018.0,11.0,552
2018.0,12.0,341
2019.0,1.0,488
2019.0,2.0,120
2019.0,3.0,383
2019.0,4.0,338
2019.0,5.0,265
2019.0,6.0,182
2019.0,7.0,148
2019.0,8.0,61
