"YEAR","MONTH","PUNISH_TYPE","SUM(*)"
2016.0,1.0,1.0,559536.0
2016.0,1.0,2.0,2900.0
2016.0,2.0,1.0,111231.0
2016.0,2.0,2.0,1000.0
2016.0,3.0,1.0,799997.0
2016.0,3.0,2.0,8700.0
2016.0,4.0,1.0,880542.0
2016.0,4.0,2.0,9500.0
2016.0,5.0,1.0,2837643.81
2016.0,5.0,2.0,11050.0
2016.0,6.0,1.0,3266425.1599999997
2016.0,6.0,2.0,12450.0
2016.0,7.0,1.0,2367643.6399999997
2016.0,7.0,2.0,17400.0
2016.0,8.0,1.0,5030043.96
2016.0,8.0,2.0,8450.0
2016.0,9.0,1.0,2648788.6300000004
2016.0,9.0,2.0,13900.0
2016.0,10.0,1.0,1827692.1600000001
2016.0,10.0,2.0,10300.0
2016.0,11.0,1.0,8706815.38
2016.0,11.0,2.0,5800.0
2016.0,12.0,1.0,1.1908959149999999E7
2016.0,12.0,2.0,8800.0
2017.0,1.0,1.0,6745303.99
2017.0,1.0,2.0,1000.0
2017.0,2.0,1.0,4105278.1199999996
2017.0,2.0,2.0,4800.0
2017.0,3.0,1.0,1.4903514959999997E7
2017.0,3.0,2.0,5400.0
2017.0,4.0,1.0,1.445388659E7
2017.0,4.0,2.0,11100.0
2017.0,5.0,1.0,1.2011215060000002E7
2017.0,5.0,2.0,22300.0
2017.0,6.0,1.0,1.2284626300000003E7
2017.0,6.0,2.0,12800.0
2017.0,7.0,1.0,9822569.750000002
2017.0,7.0,2.0,5000.0
2017.0,8.0,1.0,1.3531559679999996E7
2017.0,8.0,2.0,15500.0
2017.0,9.0,1.0,2.0078565809999995E7
2017.0,9.0,2.0,4800.0
2017.0,10.0,1.0,3.699249914E7
2017.0,10.0,2.0,6500.0
2017.0,11.0,1.0,2.028261468E7
2017.0,11.0,2.0,2500.0
2017.0,12.0,1.0,1.70858738E7
2017.0,12.0,2.0,5900.0
2018.0,1.0,1.0,5.021943596000001E7
2018.0,1.0,2.0,10750.0
2018.0,2.0,1.0,9317774.98
2018.0,2.0,2.0,1500.0
2018.0,3.0,1.0,4.4446631839999996E7
2018.0,3.0,2.0,10500.0
2018.0,4.0,1.0,5.932649659E7
2018.0,4.0,2.0,6000.0
2018.0,5.0,1.0,4.6300179690000005E7
2018.0,5.0,2.0,10600.0
2018.0,6.0,1.0,3.0754741049E8
2018.0,6.0,2.0,10850.0
2018.0,7.0,1.0,2.584218449E7
2018.0,7.0,2.0,15150.0
2018.0,8.0,1.0,2.2119228979999993E7
2018.0,8.0,2.0,11500.0
2018.0,9.0,1.0,1.3831451010000002E7
2018.0,9.0,2.0,21850.0
2018.0,10.0,1.0,1.268721783E7
2018.0,10.0,2.0,9400.0
2018.0,11.0,1.0,1.6214338860000003E7
2018.0,11.0,2.0,5000.0
2018.0,12.0,1.0,1.3211768440000001E7
2018.0,12.0,2.0,5000.0
2019.0,1.0,1.0,2.494257591E7
2019.0,1.0,2.0,19000.0
2019.0,2.0,1.0,5181175.729999999
2019.0,2.0,2.0,2750.0
2019.0,3.0,1.0,2.7338819549999997E7
2019.0,3.0,2.0,11000.0
2019.0,4.0,1.0,1.4936705639999999E7
2019.0,4.0,2.0,16850.0
2019.0,5.0,1.0,1.370020842E7
2019.0,5.0,2.0,18800.0
2019.0,6.0,1.0,8079514.5
2019.0,6.0,2.0,10500.0
2019.0,7.0,1.0,3498580.1399999997
2019.0,7.0,2.0,19800.0
2019.0,8.0,1.0,1337221.28
2019.0,8.0,2.0,151659.0
2019.0,9.0,1.0,
2019.0,9.0,2.0,
2019.0,11.0,1.0,
