"YEAR","MONTH","SUM(*)"
2016.0,1.0,20
2016.0,2.0,18
2016.0,3.0,6
2016.0,4.0,1
2016.0,5.0,1
2016.0,6.0,4
2016.0,7.0,6
2016.0,8.0,11
2016.0,9.0,3
2016.0,10.0,5
2016.0,11.0,14
2016.0,12.0,63
2017.0,1.0,17
2017.0,2.0,20
2017.0,3.0,33
2017.0,4.0,55
2017.0,5.0,20
2017.0,6.0,33
2017.0,7.0,22
2017.0,8.0,14
2017.0,9.0,32
2017.0,10.0,21
2017.0,11.0,21
2017.0,12.0,16
2018.0,,3
2018.0,1.0,8
2018.0,2.0,2
2018.0,3.0,34
2018.0,4.0,16
2018.0,5.0,15
2018.0,6.0,34
2018.0,7.0,36
2018.0,8.0,29
2018.0,9.0,23
2018.0,10.0,15
2018.0,11.0,22
2018.0,12.0,20
2019.0,,1
2019.0,1.0,2
2019.0,2.0,11
2019.0,3.0,5
2019.0,4.0,17
2019.0,5.0,11
2019.0,6.0,13
2019.0,7.0,12
2019.0,8.0,13
2019.0,11.0,1
