"YEAR","QUARTER","PUNISH_TYPE","SUM(*)"
2016.0,1.0,1.0,1470764.0
2016.0,1.0,2.0,12600.0
2016.0,2.0,1.0,6984610.97
2016.0,2.0,2.0,33000.0
2016.0,3.0,1.0,1.004647623E7
2016.0,3.0,2.0,39750.0
2016.0,4.0,1.0,2.2443466689999998E7
2016.0,4.0,2.0,24900.0
2017.0,1.0,1.0,2.5754097070000008E7
2017.0,1.0,2.0,11200.0
2017.0,2.0,1.0,3.874972794999999E7
2017.0,2.0,2.0,46200.0
2017.0,3.0,1.0,4.343269523999999E7
2017.0,3.0,2.0,25300.0
2017.0,4.0,1.0,7.436098761999999E7
2017.0,4.0,2.0,14900.0
2018.0,1.0,1.0,1.0398384278000006E8
2018.0,1.0,2.0,22750.0
2018.0,2.0,1.0,4.1317408677E8
2018.0,2.0,2.0,27450.0
2018.0,3.0,1.0,6.179286447999998E7
2018.0,3.0,2.0,48500.0
2018.0,4.0,1.0,4.211332513E7
2018.0,4.0,2.0,19400.0
2019.0,1.0,1.0,5.746257118999999E7
2019.0,1.0,2.0,32750.0
2019.0,2.0,1.0,3.671642856000001E7
2019.0,2.0,2.0,46150.0
2019.0,3.0,1.0,4835801.419999999
2019.0,3.0,2.0,171459.0
2019.0,4.0,1.0,
