"PUNISH_TYPE","YEAR","QUARTER","SUM(*)"
1.0,2016.0,1.0,275
1.0,2016.0,2.0,795
1.0,2016.0,3.0,767
1.0,2016.0,4.0,3203
1.0,2017.0,1.0,3859
1.0,2017.0,2.0,5790
1.0,2017.0,3.0,6322
1.0,2017.0,4.0,7239
1.0,2018.0,1.0,6128
1.0,2018.0,2.0,9235
1.0,2018.0,3.0,8349
1.0,2018.0,4.0,6930
1.0,2019.0,1.0,8471
1.0,2019.0,2.0,11044
1.0,2019.0,3.0,4371
1.0,2019.0,4.0,2
2.0,2016.0,1.0,139
2.0,2016.0,2.0,376
2.0,2016.0,3.0,285
2.0,2016.0,4.0,184
2.0,2017.0,1.0,80
2.0,2017.0,2.0,267
2.0,2017.0,3.0,236
2.0,2017.0,4.0,89
2.0,2018.0,1.0,123
2.0,2018.0,2.0,280
2.0,2018.0,3.0,424
2.0,2018.0,4.0,410
2.0,2019.0,1.0,320
2.0,2019.0,2.0,533
2.0,2019.0,3.0,3245
