"YEAR","PUNISH_QUYU","SUM(*)"
2016.0,"光明区",10
2016.0,"南山区",1
2016.0,"坪山区",9
2016.0,"大鹏新区",5
2016.0,"宝安区",30
2016.0,"盐田区",4
2016.0,"福田区",10
2016.0,"罗湖区",9
2016.0,"龙华区",18
2016.0,"龙岗区",36
2017.0,"光明区",42
2017.0,"南山区",41
2017.0,"坪山区",43
2017.0,"大鹏新区",28
2017.0,"宝安区",137
2017.0,"盐田区",21
2017.0,"福田区",43
2017.0,"罗湖区",54
2017.0,"龙华区",82
2017.0,"龙岗区",142
2018.0,"光明区",90
2018.0,"南山区",189
2018.0,"坪山区",112
2018.0,"大鹏新区",61
2018.0,"宝安区",246
2018.0,"盐田区",63
2018.0,"福田区",92
2018.0,"罗湖区",162
2018.0,"龙华区",212
2018.0,"龙岗区",276
2019.0,"光明区",70
2019.0,"南山区",144
2019.0,"坪山区",74
2019.0,"大鹏新区",34
2019.0,"宝安区",195
2019.0,"盐田区",28
2019.0,"福田区",89
2019.0,"罗湖区",134
2019.0,"龙华区",201
2019.0,"龙岗区",202
